acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
4488,-16472,-3128,-198,-1495,772,2025-01-29 11:05:06
5116,-15876,-3164,173,-3640,1772,2025-01-29 11:05:06
5020,-16656,-2108,953,-4191,1926,2025-01-29 11:05:06
6072,-16176,-2452,2662,-3872,3508,2025-01-29 11:05:06
4716,-16480,-1808,3687,-2555,3371,2025-01-29 11:05:07
2652,-18400,1284,6636,2423,3668,2025-01-29 11:05:07
1256,-14716,5364,12745,6734,6615,2025-01-29 11:05:07
-1292,-12992,1236,7453,10531,8432,2025-01-29 11:05:07
-4636,-14156,3140,1822,806,4183,2025-01-29 11:05:07
-2792,-12564,5656,-315,-1956,3899,2025-01-29 11:05:07
-1580,-11016,8316,-786,2525,1757,2025-01-29 11:05:07
-4740,-9436,6000,5418,6559,3924,2025-01-29 11:05:07
-5268,-6472,6476,8989,3124,14843,2025-01-29 11:05:07
-14388,-7112,13356,11851,-8263,12453,2025-01-29 11:05:07
-8280,-9100,10268,13153,-2439,7662,2025-01-29 11:05:08
-6060,-9172,13124,15405,642,1515,2025-01-29 11:05:08
-14320,-3644,14352,16525,148,-263,2025-01-29 11:05:08
-8064,-1836,11940,12479,-1353,-1517,2025-01-29 11:05:08
-7208,640,14172,10896,-1578,2618,2025-01-29 11:05:08
-8168,2580,14524,5739,47,2547,2025-01-29 11:05:08
-8904,3028,15604,2189,582,1433,2025-01-29 11:05:08
-7932,3468,14832,-620,-638,696,2025-01-29 11:05:08
-6288,3944,11872,-1446,-249,177,2025-01-29 11:05:08
-6728,3672,11744,-1590,10,281,2025-01-29 11:05:08
-7772,3688,14408,-1776,960,-1144,2025-01-29 11:05:08
-8140,3564,14056,-3380,445,-2777,2025-01-29 11:05:08
-7628,2808,14896,-5077,-1679,-4297,2025-01-29 11:05:08
-6636,1408,13768,-6707,-2836,-4537,2025-01-29 11:05:08
-6120,-56,13704,-7596,-3468,-5252,2025-01-29 11:05:08
-6048,-2164,13476,-8254,-2695,-5262,2025-01-29 11:05:09
-5868,-3380,13416,-9012,-2801,-4402,2025-01-29 11:05:09
-4504,-5156,13540,-9542,-3187,-5215,2025-01-29 11:05:09
-3628,-6936,12740,-10953,-4061,-4728,2025-01-29 11:05:09
-3120,-8440,11484,-11090,-6909,-3297,2025-01-29 11:05:09
-1260,-8616,11356,-10107,-3966,-1960,2025-01-29 11:05:09
-784,-11236,10016,-8966,-3782,-1856,2025-01-29 11:05:09
-72,-12468,9356,-9097,-3566,-2030,2025-01-29 11:05:09
1020,-12456,8140,-9367,-2364,-1820,2025-01-29 11:05:09
476,-12660,7276,-9158,-3085,-1397,2025-01-29 11:05:09
1292,-14480,7132,-7908,-3525,-2547,2025-01-29 11:05:09
1600,-14784,4724,-7513,-3353,-2104,2025-01-29 11:05:09
2972,-16472,2976,-8738,-4877,-1736,2025-01-29 11:05:10
2912,-16172,2744,-7635,-6870,-2637,2025-01-29 11:05:10
4396,-16048,724,-6822,-4742,-919,2025-01-29 11:05:10
4952,-14936,-1692,-5067,-5713,-786,2025-01-29 11:05:10
3748,-17868,-720,-4680,-2073,-1027,2025-01-29 11:05:10
4520,-16448,-1836,588,-218,-378,2025-01-29 11:05:10
4752,-16364,-1768,-1696,480,-929,2025-01-29 11:05:10
3476,-16564,-1668,-1458,-216,-591,2025-01-29 11:05:10
4504,-16428,-1568,-1392,-2305,-774,2025-01-29 11:05:10
4988,-16496,-1640,-1237,-339,-427,2025-01-29 11:05:10
4916,-16212,-2100,-956,423,-165,2025-01-29 11:05:10
4828,-16184,-2080,-1050,541,-140,2025-01-29 11:05:10
4756,-16420,-1712,-951,461,-204,2025-01-29 11:05:11
4976,-16524,-1576,-1287,1648,-123,2025-01-29 11:05:11
4852,-15944,-1732,-733,835,-252,2025-01-29 11:05:11
4700,-16264,-1592,-1230,574,-47,2025-01-29 11:05:11
4584,-16600,-1784,-1090,-261,-198,2025-01-29 11:05:11
4992,-16100,-1884,-839,-643,-181,2025-01-29 11:05:11
5252,-16216,-1568,-1157,-507,-125,2025-01-29 11:05:11
5100,-16264,-1556,-1278,-449,-132,2025-01-29 11:05:11
4756,-16364,-1664,-1076,-282,-67,2025-01-29 11:05:11
4848,-16200,-2536,-1213,260,-88,2025-01-29 11:05:11
4224,-16508,-2300,-911,-472,-73,2025-01-29 11:05:11
4568,-16452,-2196,-943,-795,-15,2025-01-29 11:05:11
4644,-16180,-1968,-783,-655,-175,2025-01-29 11:05:12
4956,-16144,-2384,-928,-542,-52,2025-01-29 11:05:12
