acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
1492,-16776,164,-764,-122,-57,2025-01-29 11:24:15
1416,-16896,132,-801,-195,-64,2025-01-29 11:24:15
1780,-16848,352,-689,-137,13,2025-01-29 11:24:15
1728,-16744,52,-368,663,-10,2025-01-29 11:24:15
1128,-16852,-96,-197,885,65,2025-01-29 11:24:15
816,-16672,-680,1156,-303,895,2025-01-29 11:24:15
660,-16848,-16,1442,-848,2065,2025-01-29 11:24:15
1456,-17016,1376,2238,-552,1707,2025-01-29 11:24:15
1540,-15932,1872,1390,1020,1327,2025-01-29 11:24:15
952,-15664,932,3000,4122,506,2025-01-29 11:24:15
-1148,-14944,1928,3936,3940,1596,2025-01-29 11:24:16
-2164,-17220,6804,4067,1761,2890,2025-01-29 11:24:16
-204,-15256,5460,1245,-931,3426,2025-01-29 11:24:16
-2000,-14772,5948,2010,3577,1633,2025-01-29 11:24:16
-1756,-14664,5100,2097,2232,2111,2025-01-29 11:24:16
-2740,-15044,6436,1542,982,2806,2025-01-29 11:24:16
-4640,-14812,8320,2489,1931,2499,2025-01-29 11:24:16
-2652,-14824,6288,2040,2397,1345,2025-01-29 11:24:16
-4648,-13772,7060,351,1349,226,2025-01-29 11:24:16
-4492,-12756,7432,208,919,172,2025-01-29 11:24:16
-4780,-13388,7668,817,677,5,2025-01-29 11:24:16
-5220,-14340,7660,599,555,-66,2025-01-29 11:24:17
-4656,-13336,7764,68,853,14,2025-01-29 11:24:17
-4668,-13168,7720,603,573,-108,2025-01-29 11:24:17
-4768,-13060,7488,-154,620,248,2025-01-29 11:24:17
-4956,-12340,7640,-208,1050,532,2025-01-29 11:24:17
-5064,-12928,8056,-679,77,1097,2025-01-29 11:24:17
-4872,-12696,8396,-1072,-582,-50,2025-01-29 11:24:17
-5116,-12164,7988,-1212,-1234,-241,2025-01-29 11:24:17
-5276,-12364,7552,-1457,-2543,156,2025-01-29 11:24:17
-5060,-12380,8088,-1084,-1867,578,2025-01-29 11:24:17
-4816,-12044,8380,-2664,-2631,139,2025-01-29 11:24:17
-4532,-12832,8888,-2758,-2166,-230,2025-01-29 11:24:17
-4188,-13404,7872,-3942,-2721,-1671,2025-01-29 11:24:17
-3464,-13344,7276,-6057,-3557,-2565,2025-01-29 11:24:18
-2528,-14036,6564,-4661,-3629,-2752,2025-01-29 11:24:18
-2672,-14984,6604,-3430,-2880,-2247,2025-01-29 11:24:18
-1824,-14164,6520,-4707,-151,-1421,2025-01-29 11:24:18
-804,-14656,5756,-4095,-3036,-2388,2025-01-29 11:24:18
-1012,-16180,4920,-5891,-2269,-2700,2025-01-29 11:24:18
-396,-15680,4052,-7138,-3972,-3157,2025-01-29 11:24:18
1780,-15572,1768,-6296,-2410,-2436,2025-01-29 11:24:18
1100,-16964,1196,-5496,-216,-2573,2025-01-29 11:24:18
1024,-15880,-660,-3835,1004,-824,2025-01-29 11:24:18
1560,-16936,-288,-2381,403,-1390,2025-01-29 11:24:18
380,-16392,1344,290,-514,-511,2025-01-29 11:24:18
1564,-16804,-500,-1469,685,-130,2025-01-29 11:24:19
1372,-17016,-384,-2383,1351,-497,2025-01-29 11:24:19
1484,-16732,-536,-2470,747,-647,2025-01-29 11:24:19
1804,-16880,-152,-1446,521,-346,2025-01-29 11:24:19
1820,-17000,-460,-487,879,-464,2025-01-29 11:24:19
1708,-16824,-536,-471,421,-350,2025-01-29 11:24:19
1668,-16796,-244,-616,-169,-101,2025-01-29 11:24:19
1600,-16620,-248,-636,-678,22,2025-01-29 11:24:19
1688,-16540,200,-346,-717,-36,2025-01-29 11:24:19
1876,-16932,184,-447,-560,-62,2025-01-29 11:24:19
1808,-16452,112,-666,-419,12,2025-01-29 11:24:19
1708,-16832,272,-825,-771,31,2025-01-29 11:24:19
1848,-16992,740,-718,-681,36,2025-01-29 11:24:20
1880,-16624,296,-497,-436,26,2025-01-29 11:24:20
1856,-16452,436,-648,-123,-19,2025-01-29 11:24:20
1704,-16920,532,-744,86,-213,2025-01-29 11:24:20
1560,-16556,424,-587,61,-126,2025-01-29 11:24:20
1576,-16596,604,-596,48,-130,2025-01-29 11:24:20
1712,-16668,560,-667,123,-196,2025-01-29 11:24:20
