acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
3308,-16600,76,-1001,188,-269,2025-01-29 10:41:54
5516,-15180,-3844,-1908,2664,-731,2025-01-29 10:41:54
3432,-16952,716,-456,-543,-62,2025-01-29 10:41:54
3984,-16552,-240,-1119,-689,-203,2025-01-29 10:41:54
3752,-16532,-124,-775,-145,-150,2025-01-29 10:41:54
3616,-16528,-240,-910,-232,-191,2025-01-29 10:41:54
3644,-16572,-80,-976,-390,-116,2025-01-29 10:41:54
3880,-16480,52,-786,-288,-164,2025-01-29 10:41:54
3900,-16356,20,-857,298,-240,2025-01-29 10:41:55
3700,-16484,-120,-934,280,-218,2025-01-29 10:41:55
3724,-16592,-236,-783,384,-344,2025-01-29 10:41:55
3396,-16744,-364,-592,103,-391,2025-01-29 10:41:55
3196,-16776,-372,887,-495,-624,2025-01-29 10:41:55
3524,-16132,-820,1430,-278,-400,2025-01-29 10:41:55
3920,-16484,808,1102,-824,-1051,2025-01-29 10:41:55
4480,-16448,956,1627,-245,-452,2025-01-29 10:41:55
4208,-15912,356,1631,463,-833,2025-01-29 10:41:55
4448,-16756,1656,1795,1406,551,2025-01-29 10:41:55
4076,-15428,2700,2563,-37,-31,2025-01-29 10:41:55
4648,-16040,3140,2775,521,86,2025-01-29 10:41:55
4700,-14056,3048,3232,-1595,-201,2025-01-29 10:41:55
5108,-15044,5816,4419,316,845,2025-01-29 10:41:56
2716,-14728,6128,3316,222,1249,2025-01-29 10:41:56
3156,-14848,6428,3235,-646,1112,2025-01-29 10:41:56
5328,-12620,7416,5751,5719,3336,2025-01-29 10:41:56
1652,-13344,8128,5810,5196,2161,2025-01-29 10:41:56
1384,-13836,8788,3252,1698,758,2025-01-29 10:41:56
1192,-14208,10108,686,1413,847,2025-01-29 10:41:56
1068,-11656,9624,-387,1881,1395,2025-01-29 10:41:56
1312,-12072,9112,-574,2440,384,2025-01-29 10:41:56
536,-12696,9136,-205,1646,-689,2025-01-29 10:41:56
472,-13832,10200,-1036,239,-1245,2025-01-29 10:41:56
640,-13136,9444,-2117,-526,-1790,2025-01-29 10:41:56
752,-12932,9348,-2954,-1300,-1962,2025-01-29 10:41:57
1692,-13112,9044,-4160,-1996,-2167,2025-01-29 10:41:57
2484,-13116,8592,-5000,-3088,-2894,2025-01-29 10:41:57
2968,-13740,7844,-5346,-3183,-2697,2025-01-29 10:41:57
2736,-14544,7060,-5767,-4212,-2120,2025-01-29 10:41:57
3744,-13628,5772,-6679,-3651,-831,2025-01-29 10:41:57
3212,-14564,6064,-4966,-3079,622,2025-01-29 10:41:57
4900,-14684,4784,-4446,-3815,1253,2025-01-29 10:41:57
4484,-15444,4772,-4269,-2151,1229,2025-01-29 10:41:57
4776,-15084,3100,-3818,-1932,1754,2025-01-29 10:41:57
4172,-15764,3188,-3310,-280,1049,2025-01-29 10:41:57
3088,-15920,1632,-3332,193,54,2025-01-29 10:41:57
1672,-15832,552,-6427,2233,19,2025-01-29 10:41:58
3228,-16748,1384,-3323,-1170,1121,2025-01-29 10:41:58
4904,-16276,-232,-2225,1337,-21,2025-01-29 10:41:58
2820,-16508,4,-2876,2992,-554,2025-01-29 10:41:58
2468,-17316,-80,-2224,2770,-548,2025-01-29 10:41:58
