acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-10576,-14256,2184,4475,-230,2419,2025-01-29 10:17:05
-7964,-8160,-6588,-8834,-32768,-2326,2025-01-29 10:17:05
-7392,-17008,-3284,636,6826,-6406,2025-01-29 10:17:05
-5564,-13764,20,607,-254,279,2025-01-29 10:17:05
-9316,-13256,424,-375,4359,-1696,2025-01-29 10:17:06
-7828,-13800,796,-3080,685,-1769,2025-01-29 10:17:06
-7096,-14436,-2248,-2270,-1988,-1072,2025-01-29 10:17:06
-7060,-15476,-672,-4271,-2502,-636,2025-01-29 10:17:06
-6012,-16528,-652,-2380,-3203,459,2025-01-29 10:17:06
-3864,-15092,-2024,4416,2558,2424,2025-01-29 10:17:06
-6596,-14296,-1764,5957,4326,2904,2025-01-29 10:17:06
-5292,-11796,656,3761,-6092,3724,2025-01-29 10:17:06
-9944,-13180,3164,2040,-538,2499,2025-01-29 10:17:06
-13536,-11596,3152,1138,2500,1272,2025-01-29 10:17:06
-13704,-12596,2540,1272,-8352,1937,2025-01-29 10:17:06
-8100,-11484,2536,645,-1802,1507,2025-01-29 10:17:06
-14260,-11352,3816,321,-2446,1713,2025-01-29 10:17:07
-9976,-11560,5248,2553,-2461,1693,2025-01-29 10:17:07
-9952,-10300,5496,1149,-3829,3043,2025-01-29 10:17:07
-9508,-10504,6008,1452,-1150,2306,2025-01-29 10:17:07
-9852,-8992,5920,2741,-3689,121,2025-01-29 10:17:07
-11572,-9404,7316,972,-902,524,2025-01-29 10:17:07
-11620,-14228,10764,-684,1257,-782,2025-01-29 10:17:07
-10320,-12428,8796,-2847,1788,-1179,2025-01-29 10:17:07
-9880,-10328,7292,-3832,3354,-876,2025-01-29 10:17:07
-9972,-10680,5260,-3249,5095,-737,2025-01-29 10:17:07
-10500,-10092,5016,-2877,5660,-1781,2025-01-29 10:17:07
-9140,-11800,3608,-2393,4325,-4078,2025-01-29 10:17:07
-11604,-9348,3220,-2870,1485,-2140,2025-01-29 10:17:08
-10152,-12040,3084,-3010,800,-1717,2025-01-29 10:17:08
-10208,-10856,584,-4744,73,-3599,2025-01-29 10:17:08
-8056,-11956,1288,-4830,1606,-3865,2025-01-29 10:17:08
-9340,-13544,348,-3520,636,-2684,2025-01-29 10:17:08
-7808,-14204,-972,-5295,2877,-2543,2025-01-29 10:17:08
-7516,-14124,-88,-4786,-2301,-2351,2025-01-29 10:17:08
-4420,-15552,-2000,-2923,-1577,-3665,2025-01-29 10:17:08
-6480,-15724,-2556,-3889,-3144,-965,2025-01-29 10:17:08
-3496,-15896,-680,357,968,233,2025-01-29 10:17:08
-7968,-15056,-16,707,2129,366,2025-01-29 10:17:08
-7940,-15208,-348,-899,-315,-450,2025-01-29 10:17:08
-7316,-14788,-400,-542,-546,521,2025-01-29 10:17:09
-6940,-14632,-744,-452,624,306,2025-01-29 10:17:09
-8200,-14360,-464,-617,444,43,2025-01-29 10:17:09
-8200,-14360,-464,-617,444,43,2025-01-29 10:17:09
-8200,-14360,-464,-617,444,43,2025-01-29 10:17:09
-8200,-14360,-464,-617,444,43,2025-01-29 10:17:09
-8200,-14360,-464,-617,444,43,2025-01-29 10:17
-8200,-14360,-464,-617,444,43,2025-01-29 10:17:09:09
-8200,-14360,-464,-617,444,43,2025-01-29 10:17:09
-8200,-14360,-464,-617,444,43,2025-01-29 10:17:09
