acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
1056,-400,15072,-925,0,-124,2025-01-25 20:20:55
1160,-392,15072,-902,-4,-127,2025-01-25 20:20:55
1108,-360,15024,-927,-22,-105,2025-01-25 20:20:55
1180,-340,15116,-933,-2,-120,2025-01-25 20:20:56
1096,-356,14988,-906,-26,-121,2025-01-25 20:20:56
1128,-308,15092,-913,-4,-121,2025-01-25 20:20:56
992,-264,15128,-925,1,-117,2025-01-25 20:20:56
1168,-424,14916,-905,-5,-112,2025-01-25 20:20:57
1144,-324,15104,-901,-31,-141,2025-01-25 20:20:57
1140,-244,15140,-929,-12,-125,2025-01-25 20:20:57
1200,-388,15056,-895,-35,-119,2025-01-25 20:20:57
1160,-360,15132,-915,-22,-120,2025-01-25 20:20:58
1120,-320,15008,-902,-26,-133,2025-01-25 20:20:58
1284,-400,15120,-896,-13,-135,2025-01-25 20:20:58
1128,-404,15224,-923,-24,-129,2025-01-25 20:20:58
1136,-312,14976,-906,-18,-123,2025-01-25 20:20:59
1120,-364,15176,-915,-14,-109,2025-01-25 20:20:59
1160,-316,14916,-936,10,-126,2025-01-25 20:20:59
1144,-324,14964,-913,11,-118,2025-01-25 20:20:59
1176,-332,15032,-899,-22,-111,2025-01-25 20:21:00
1032,-348,15088,-910,-17,-134,2025-01-25 20:21:00
1196,-404,14836,-906,-15,-130,2025-01-25 20:21:00
1208,-348,15024,-895,-20,-114,2025-01-25 20:21:00
1132,-352,14988,-925,1,-116,2025-01-25 20:21:01
1040,-360,15072,-914,-14,-124,2025-01-25 20:21:01
1144,-312,14944,-935,-24,-114,2025-01-25 20:21:01
1060,-352,15028,-915,-27,-126,2025-01-25 20:24:31
992,-300,15096,-912,-5,-106,2025-01-25 20:24:31
1020,-328,15024,-919,-30,-138,2025-01-25 20:24:31
1004,-316,15060,-928,-31,-121,2025-01-25 20:24:31
1040,-384,14988,-880,-8,-119,2025-01-25 20:24:32
1236,-244,15132,-924,-2,-110,2025-01-25 20:24:32
960,-384,15108,-897,-2,-127,2025-01-25 20:24:32
1124,-320,15160,-922,-17,-111,2025-01-25 20:24:35
1084,-344,14976,-924,10,-132,2025-01-25 20:24:35
1156,-320,15096,-910,-11,-115,2025-01-25 20:24:35
916,-332,15020,-899,-15,-128,2025-01-25 20:24:35
980,-300,15032,-906,-19,-117,2025-01-25 20:24:36
1080,-356,15032,-894,9,-126,2025-01-25 20:24:36
1116,-260,15036,-935,-13,-124,2025-01-25 20:24:36
976,-324,15076,-916,-4,-116,2025-01-25 20:24:36
1100,-300,15176,-912,-30,-147,2025-01-25 20:24:37
1144,-304,15152,-908,-32,-120,2025-01-25 20:24:37
1068,-260,14960,-918,-21,-116,2025-01-25 20:24:37
1084,-360,15040,-885,-15,-107,2025-01-25 20:24:37
1004,-400,15116,-920,-37,-98,2025-01-25 20:24:38
1120,-244,15064,-931,-39,-114,2025-01-25 20:24:38
1020,-312,15008,-923,-40,-113,2025-01-25 20:24:38
1068,-320,14884,-906,-22,-141,2025-01-25 20:24:38
1016,-304,14964,-916,-6,-107,2025-01-25 20:24:49
1036,-256,14972,-911,-52,-112,2025-01-25 20:24:49
1020,-428,15056,-932,1,-143,2025-01-25 20:24:50
1016,-288,15064,-905,-38,-113,2025-01-25 20:24:50
1136,-388,15032,-930,-10,-114,2025-01-25 20:24:50
1144,-396,14984,-904,-2,-128,2025-01-25 20:24:50
1000,-408,15056,-911,-25,-125,2025-01-25 20:24:51
1036,-304,15036,-921,-32,-109,2025-01-25 20:24:51
1072,-300,14992,-918,-13,-118,2025-01-25 20:24:51
1052,-280,15108,-928,2,-138,2025-01-25 20:24:51
1032,-364,15184,-902,-20,-113,2025-01-25 20:24:52
976,-236,15016,-917,-8,-125,2025-01-25 20:24:52
1096,-332,14992,-902,-4,-118,2025-01-25 20:24:52
1076,-336,15024,-922,16,-130,2025-01-25 20:24:52
1000,-368,15168,-912,45,-126,2025-01-25 20:24:53
1020,-300,15068,-936,-26,-144,2025-01-25 20:24:53
1112,-328,14984,-929,-15,-121,2025-01-25 20:24:53
1088,-384,15156,-919,-2,-123,2025-01-25 20:24:53
1148,-432,15084,-893,-21,-117,2025-01-25 20:24:54
1008,-368,14888,-911,-11,-116,2025-01-25 20:24:54
1204,-336,14984,-913,28,-133,2025-01-25 20:24:54
988,-312,15152,-908,-4,-120,2025-01-25 20:24:54
992,-380,14980,-910,-20,-117,2025-01-25 20:24:55
1100,-336,14996,-931,-46,-136,2025-01-25 20:24:55
1040,-332,15044,-924,-4,-110,2025-01-25 20:24:55
1224,-280,15120,-907,0,-116,2025-01-25 20:24:55
1052,-388,14944,-914,-6,-141,2025-01-25 20:24:56
1092,-356,15132,-897,-29,-148,2025-01-25 20:24:56
1060,-304,15044,-921,-14,-135,2025-01-25 20:24:56
1212,-348,14900,-901,-22,-129,2025-01-25 20:24:56
1064,-320,14884,-915,-28,-113,2025-01-25 20:24:57
1128,-376,15072,-934,8,-127,2025-01-25 20:24:57
1028,-296,14992,-901,-10,-115,2025-01-25 20:24:57
1132,-288,15056,-921,-23,-135,2025-01-25 20:24:58
1064,-372,15120,-904,-21,-125,2025-01-25 20:24:58
1016,-328,15232,-926,-18,-102,2025-01-25 20:24:58
1020,-376,15048,-911,-25,-136,2025-01-25 20:24:58
1072,-264,14916,-917,4,-134,2025-01-25 20:24:59
1028,-252,15004,-936,-12,-131,2025-01-25 20:24:59
1028,-392,15044,-937,-28,-133,2025-01-25 20:24:59
1092,-292,15048,-917,0,-137,2025-01-25 20:24:59
1064,-336,15048,-936,-36,-127,2025-01-25 20:25:00
