acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
1040,-18020,-1304,-1436,484,2150,2025-01-29 10:37:12
-1456,-18120,-96,-731,1008,41,2025-01-29 10:37:12
-728,-18512,788,4680,-3429,-1549,2025-01-29 10:37:12
2156,-15960,1336,8484,-2084,-3502,2025-01-29 10:37:12
5028,-15144,3124,4869,-3515,-3615,2025-01-29 10:37:13
4696,-15828,2552,-1995,-872,-5265,2025-01-29 10:37:13
3044,-13200,4456,-4807,722,-985,2025-01-29 10:37:13
3760,-15576,3564,-4457,3358,584,2025-01-29 10:37:13
2928,-14992,2840,-3838,2862,2191,2025-01-29 10:37:13
2308,-15072,828,-7261,-159,3306,2025-01-29 10:37:13
-320,-14936,940,-5643,-4295,4303,2025-01-29 10:37:13
3068,-17360,-2116,-4063,-2095,4316,2025-01-29 10:37:13
2316,-16036,-2500,-5127,-1041,1871,2025-01-29 10:37:13
2724,-15568,-3252,-3762,-2417,2347,2025-01-29 10:37:13
2080,-15956,-3512,-5881,-833,2587,2025-01-29 10:37:13
856,-19352,-1056,-5367,322,2340,2025-01-29 10:37:13
2628,-19268,-1888,-933,-1057,1811,2025-01-29 10:37:14
200,-20424,-188,4813,1123,1260,2025-01-29 10:37:14
-4096,-16752,-2132,9765,699,-1440,2025-01-29 10:37:14
404,-17852,-560,-685,-4428,-3394,2025-01-29 10:37:14
2444,-11224,-1964,-4801,2244,-942,2025-01-29 10:37:14
-860,-7128,-164,-7284,22,10338,2025-01-29 10:37:14
-7036,-6848,-900,-13706,3549,15926,2025-01-29 10:37:14
-7172,-12968,3816,-19337,-6769,14028,2025-01-29 10:37:14
-1044,-7472,-6032,-9168,-1151,14397,2025-01-29 10:37:14
-19220,-6112,-19220,-15091,15432,21172,2025-01-29 10:37:14
-7176,12136,-32768,-32768,10335,30401,2025-01-29 10:37:14
-32768,32767,-32768,-21517,14,18288,2025-01-29 10:37:14
-5404,8768,-20456,-4913,10096,7787,2025-01-29 10:37:15
-10632,3884,-9120,-4605,8200,2824,2025-01-29 10:37:15
-5564,6972,-4068,4943,-759,3279,2025-01-29 10:37:15
-1180,4936,-10220,5302,5443,773,2025-01-29 10:37:15
-4484,6044,-13560,12242,229,-3215,2025-01-29 10:37:15
-8548,6100,-23136,10157,-2785,-6659,2025-01-29 10:37:15
-10816,-1328,-19964,-6848,-1394,276,2025-01-29 10:37:15
-4356,260,-11888,818,-4416,-1359,2025-01-29 10:37:15
-7744,-388,-12600,1808,-2199,-1196,2025-01-29 10:37:15
-8336,832,-15312,-2103,728,992,2025-01-29 10:37:15
-8836,2096,-15328,-1550,-1059,364,2025-01-29 10:37:15
-8444,2236,-15060,-780,128,-207,2025-01-29 10:37:15
-8488,1848,-14656,-1127,-527,-289,2025-01-29 10:37:16
-8724,1356,-15172,-854,106,-191,2025-01-29 10:37:16
-8880,1208,-15200,-726,-12,-104,2025-01-29 10:37:16
-8592,1656,-15068,-1002,-203,-80,2025-01-29 10:37:16
-8552,1944,-14920,-1051,-95,-134,2025-01-29 10:37:16
-8832,1856,-15068,-942,-86,-119,2025-01-29 10:37:16
-8880,1208,-15200,-726,-12,-104,2025-01-29 10:37:16
-8592,1656,-15068,-1002,-203,-80,2025-01-29 10:37:16
-8552,1944,-14920,-1051,-95,-134,2025-01-29 10:37:17
-8832,1856,-15068,-942,-86,-119,2025-01-29 10:37:17
