acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-5680,-15056,-1740,-818,125,-217,2025-01-29 10:07:20
-5420,-15152,-1484,-869,62,-153,2025-01-29 10:07:20
-6032,-15052,-1608,-498,509,-29,2025-01-29 10:07:20
-6128,-15240,-1080,-977,1166,-34,2025-01-29 10:07:20
-5400,-15588,-848,-1502,558,-457,2025-01-29 10:07:20
-6360,-15600,-2024,-2243,321,-720,2025-01-29 10:07:20
-5264,-14584,-2832,-2608,-1051,-901,2025-01-29 10:07:20
-6264,-15480,-2976,-2194,-1525,-379,2025-01-29 10:07:21
-6204,-15536,-3732,-1806,2368,-1095,2025-01-29 10:07:21
-6644,-14760,-2788,-4789,-95,-3399,2025-01-29 10:07:21
-7484,-14600,-3748,-2341,-1452,-1999,2025-01-29 10:07:21
-6656,-15460,-2032,-2295,-1241,-1374,2025-01-29 10:07:21
-5412,-15996,-2176,877,2207,-1351,2025-01-29 10:07:21
-8228,-15336,-2760,3982,3828,-1802,2025-01-29 10:07:21
-9548,-21128,-692,1832,-1083,4972,2025-01-29 10:07:21
-3692,-19408,5588,6042,-2578,7321,2025-01-29 10:07:21
-8844,-17104,3044,5806,611,7950,2025-01-29 10:07:21
-4572,-11304,136,-1359,-3968,5778,2025-01-29 10:07:21
-2864,-9236,100,-4310,-2686,-3638,2025-01-29 10:07:21
-10648,-13848,656,-6815,-1424,-10099,2025-01-29 10:07:22
-9540,-12340,756,-4710,2505,-2450,2025-01-29 10:07:22
-5092,-12740,596,-3367,1122,-5700,2025-01-29 10:07:22
-2700,-13464,-3108,-4648,-509,-10361,2025-01-29 10:07:22
-3456,-13112,-1864,-3999,2240,-5171,2025-01-29 10:07:22
-2796,-11780,-3412,-2147,2925,-6833,2025-01-29 10:07:22
-3984,-11180,-3856,-5342,-125,-7059,2025-01-29 10:07:22
-364,-11392,-3264,-6427,25,-9558,2025-01-29 10:07:22
3676,-8836,-5084,-7402,-1898,-14674,2025-01-29 10:07:22
7716,-7876,-5288,-10069,4252,-17080,2025-01-29 10:07:22
16460,-9820,-2924,-24161,8172,-32768,2025-01-29 10:07:22
19492,5600,-29836,-8255,13489,-17233,2025-01-29 10:07:22
32767,-4412,-21168,-3767,7507,-8112,2025-01-29 10:07:23
17928,-6648,-10428,784,-884,-7701,2025-01-29 10:07:23
12824,4856,-6736,-2290,-8936,-4260,2025-01-29 10:07:23
13044,2636,-9156,-782,1161,189,2025-01-29 10:07:23
16244,-1888,-13492,-498,1645,2695,2025-01-29 10:07:23
14692,788,-8988,430,-92,2281,2025-01-29 10:07:23
14640,-4816,-12232,1557,-2248,2455,2025-01-29 10:07:23
14528,-3252,-9636,2765,2052,4188,2025-01-29 10:07:23
13904,-6520,-11380,-3700,-1948,-2411,2025-01-29 10:07:23
12912,-4872,-9116,-550,-475,-107,2025-01-29 10:07:23
13788,-3900,-11176,-1789,1020,-679,2025-01-29 10:07:23
13936,-3736,-9908,-599,400,199,2025-01-29 10:07:23
14392,-4140,-10692,-814,391,-243,2025-01-29 10:07:24
14188,-4540,-10704,-1122,-353,-140,2025-01-29 10:07:24
13492,-4636,-10016,-795,-94,-68,2025-01-29 10:07:24
13456,-4300,-9968,-957,182,-157,2025-01-29 10:07:24
14112,-4392,-10532,-839,-108,2,2025-01-29 10:07:24
14504,-4316,-10948,-799,226,-130,2025-01-29 10:07:24
13608,-4368,-10080,-851,-100,-68,2025-01-29 10:07:24

