acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-308,-17488,-592,338,584,453,2025-01-29 11:02:10
-644,-17924,80,5708,2141,2300,2025-01-29 11:02:10
-732,-21076,1968,16186,9834,1893,2025-01-29 11:02:10
444,-14496,2964,7611,4843,372,2025-01-29 11:02:10
-412,-13764,4788,1679,3040,-3163,2025-01-29 11:02:10
1192,-12728,4652,-3336,-3144,-8844,2025-01-29 11:02:10
1524,-15156,6296,-5501,-555,-6704,2025-01-29 11:02:10
-1188,-15300,4524,-2420,5747,1543,2025-01-29 11:02:10
68,-16040,5992,-1363,5107,1292,2025-01-29 11:02:10
-1696,-16780,4576,-1382,5213,390,2025-01-29 11:02:10
-3540,-21016,1704,-1907,-1586,288,2025-01-29 11:02:10
4476,-10520,-4792,-7121,-11051,-3907,2025-01-29 11:02:10
1324,-17492,-900,-8231,-2509,-3039,2025-01-29 11:02:11
3624,-16268,-588,-7107,-10066,-1229,2025-01-29 11:02:11
4360,-15952,-2300,-7603,-5495,-3148,2025-01-29 11:02:11
2220,-17076,-1124,-4315,-6368,-975,2025-01-29 11:02:11
3348,-16620,-3096,-3766,-5882,-533,2025-01-29 11:02:11
1636,-17788,-2356,-2796,-7842,459,2025-01-29 11:02:11
4412,-17644,-2788,-321,-14473,3402,2025-01-29 11:02:11
-20,-20168,-5076,2729,-18887,3438,2025-01-29 11:02:11
-456,-16220,-3360,5427,-7084,6779,2025-01-29 11:02:11
-3920,-16152,-4420,-2883,-12130,8273,2025-01-29 11:02:11
-728,-13308,-6808,-7350,-15854,6330,2025-01-29 11:02:11
-1444,-15264,-5408,-3803,-13865,8790,2025-01-29 11:02:11
540,-17824,-68,3709,-12605,11068,2025-01-29 11:02:12
3592,-10748,688,5274,-4393,19826,2025-01-29 11:02:12
-5696,-15036,3216,2335,-10373,12975,2025-01-29 11:02:12
-2720,-10948,3020,7565,-2971,16943,2025-01-29 11:02:12
6124,-5032,3104,3003,12777,16299,2025-01-29 11:02:12
-8772,-164,-12432,2450,16632,18059,2025-01-29 11:02:12
-32768,12416,-8060,8371,-15313,19292,2025-01-29 11:02:12
-32768,32767,3176,1142,-3229,9764,2025-01-29 11:02:12
1200,-13524,2156,10921,-2426,8532,2025-01-29 11:02:12
-4960,13948,-8520,5578,-4,10703,2025-01-29 11:02:13
-12100,12968,-2320,126,-3333,2378,2025-01-29 11:02:13
-12160,8372,1088,-3993,3971,1144,2025-01-29 11:02:13
-16472,10992,1364,-3049,779,-3756,2025-01-29 11:02:13
-13716,3816,-500,-5542,-3307,-7303,2025-01-29 11:02:13
-8976,1264,3320,-2219,-3451,-11882,2025-01-29 11:02:13
-14964,2004,5872,2074,3350,-12291,2025-01-29 11:02:13
-17908,2544,3404,-3845,-3420,-9520,2025-01-29 11:02:13
-20892,-372,244,-6592,-4028,7658,2025-01-29 11:02:13
-10920,-764,8016,665,-79,3902,2025-01-29 11:02:13
-13592,2828,6852,1698,304,28,2025-01-29 11:02:13
-14280,3604,4444,-548,992,-3861,2025-01-29 11:02:13
-15580,1960,2388,-1950,166,-448,2025-01-29 11:02:13
-13728,980,3808,-1648,-1196,299,2025-01-29 11:02:13
-14652,484,5224,-949,-1276,589,2025-01-29 11:02:14
-14188,1284,5352,-752,-708,323,2025-01-29 11:02:14
-13996,2152,4912,-1126,-722,-183,2025-01-29 11:02:14
