acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
2748,-16448,-844,-737,411,-252,2025-01-29 10:40:12
2904,-16748,-660,-1104,269,154,2025-01-29 10:40:12
3064,-16852,-364,-1242,-578,254,2025-01-29 10:40:12
2880,-16764,-488,-1091,-646,199,2025-01-29 10:40:13
2752,-16576,-592,-1062,138,356,2025-01-29 10:40:13
2616,-16576,-896,-1010,116,742,2025-01-29 10:40:13
3432,-16684,-440,-935,-1008,1345,2025-01-29 10:40:13
4080,-16832,160,-606,-411,493,2025-01-29 10:40:13
4204,-17332,1892,1995,2607,-987,2025-01-29 10:40:13
4308,-17040,4736,10052,3902,-8118,2025-01-29 10:40:13
5460,-17036,5372,8661,9757,-7010,2025-01-29 10:40:13
2444,-11192,2212,2092,4118,-1201,2025-01-29 10:40:13
1292,-13132,6000,-2660,1688,-878,2025-01-29 10:40:13
5808,-14376,8948,-1953,2442,1095,2025-01-29 10:40:13
3872,-12836,5164,-2463,-535,-1713,2025-01-29 10:40:14
3164,-26496,8616,-4619,-8065,1209,2025-01-29 10:40:14
4420,-15940,-4092,-9130,-12282,5479,2025-01-29 10:40:14
756,-16208,-616,-7620,-10263,4570,2025-01-29 10:40:14
4460,-16780,-2840,-6496,-13490,4643,2025-01-29 10:40:14
3608,-16948,-2312,-3830,-10763,5631,2025-01-29 10:40:14
1048,-18856,-4036,1014,-14088,4657,2025-01-29 10:40:14
4632,-15992,-1836,3342,-17656,9424,2025-01-29 10:40:14
-2816,-13872,-2748,1171,-17075,10307,2025-01-29 10:40:14
3432,-14584,-3196,6572,-8564,12746,2025-01-29 10:40:14
-4220,-13304,1188,705,-13294,15023,2025-01-29 10:40:14
6500,-11064,1908,6887,-13246,13504,2025-01-29 10:40:14
-3416,-11516,5040,5674,-9815,10891,2025-01-29 10:40:14
-8152,-16804,4156,24613,-13585,14609,2025-01-29 10:40:15
-17072,-2924,8516,32767,-17966,15733,2025-01-29 10:40:15
-32768,22824,32767,10765,21510,-3026,2025-01-29 10:40:15
-13544,12080,2356,14402,-12145,11271,2025-01-29 10:40:15
-3444,4836,1888,9560,-10057,134,2025-01-29 10:40:15
-2052,8404,1496,8977,-3375,-2499,2025-01-29 10:40:15
-7184,19264,3364,2447,700,-6725,2025-01-29 10:40:15
-3464,14636,10576,-5464,-903,-2815,2025-01-29 10:40:15
-4160,14536,9120,-8425,1364,-2487,2025-01-29 10:40:15
-9568,9336,9436,-9463,-5605,-2343,2025-01-29 10:40:15
528,3672,10136,-8162,-8077,801,2025-01-29 10:40:15
-6272,4080,13632,-12545,-11402,3139,2025-01-29 10:40:15
-884,-2496,19740,-1127,1965,-773,2025-01-29 10:40:16
-2584,1652,14132,-2043,-9079,770,2025-01-29 10:40:16
-4908,3024,14384,3321,-444,4868,2025-01-29 10:40:16
1252,4780,13704,-419,-4967,3063,2025-01-29 10:40:16
-356,5940,14424,-1591,-3387,2403,2025-01-29 10:40:16
2252,5072,14204,-1719,-1545,3237,2025-01-29 10:40:16
1308,3980,14744,-1836,-1350,-246,2025-01-29 10:40:16
512,3680,14636,-767,1114,-212,2025-01-29 10:40:16
432,4196,14124,-1069,-115,-452,2025-01-29 10:40:16
320,4536,14192,-841,-102,-205,2025-01-29 10:40:16
480,4400,14404,-811,-184,160,2025-01-29 10:40:16

