acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
3488,-16412,-1396,-67,-1178,-369,2025-01-29 11:07:01
3616,-16376,-1264,-795,340,-332,2025-01-29 11:07:01
3056,-16752,-980,-1364,1377,-394,2025-01-29 11:07:01
2944,-16824,-1648,-1570,736,-597,2025-01-29 11:07:01
3196,-16656,-2108,-1478,478,-627,2025-01-29 11:07:01
3308,-16840,-2008,-1175,978,-584,2025-01-29 11:07:01
3472,-16520,-2256,-874,1730,-715,2025-01-29 11:07:01
3400,-16956,-2352,-295,4572,-176,2025-01-29 11:07:02
3688,-16480,-4568,288,7743,633,2025-01-29 11:07:02
4152,-17000,-1604,2642,5082,1893,2025-01-29 11:07:02
3908,-15788,-324,2382,7765,1889,2025-01-29 11:07:02
1192,-18108,1944,1522,-882,588,2025-01-29 11:07:02
3688,-15972,1520,3378,-2027,1961,2025-01-29 11:07:04
3332,-15648,2320,4724,2109,2555,2025-01-29 11:07:04
3216,-16688,3620,4219,4200,3541,2025-01-29 11:07:04
424,-16804,2744,2678,1195,2057,2025-01-29 11:07:04
-1884,-14132,5664,3301,367,4115,2025-01-29 11:07:04
-4736,-12160,5316,7780,4366,6616,2025-01-29 11:07:04
-3136,-14064,5600,4649,3506,5863,2025-01-29 11:07:04
-4284,-11800,5988,3914,7034,3998,2025-01-29 11:07:04
-3580,-12976,7100,1762,1307,859,2025-01-29 11:07:04
-4724,4932,12664,-2008,-221,-139,2025-01-29 11:07:04
-4716,4032,13388,-2688,-334,50,2025-01-29 11:07:04
-4648,4140,13524,-1727,-933,-623,2025-01-29 11:07:04
-3928,4360,13856,-1492,-136,-892,2025-01-29 11:07:04
-4560,3412,13464,-920,619,939,2025-01-29 11:07:04
-4516,4676,12208,-791,735,601,2025-01-29 11:07:05
-4584,3736,13920,-1902,63,609,2025-01-29 11:07:05
-3344,4136,12884,-1161,-217,-1875,2025-01-29 11:07:05
-6180,3272,15404,-293,1154,-1644,2025-01-29 11:07:05
-4584,3660,12692,-977,126,-622,2025-01-29 11:07:05
-5084,3140,13596,-1477,276,80,2025-01-29 11:07:05
-4772,3324,13196,-1054,239,119,2025-01-29 11:07:05
-5352,3724,13452,-873,-203,59,2025-01-29 11:07:05
-4424,3384,13588,-859,-68,155,2025-01-29 11:07:05
-4996,3436,13820,-809,221,-323,2025-01-29 11:07:05
-5312,3236,13616,-919,-200,-733,2025-01-29 11:07:05
-4920,3500,13124,-908,-41,-129,2025-01-29 11:07:05
-5320,3476,13640,-970,-193,315,2025-01-29 11:07:06
-4636,3548,13652,-983,-47,57,2025-01-29 11:07:06
-5024,3388,13588,-816,27,-300,2025-01-29 11:07:06
-5032,3452,13404,-958,-78,-313,2025-01-29 11:07:06
-4888,3368,13468,-908,-58,-104,2025-01-29 11:07:06
-5096,3436,13468,-864,1,-248,2025-01-29 11:07:06
-5148,3408,13388,-943,-55,-218,2025-01-29 11:07:06
-4940,3356,13392,-928,-2,-140,2025-01-29 11:07:06
-5116,3428,13408,-944,-63,-188,2025-01-29 11:07:06
-5008,3472,13444,-925,-12,-203,2025-01-29 11:07:06
-5036,3380,13520,-918,46,-219,2025-01-29 11:07:06
-4992,3440,13468,-916,-94,-113,2025-01-29 11:07:06
