acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
4120,-16308,980,-860,-31,-224,2025-01-29 11:27:05
4028,-16256,648,-1070,269,-195,2025-01-29 11:27:05
4132,-16224,812,-1042,55,-138,2025-01-29 11:27:06
4164,-16380,700,-986,-167,-159,2025-01-29 11:27:06
4216,-16380,568,-948,-107,-94,2025-01-29 11:27:06
4184,-16092,360,-901,76,-188,2025-01-29 11:27:06
3988,-16420,708,-945,27,-132,2025-01-29 11:27:06
3996,-16500,584,-711,-67,-122,2025-01-29 11:27:06
4072,-16356,272,-414,-67,-111,2025-01-29 11:27:06
3980,-16580,-16,-57,237,69,2025-01-29 11:27:06
3700,-16444,412,669,452,199,2025-01-29 11:27:06
3604,-16232,384,2006,958,838,2025-01-29 11:27:06
3656,-16184,148,3074,2330,1162,2025-01-29 11:27:06
3004,-15888,1712,-531,5692,609,2025-01-29 11:27:06
1564,-15428,1420,1325,5407,989,2025-01-29 11:27:07
2200,-15956,3388,4844,2672,1093,2025-01-29 11:27:07
1660,-14396,5584,5000,3754,3055,2025-01-29 11:27:07
1780,-15804,7220,4110,4239,2937,2025-01-29 11:27:07
-104,-14760,6612,4261,4128,2524,2025-01-29 11:27:07
324,-14700,7740,4513,4692,3781,2025-01-29 11:27:07
-2188,-13704,8056,3519,3179,2292,2025-01-29 11:27:07
-2948,-13192,8780,4194,2394,2560,2025-01-29 11:27:07
-2528,-11872,9568,5647,1696,2508,2025-01-29 11:27:07
-2556,-10480,9580,6829,2381,2269,2025-01-29 11:27:08
-4376,-9612,10960,6437,1059,2933,2025-01-29 11:27:08
-3660,-8544,11672,7087,1781,2775,2025-01-29 11:27:08
-5748,-6228,11736,6024,1878,3513,2025-01-29 11:27:08
-5728,-6500,12452,5507,222,3014,2025-01-29 11:27:08
-5440,-5376,13476,4196,-156,2915,2025-01-29 11:27:08
-5684,-4432,14452,3690,-347,1646,2025-01-29 11:27:08
-5156,-3464,13620,2444,-528,762,2025-01-29 11:27:08
-5920,-3640,13704,1057,-2105,1353,2025-01-29 11:27:08
-4960,-2064,13452,99,-3562,967,2025-01-29 11:27:08
-4360,-1820,13416,-111,-5698,-8,2025-01-29 11:27:08
-3656,-1748,13424,-461,-5408,-1005,2025-01-29 11:27:08
-2552,-3176,15244,-575,-3696,-589,2025-01-29 11:27:08
-2672,-2408,15764,-667,-1749,-989,2025-01-29 11:27:08
-1076,-2000,14084,-575,666,-734,2025-01-29 11:27:08
-1336,-2264,14412,-148,-617,-872,2025-01-29 11:27:08
-1772,-1916,14724,-408,-1245,-871,2025-01-29 11:27:09
-1344,-1736,14716,-604,-449,-410,2025-01-29 11:27:09
-1388,-2228,14828,-1018,-233,-297,2025-01-29 11:27:09
-1260,-2316,14876,-823,199,-17,2025-01-29 11:27:09
-1424,-1852,14484,-780,-56,-40,2025-01-29 11:27:09
-1440,-1932,14772,-902,-213,-118,2025-01-29 11:27:09
-1264,-2208,14892,-984,-69,-91,2025-01-29 11:27:09
-1216,-2300,14860,-962,-105,-155,2025-01-29 11:27:09
-1208,-2220,14808,-874,-86,-210,2025-01-29 11:27:09
-1380,-2112,14744,-954,-80,-137,2025-01-29 11:27:09
-1328,-2356,14764,-954,-20,-71,2025-01-29 11:27:09
-1292,-2152,14668,-881,-11,-70,2025-01-29 11:27:09
-1176,-2144,14672,-934,-44,-145,2025-01-29 11:27:10
-1268,-2168,14848,-904,-44,-191,2025-01-29 11:27:10
-1292,-2144,14668,-972,-16,-97,2025-01-29 11:27:10
-1324,-2248,14572,-881,-22,-67,2025-01-29 11:27:10
-1304,-2172,14784,-882,-23,-121,2025-01-29 11:27:10
-1352,-2148,14876,-926,-12,-170,2025-01-29 11:27:10
-1288,-2168,14652,-907,14,-121,2025-01-29 11:27:10
