acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-4664,-14416,5404,318,5287,-1958,2025-01-29 11:12:56
-3964,-15392,2128,-2990,7596,-4379,2025-01-29 11:12:56
-6948,-20140,5820,968,4172,687,2025-01-29 11:12:56
-1644,-13612,-4932,-1695,9081,-1815,2025-01-29 11:12:56
-3860,-15936,-1700,-3305,6652,-667,2025-01-29 11:12:56
-6104,-16784,-6532,-5175,4203,-1220,2025-01-29 11:12:56
-3860,-16744,-1852,-1092,5880,954,2025-01-29 11:12:56
-4572,-15240,-3864,2387,9499,561,2025-01-29 11:12:57
-5532,-14956,-4028,-265,8713,-577,2025-01-29 11:12:57
-5740,-16252,-2576,-80,6900,-1242,2025-01-29 11:12:57
-5972,-14980,-3056,1605,7263,-653,2025-01-29 11:12:57
-5428,-15360,-3344,2165,9445,-872,2025-01-29 11:12:57
-5692,-15852,-3308,1991,9769,-420,2025-01-29 11:12:57
-6172,-16668,-3972,4583,5842,2412,2025-01-29 11:12:57
-3052,-19764,-1640,10552,5739,5118,2025-01-29 11:12:57
-2348,-14800,-784,13835,3993,6493,2025-01-29 11:12:57
-3596,-16040,-132,9417,-1715,4036,2025-01-29 11:12:57
-3020,-14724,1632,4999,1857,185,2025-01-29 11:12:57
-4820,-13156,1968,2949,6746,-1565,2025-01-29 11:12:57
-5648,-12716,2636,278,6784,-4618,2025-01-29 11:12:58
-7380,-12984,3160,-1934,8879,-4796,2025-01-29 11:12:58
-9388,-14644,3832,-3249,7053,-1416,2025-01-29 11:12:58
-7292,-15160,6508,462,3721,-1278,2025-01-29 11:12:58
-5168,-14296,2368,-1023,1364,-2014,2025-01-29 11:12:58
-9004,-23008,7052,432,148,741,2025-01-29 11:12:58
-504,-13788,-2348,-1889,4529,-1172,2025-01-29 11:12:58
-4488,-15912,-2432,-2536,11083,-664,2025-01-29 11:12:58
-7092,-15508,-3712,-1565,6736,-1772,2025-01-29 11:12:58
-4876,-15596,-2028,-3073,5678,-1529,2025-01-29 11:12:58
-5500,-15588,-2188,-1431,7976,-2382,2025-01-29 11:12:58
-6124,-15076,-2640,-784,7095,-1482,2025-01-29 11:12:58
-5428,-15468,-2056,-2437,4179,-3382,2025-01-29 11:12:59
-6556,-15460,-2000,-3101,3953,-3930,2025-01-29 11:12:59
-6036,-15936,-3372,-3344,773,-2906,2025-01-29 11:12:59
-4904,-16168,-2168,-932,2672,-1809,2025-01-29 11:12:59
-6688,-17024,-3652,269,2760,-168,2025-01-29 11:12:59
-7568,-18344,-4420,3654,-3042,1869,2025-01-29 11:12:59
-852,-16552,-1616,7415,-5342,4423,2025-01-29 11:12:59
-2144,-16164,-2304,10440,-3592,7475,2025-01-29 11:12:59
-5196,-17628,328,5187,-7813,5585,2025-01-29 11:12:59
-4408,-13508,324,262,-8055,5305,2025-01-29 11:12:59
-4004,-13680,1388,-3532,-3763,3275,2025-01-29 11:12:59
-4852,-12676,1904,-4322,500,62,2025-01-29 11:12:59
-6476,-15068,3744,-3650,365,-1659,2025-01-29 11:13:00
-9340,-14904,3664,-1664,76,2558,2025-01-29 11:13:00
-6824,-11860,3756,-416,-3236,-345,2025-01-29 11:13:00
-3156,-15388,2072,-7066,-119,-3878,2025-01-29 11:13:00
-6104,-17792,3576,-1175,2944,155,2025-01-29 11:13:00
-4964,-14356,-1400,-3395,5112,-2654,2025-01-29 11:13:00
-3756,-15364,-3380,-3556,6077,-2529,2025-01-29 11:13:00
