acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
4740,-19460,-1028,8838,-11615,4999,2025-01-29 11:29:48
1096,-27012,3348,11933,-3150,3100,2025-01-29 11:29:48
1536,-18108,-512,18279,-12086,5700,2025-01-29 11:29:48
2788,-13292,1080,10322,4,10664,2025-01-29 11:29:48
1868,-13628,5108,3200,-1474,6815,2025-01-29 11:29:48
3108,-10704,6964,-2463,-5551,3492,2025-01-29 11:29:48
1564,-9900,9104,-2262,-2420,-1543,2025-01-29 11:29:48
368,-11780,8348,-4129,-2256,-1363,2025-01-29 11:29:49
-3528,-18268,9968,-3429,63,1955,2025-01-29 11:29:49
788,-13820,10164,-8621,635,-2206,2025-01-29 11:29:49
-844,-27324,-912,1030,-18670,2271,2025-01-29 11:29:49
3068,-5820,-6652,-2911,-14806,6354,2025-01-29 11:29:49
8748,-21984,4836,-7447,-9256,-3899,2025-01-29 11:29:49
4716,-14240,-1036,-551,-9771,-2613,2025-01-29 11:29:49
5540,-15336,1284,-4383,-3847,-3087,2025-01-29 11:29:49
1888,-14500,2684,-3564,-6980,-918,2025-01-29 11:29:49
5868,-14208,1436,-5428,-5844,2395,2025-01-29 11:29:49
6176,-16644,1492,-1913,-7666,-189,2025-01-29 11:29:49
8148,-21276,4812,-1157,-6254,1964,2025-01-29 11:29:49
10892,-19380,-1836,8776,11952,-296,2025-01-29 11:29:49
-4224,-21368,5368,14710,6579,5754,2025-01-29 11:29:49
10932,-14268,-6980,9678,4382,-136,2025-01-29 11:29:49
3248,-13756,5456,6113,14793,-458,2025-01-29 11:29:50
-516,-11784,4016,635,10798,-3258,2025-01-29 11:29:50
-680,-10936,4336,-4694,-3354,-2403,2025-01-29 11:29:50
808,-11688,9496,-8202,-7750,-4716,2025-01-29 11:29:50
3464,-20784,15124,1895,2010,-3021,2025-01-29 11:29:50
-188,-13624,6920,-8328,5680,-1813,2025-01-29 11:29:50
136,-23704,-540,4945,-12003,445,2025-01-29 11:29:50
4736,-7308,-4428,-5670,-22494,4580,2025-01-29 11:29:50
-68,-16924,7372,-4816,-10713,-6809,2025-01-29 11:29:50
6164,-15752,1940,-1293,-13163,227,2025-01-29 11:29:50
5064,-14728,-496,-154,-12312,-697,2025-01-29 11:29:50
4216,-14400,-92,-1107,-11374,1401,2025-01-29 11:29:50
8760,-14956,2508,-4115,-8565,2550,2025-01-29 11:29:50
4316,-17652,2912,-645,-13767,2711,2025-01-29 11:29:51
7964,-17116,844,1560,-13460,2846,2025-01-29 11:29:51
6200,-22212,-1236,10513,-5025,-447,2025-01-29 11:29:51
-3152,-23340,2064,20025,1973,7294,2025-01-29 11:29:51
8152,-16040,-3984,12608,-3851,10526,2025-01-29 11:29:51
1932,-13068,2940,6535,6594,3937,2025-01-29 11:29:51
-1228,-11092,5468,-930,-31,6676,2025-01-29 11:29:51
816,-11304,4892,-6145,-9503,3124,2025-01-29 11:29:51
-216,-11424,9264,-5231,-20758,-698,2025-01-29 11:29:51
2616,-16680,13276,-1802,-4951,1016,2025-01-29 11:29:51
-1928,-13212,4988,-6255,-3514,-2561,2025-01-29 11:29:51
-2620,-29488,-1688,2899,-30031,3703,2025-01-29 11:29:51
5820,-8580,-6832,-233,-17568,5400,2025-01-29 11:29:52
8164,-18900,5652,-4001,-18828,-1337,2025-01-29 11:29:52
3860,-14500,1188,622,-17718,579,2025-01-29 11:29:52
