acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
2124,-21784,1992,-2036,1105,-1339,2025-01-29 11:23:35
784,-15460,-1652,-2791,3784,-1006,2025-01-29 11:23:35
-312,-17204,-700,-949,-977,-874,2025-01-29 11:23:35
1372,-17008,388,178,1114,150,2025-01-29 11:23:35
848,-16804,-496,-1482,959,-735,2025-01-29 11:23:35
408,-16580,-656,-471,169,-110,2025-01-29 11:23:35
772,-16704,-612,-1004,199,53,2025-01-29 11:23:35
948,-16924,-336,-1218,240,-479,2025-01-29 11:23:36
468,-16992,-292,-886,375,-279,2025-01-29 11:23:36
748,-16796,-664,-446,-113,-8,2025-01-29 11:23:36
932,-16732,-484,-524,-166,-129,2025-01-29 11:23:36
920,-16856,-500,-559,90,-16,2025-01-29 11:23:36
776,-17100,-600,200,-130,104,2025-01-29 11:23:36
704,-17028,-508,1000,-111,460,2025-01-29 11:23:36
656,-17000,-912,2445,-455,497,2025-01-29 11:23:36
340,-15256,-1816,4021,210,1562,2025-01-29 11:23:36
-324,-17228,1208,4792,4223,3486,2025-01-29 11:23:36
72,-15340,3008,4056,5858,1834,2025-01-29 11:23:36
-1500,-16388,4712,5091,8323,2965,2025-01-29 11:23:36
-972,-15588,5816,4360,5560,6217,2025-01-29 11:23:37
-4788,-14304,6944,5201,2230,4214,2025-01-29 11:23:37
-4136,-14536,7680,3929,1373,5130,2025-01-29 11:23:37
-5432,-11980,8548,1077,-187,1456,2025-01-29 11:23:37
-5072,-12524,8412,-911,-64,1552,2025-01-29 11:23:37
-5756,-13188,7312,-459,-684,1127,2025-01-29 11:23:37
-5664,-12036,7340,1,-283,784,2025-01-29 11:23:37
-6132,-12256,7720,-233,38,502,2025-01-29 11:23:37
-5720,-12484,7064,-356,31,141,2025-01-29 11:23:37
-6336,-12728,7692,-614,468,-166,2025-01-29 11:23:37
-5844,-13200,8296,-1226,-396,-1170,2025-01-29 11:23:37
-5568,-12128,6532,-2088,-1647,-1585,2025-01-29 11:23:37
-5304,-12772,8472,-2611,-2059,-1850,2025-01-29 11:23:38
-4412,-11852,8232,-4117,-2166,-3444,2025-01-29 11:23:38
-4564,-14096,7524,-6733,-2760,-4401,2025-01-29 11:23:38
-2964,-14924,6384,-5804,-5072,-4716,2025-01-29 11:23:38
-2760,-13496,4984,-5397,-4362,-3638,2025-01-29 11:23:38
-540,-15216,5484,-5290,-3097,-2835,2025-01-29 11:23:38
-208,-15408,4912,-5752,-1556,-3005,2025-01-29 11:23:38
-568,-16064,3360,-5393,-824,-2763,2025-01-29 11:23:38
288,-16660,2652,-6658,-1842,-1928,2025-01-29 11:23:38
-364,-16064,-1580,-6357,-1737,-2483,2025-01-29 11:23:38
756,-16308,-1020,-3434,-1734,-1121,2025-01-29 11:23:38
2228,-15568,-2124,-2772,-270,168,2025-01-29 11:23:38
1756,-17420,-1272,-4454,-1212,-2181,2025-01-29 11:23:39
1120,-17148,-304,-366,203,685,2025-01-29 11:23:39
1972,-16904,-1144,-1758,343,-430,2025-01-29 11:23:39
1588,-16936,-1236,-1186,350,-519,2025-01-29 11:23:39
1464,-17124,-848,-661,690,29,2025-01-29 11:23:39
1276,-16632,-772,-720,140,-240,2025-01-29 11:23:39
1016,-16820,-980,-429,-21,-167,2025-01-29 11:23:39
1368,-16756,-848,-393,-451,-78,2025-01-29 11:23:39
1660,-16852,-572,-573,-859,-31,2025-01-29 11:23:39
1424,-16848,-400,-403,-923,163,2025-01-29 11:23:39
1672,-16680,-232,-414,-473,-28,2025-01-29 11:23:39
1584,-16796,-40,-611,-206,-166,2025-01-29 11:23:39
1440,-16744,-144,-648,-146,-136,2025-01-29 11:23:40
1504,-16632,-56,-658,26,-59,2025-01-29 11:23:40
1344,-16744,68,-630,350,-184,2025-01-29 11:23:40
1404,-16720,24,-584,163,-189,2025-01-29 11:23:40
1568,-16632,112,-655,50,-173,2025-01-29 11:23:40
1332,-16768,120,-750,15,-298,2025-01-29 11:23:40
1432,-16760,228,-750,-15,-227,2025-01-29 11:23:40
1628,-16680,324,-639,135,-147,2025-01-29 11:23:40
1420,-16744,316,-721,40,-175,2025-01-29 11:23:40
