acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-5556,-15604,-860,-956,-98,-118,2025-01-29 10:16:33
-5712,-15540,-1008,-978,75,-191,2025-01-29 10:16:33
-5688,-15580,-976,-834,265,-13,2025-01-29 10:16:34
-5688,-15676,-960,-833,236,88,2025-01-29 10:16:34
-5812,-15572,-1084,-754,-41,114,2025-01-29 10:16:34
-5464,-15568,-660,-626,614,191,2025-01-29 10:16:34
-5400,-15608,-984,-272,463,275,2025-01-29 10:16:34
-5744,-15624,-1116,66,999,301,2025-01-29 10:16:34
-5640,-15076,-736,189,1566,703,2025-01-29 10:16:34
-5644,-14888,-132,1567,-1233,1945,2025-01-29 10:16:34
-5692,-14916,736,2326,-4385,3089,2025-01-29 10:16:34
-6012,-14096,-1144,2776,-982,2631,2025-01-29 10:16:34
-8420,-14452,16,1460,-3469,2555,2025-01-29 10:16:34
-9088,-15484,144,1971,-2129,2176,2025-01-29 10:16:34
-11548,-14480,3360,2727,-4877,1466,2025-01-29 10:16:35
-8316,-10964,5832,2823,-6703,2500,2025-01-29 10:16:35
-6556,-9728,4496,4473,-2391,2286,2025-01-29 10:16:35
-5980,-8928,6212,4453,-2070,3211,2025-01-29 10:16:35
-7128,-9128,7296,4474,-1738,2955,2025-01-29 10:16:35
-8944,-8520,6620,5595,-830,2895,2025-01-29 10:16:35
-8496,-8916,8224,6051,-328,3677,2025-01-29 10:16:35
-9240,-8036,9712,5747,-2013,4448,2025-01-29 10:16:35
-9952,-6680,10144,5263,-2263,4624,2025-01-29 10:16:35
-9920,-5704,11000,5315,-964,4549,2025-01-29 10:16:35
-10564,-4172,11400,4569,-578,3750,2025-01-29 10:16:35
-10200,-3940,12088,3796,-23,3290,2025-01-29 10:16:35
-11488,-3920,13996,1588,1022,2721,2025-01-29 10:16:36
-12280,-2516,13920,-1095,997,987,2025-01-29 10:16:36
-12620,-2736,14780,-4247,1089,100,2025-01-29 10:16:36
-11760,-3768,13644,-6771,1754,-1796,2025-01-29 10:16:36
-11864,-3280,10856,-7968,3096,-2601,2025-01-29 10:16:36
-11040,-6128,10028,-8105,1750,-4651,2025-01-29 10:16:36
-10604,-6624,8456,-7683,2699,-5062,2025-01-29 10:16:36
-10076,-6812,7268,-6712,2731,-5118,2025-01-29 10:16:36
-10440,-8048,6036,-5680,1454,-4190,2025-01-29 10:16:36
-9724,-8740,5772,-4776,1187,-4632,2025-01-29 10:16:36
-9580,-9428,5036,-4513,4208,-4356,2025-01-29 10:16:36
-10052,-10028,4404,-4663,7828,-3980,2025-01-29 10:16:36
-6428,-10148,1540,-4800,6659,-3927,2025-01-29 10:16:37
-7984,-11636,1652,-4504,4183,-5269,2025-01-29 10:16:37
-8176,-12864,324,-4384,4157,-5094,2025-01-29 10:16:37
-5824,-12488,484,-4600,433,-4643,2025-01-29 10:16:37
-6132,-14084,448,-2917,-2204,-2805,2025-01-29 10:16:37
-6160,-14064,-1844,-654,310,-1628,2025-01-29 10:16:37
-6020,-15112,256,-3058,-2980,252,2025-01-29 10:16:37
-6792,-14812,508,-248,173,10,2025-01-29 10:16:37
-7684,-14048,-412,-1361,-341,-212,2025-01-29 10:16:37
-7100,-15044,1180,-1982,-1056,184,2025-01-29 10:16:37
