acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-436,-16536,3068,-3193,-2782,-3562,2025-01-29 11:15:33
-4524,-16564,-48,-1960,-2062,-1516,2025-01-29 11:15:33
-2424,-17348,1208,-2228,-657,1562,2025-01-29 11:15:33
-2712,-17452,-632,1575,-675,303,2025-01-29 11:15:33
-3228,-16488,-1464,1310,-953,962,2025-01-29 11:15:33
-1888,-17192,-1188,2211,953,2167,2025-01-29 11:15:33
-260,-17800,-1412,3355,3247,113,2025-01-29 11:15:34
-1412,-15192,1056,-900,6803,-7060,2025-01-29 11:15:34
-5816,-17108,5296,-7105,6486,-6514,2025-01-29 11:15:34
-1388,-11256,2900,1273,5769,-434,2025-01-29 11:15:34
284,-16508,988,-6279,1883,-4435,2025-01-29 11:15:34
888,-15816,-1276,-4874,3033,-1809,2025-01-29 11:15:34
-960,-16080,-908,-4348,163,-1021,2025-01-29 11:15:34
776,-17588,-892,2374,-956,3055,2025-01-29 11:15:34
-1084,-15608,-2176,4850,-576,7452,2025-01-29 11:15:34
-5248,-17636,-556,-634,-8622,1524,2025-01-29 11:15:35
-6292,-19080,3744,4188,-5297,4251,2025-01-29 11:15:35
-2488,-15172,1320,1552,2018,2138,2025-01-29 11:15:35
-4148,-12000,1076,3448,-44,989,2025-01-29 11:15:35
-5544,-15108,3212,4025,157,927,2025-01-29 11:15:35
-4576,-13628,3708,6311,-386,3097,2025-01-29 11:15:35
-4140,-14436,3624,6561,-4374,2817,2025-01-29 11:15:35
-4816,-13572,3272,7753,-434,6758,2025-01-29 11:15:35
-3256,-9320,5888,8476,-6458,7995,2025-01-29 11:15:35
-4248,18068,24836,17565,-3864,15367,2025-01-29 11:15:35
-2780,19620,20128,9121,-8589,6363,2025-01-29 11:15:35
-6652,2780,160,6549,-8691,-6848,2025-01-29 11:15:35
-76,12132,336,2087,-2888,3473,2025-01-29 11:15:35
-56,15928,1872,-7293,-812,-3533,2025-01-29 11:15:35
-2208,11528,10244,-16330,-639,-10728,2025-01-29 11:15:36
-5580,2204,14772,-11248,1695,-9951,2025-01-29 11:15:36
-7560,800,20368,-1389,2234,-2113,2025-01-29 11:15:36
-4868,1808,7380,1798,-4080,-899,2025-01-29 11:15:36
-6616,4772,13044,-3061,-2996,594,2025-01-29 11:15:36
-4416,4988,15884,-2366,-330,1566,2025-01-29 11:15:36
-3444,6096,12844,1517,-21,-515,2025-01-29 11:15:36
-4084,6652,11576,-504,-879,-1253,2025-01-29 11:15:36
-4452,5656,12940,-2082,-56,109,2025-01-29 11:15:36
-4736,4868,13148,-1041,347,220,2025-01-29 11:15:36
-5440,5212,13328,-808,-103,-252,2025-01-29 11:15:36
-4688,5648,12984,-806,-128,0,2025-01-29 11:15:36
-4000,5720,12868,-968,-155,-60,2025-01-29 11:15:37
-4396,5476,13116,-908,-62,-124,2025-01-29 11:15:37
-4648,5516,13012,-974,-20,-184,2025-01-29 11:15:37
-4664,5472,13068,-937,-46,-178,2025-01-29 11:15:37
-4464,5508,13108,-915,-74,-109,2025-01-29 11:15:37
-4540,5524,13088,-900,-93,-131,2025-01-29 11:15:37
-4480,5652,12884,-930,-74,-163,2025-01-29 11:15:37
-4416,5580,13072,-1034,-70,-149,2025-01-29 11:15:37
-4480,5396,13088,-956,-27,-214,2025-01-29 11:15:37
-4672,5396,12940,-935,10,-246,2025-01-29 11:15:37
-4564,5624,13020,-921,-50,-278,2025-01-29 11:15:37
-4488,5476,12932,-805,-14,-183,2025-01-29 11:15:37
-4540,5356,13044,-841,-58,-173,2025-01-29 11:15:38
-4380,5460,12876,-915,-8,-118,2025-01-29 11:15:38
-4624,5608,12996,-860,25,-145,2025-01-29 11:15:38
-4604,5552,12980,-776,-6,-183,2025-01-29 11:15:38
-4380,5448,12948,-845,-87,-175,2025-01-29 11:15:38
