acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
256,-16820,-296,-933,12,-197,2025-01-29 10:33:14
432,-16744,-88,-967,-16,-197,2025-01-29 10:33:14
260,-16664,-348,-875,-11,-206,2025-01-29 10:33:14
536,-16944,-112,-588,-126,-230,2025-01-29 10:33:15
356,-16872,-236,-362,-91,-673,2025-01-29 10:33:15
52,-16948,-912,38,-435,-819,2025-01-29 10:33:15
320,-16992,-512,695,-784,-789,2025-01-29 10:33:15
-1716,-17504,-252,2727,-1738,-2522,2025-01-29 10:33:15
1608,-17092,1376,3522,-3909,-3326,2025-01-29 10:33:15
2572,-15604,1152,2365,-1972,-2995,2025-01-29 10:33:15
-56,-13284,520,-1186,-1044,-1815,2025-01-29 10:33:15
-776,-15412,1488,-3579,-154,2670,2025-01-29 10:33:15
348,-17644,-960,-7022,1895,4785,2025-01-29 10:33:15
-2492,-23408,2044,-6629,4525,5162,2025-01-29 10:33:15
8880,-17480,3496,-235,1356,-19,2025-01-29 10:33:15
4388,-18756,460,-1119,2399,-5117,2025-01-29 10:33:16
672,-16076,1136,116,-1238,-1906,2025-01-29 10:33:16
1812,-15904,-696,2013,-896,-1561,2025-01-29 10:33:16
540,-16356,-560,3102,-1117,-2833,2025-01-29 10:33:16
-212,-16944,920,3058,-2240,-4120,2025-01-29 10:33:16
-2248,-15516,6984,2485,2719,-6129,2025-01-29 10:33:16
8096,-14788,2572,4356,-4540,-4683,2025-01-29 10:33:16
-1216,-10152,-32,3295,177,-5665,2025-01-29 10:33:16
3464,-15700,5128,1881,-2559,-3545,2025-01-29 10:33:16
7128,-13196,7192,7259,-4929,-8740,2025-01-29 10:33:16
4412,-9852,1560,10457,-2407,-12582,2025-01-29 10:33:16
1860,-5356,-3336,12885,-1154,-13708,2025-01-29 10:33:16
-1472,-6884,-2204,26237,-9013,-25764,2025-01-29 10:33:17
32767,32767,32767,8682,-11146,-15567,2025-01-29 10:33:17
14308,-1040,5996,5196,-2719,-2416,2025-01-29 10:33:17
4900,5400,3872,1584,5540,-3320,2025-01-29 10:33:17
-276,8396,3152,-6251,4073,7350,2025-01-29 10:33:17
11320,3224,7892,-5130,2639,10250,2025-01-29 10:33:17
16672,-2724,15380,-936,-1954,7972,2025-01-29 10:33:17
22452,-2552,10684,-307,-5273,4307,2025-01-29 10:33:17
14996,-3272,3696,-5810,-3042,-6733,2025-01-29 10:33:17
14732,-940,8724,-1070,5647,-2273,2025-01-29 10:33:17
12704,672,9556,-242,-470,-921,2025-01-29 10:33:17
13576,2500,7576,-1556,-2214,1228,2025-01-29 10:33:17
14192,1396,6428,-2960,-2313,1473,2025-01-29 10:33:18
14740,-168,8396,-1294,-1126,-1134,2025-01-29 10:33:18
14476,-696,7100,-578,709,145,2025-01-29 10:33:18
14032,-92,7436,-1149,-6,-68,2025-01-29 10:33:18
14328,300,7668,-846,117,-149,2025-01-29 10:33:18
14340,632,7560,-976,-191,-281,2025-01-29 10:33:18
14004,224,7600,-880,-36,-107,2025-01-29 10:33:18
14432,-252,7456,-916,46,105,2025-01-29 10:33:18
14612,32,7456,-874,-73,3,2025-01-29 10:33:18
14512,412,7800,-961,210,-105,2025-01-29 10:33:18
13952,228,7876,-953,196,-57,2025-01-29 10:33:18
14004,88,7808,-937,-32,-81,2025-01-29 10:33:18
14380,52,7668,-859,-132,-177,2025-01-29 10:33:18
14368,56,7652,-960,-45,-160,2025-01-29 10:33:19
14396,148,7572,-867,-17,-128,2025-01-29 10:33:19
14280,76,7700,-911,72,-130,2025-01-29 10:33:19
14048,-64,7576,-888,-108,-168,2025-01-29 10:33:19
14320,240,7572,-930,-99,-144,2025-01-29 10:33:19
14304,-8,7364,-894,25,-92,2025-01-29 10:33:19
14204,8,7664,-908,29,-136,2025-01-29 10:33:19
