acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-2900,-17464,1468,3300,392,5144,2025-01-29 11:19:14
-4540,-17524,5192,5969,-12698,10446,2025-01-29 11:19:14
-1784,-13068,2832,755,-4922,-2328,2025-01-29 11:19:14
-2484,-13036,3524,-2205,2341,373,2025-01-29 11:19:15
-4352,-13596,7564,-515,-218,-710,2025-01-29 11:19:15
-7316,-14260,5104,-924,-674,402,2025-01-29 11:19:15
-4456,-11756,5912,-2953,-3478,565,2025-01-29 11:19:15
-3500,-16668,5352,-5628,315,-1484,2025-01-29 11:19:15
464,-15460,1424,1294,8289,-1248,2025-01-29 11:19:15
-3368,-14372,-4704,-3478,5388,-6130,2025-01-29 11:19:15
-4848,-16068,1968,-6828,2693,-1948,2025-01-29 11:19:15
-3092,-15332,468,-3675,1087,-8,2025-01-29 11:19:15
-4156,-15544,-1492,-3780,2100,-1234,2025-01-29 11:19:15
-3260,-15248,-472,-4091,2962,-1408,2025-01-29 11:19:15
-3552,-15972,-52,-2939,3750,-1433,2025-01-29 11:19:16
-2848,-18384,-1288,-3982,5696,-3703,2025-01-29 11:19:16
-8020,-23728,-4780,-2670,126,-2007,2025-01-29 11:19:16
576,-15736,1108,1230,954,-2659,2025-01-29 11:19:16
-2800,-12900,-4200,1231,-1280,-1386,2025-01-29 11:19:16
3564,-16456,-4464,-5108,389,-3987,2025-01-29 11:19:16
2560,-15260,-4288,-1598,7642,-5717,2025-01-29 11:19:16
-284,-13700,-3504,-7183,721,-8570,2025-01-29 11:19:16
1780,-13224,-1944,-7726,4158,-9618,2025-01-29 11:19:16
1196,-12288,-2700,-8463,4899,-12264,2025-01-29 11:19:16
3564,-6860,-3036,-11035,5666,-15613,2025-01-29 11:19:16
1916,-6116,-3252,-11508,5669,-19033,2025-01-29 11:19:16
3116,-1596,-5444,-11669,2811,-22421,2025-01-29 11:19:16
25536,32767,-32768,-16187,32767,-25902,2025-01-29 11:19:17
32767,16764,-21444,9251,-8033,4860,2025-01-29 11:19:17
16496,8484,-11200,5971,13639,-9351,2025-01-29 11:19:17
6756,3416,-3508,-3538,-1604,-1169,2025-01-29 11:19:17
11600,-172,-5464,1638,-768,4703,2025-01-29 11:19:17
15192,-1168,-11268,3271,-11350,1330,2025-01-29 11:19:17
15124,-1420,-13408,7208,2181,5428,2025-01-29 11:19:17
13800,-2632,-12608,4328,1006,3666,2025-01-29 11:19:17
14488,-1732,-12236,894,409,1870,2025-01-29 11:19:17
14460,-3864,-12416,-767,41,596,2025-01-29 11:19:17
13568,-4448,-11796,-2566,-726,-1415,2025-01-29 11:19:17
13180,-2660,-10376,-1855,244,-616,2025-01-29 11:19:17
13884,-2668,-11312,-1351,74,-147,2025-01-29 11:19:18
13780,-2876,-11540,-1374,-92,-184,2025-01-29 11:19:18
13644,-2912,-11460,-966,-585,37,2025-01-29 11:19:18
13808,-2920,-11868,-634,-227,-58,2025-01-29 11:19:18
13624,-2928,-11784,-1023,50,-236,2025-01-29 11:19:18
13528,-2864,-11384,-951,61,-148,2025-01-29 11:19:18
13676,-2744,-11520,-970,-158,-123,2025-01-29 11:19:18
13564,-2852,-11540,-1081,-326,-170,2025-01-29 11:19:18
13636,-2864,-11580,-1018,-153,-140,2025-01-29 11:19:18
13696,-2872,-11604,-881,-89,-88,2025-01-29 11:19:18
13572,-2836,-11708,-885,33,-159,2025-01-29 11:19:18
13480,-2716,-11632,-972,-177,-139,2025-01-29 11:19:19
13504,-2784,-11624,-960,-109,-144,2025-01-29 11:19:19
13576,-2772,-11588,-977,-62,-116,2025-01-29 11:19:19
13668,-2944,-11668,-914,-47,-150,2025-01-29 11:19:19
13552,-2808,-11672,-886,-40,-156,2025-01-29 11:19:19
13592,-2888,-11680,-906,44,-111,2025-01-29 11:19:19
13600,-2956,-11752,-844,-115,-58,2025-01-29 11:19:19
13492,-2768,-11564,-836,26,-92,2025-01-29 11:19:19
