acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-2792,-16540,-240,-1004,13,-1180,2025-01-29 11:20:55
-3132,-16780,396,-1366,426,-734,2025-01-29 11:20:55
-3432,-16544,600,-631,-360,-382,2025-01-29 11:20:55
-3132,-17280,1156,576,-1059,1329,2025-01-29 11:20:55
-3016,-18352,3052,6991,-6472,5759,2025-01-29 11:20:55
-1760,-13608,1212,7417,-11492,6128,2025-01-29 11:20:55
-3760,-14068,4448,2920,-2875,-115,2025-01-29 11:20:55
-3032,-12816,4496,-1381,50,2010,2025-01-29 11:20:55
-2412,-12772,6520,-1889,4613,811,2025-01-29 11:20:55
-6740,-13064,7624,-1523,2553,451,2025-01-29 11:20:55
-5440,-13848,7496,-1418,-1664,-19,2025-01-29 11:20:56
-3572,-17580,6052,-5208,-3257,-1153,2025-01-29 11:20:56
-892,-20868,4220,194,9809,-1533,2025-01-29 11:20:56
-4544,-13760,-1812,-1919,17084,-3589,2025-01-29 11:20:56
-2476,-14964,-584,-2349,8051,-3050,2025-01-29 11:20:56
-3944,-16980,-2376,-535,12558,-1449,2025-01-29 11:20:56
-3496,-14968,-1692,-1313,10264,-1524,2025-01-29 11:20:56
-4668,-15592,-140,-540,9665,-3068,2025-01-29 11:20:56
-5856,-15532,-1156,398,9946,-4579,2025-01-29 11:20:56
-7104,-16660,-648,917,9910,-6260,2025-01-29 11:20:57
-7864,-17124,660,4337,11175,-6409,2025-01-29 11:20:57
6812,-18536,888,9261,12864,-338,2025-01-29 11:20:57
-1280,-13088,-1832,13640,12680,-6995,2025-01-29 11:20:57
-1104,-13780,1952,3269,9629,-4637,2025-01-29 11:20:57
-4024,-12940,3380,961,7512,-2808,2025-01-29 11:20:57
-2160,-12016,4212,5667,-625,-3210,2025-01-29 11:20:57
-2736,-10468,3556,7949,-3021,-5285,2025-01-29 11:20:57
-2740,-12636,2148,4944,-3518,-2420,2025-01-29 11:20:57
32296,-22184,15980,-4853,-4259,-32768,2025-01-29 11:20:57
32767,-2028,3944,-6594,-23260,-9151,2025-01-29 11:20:57
14568,-464,6816,797,-7398,-3787,2025-01-29 11:20:57
4160,-3628,-8336,3851,-13714,-5549,2025-01-29 11:20:58
16268,6900,-1936,1649,4008,9119,2025-01-29 11:20:58
13396,-1272,-2032,5575,4387,13400,2025-01-29 11:20:58
27612,-10244,-1160,-1140,-7355,3176,2025-01-29 11:20:58
19968,-9156,-884,-4059,4429,-2675,2025-01-29 11:20:58
9008,-8596,2508,-928,-2293,-43,2025-01-29 11:20:58
15208,-9164,1724,-2898,-173,2830,2025-01-29 11:20:58
16588,-6440,-356,-671,-244,-1567,2025-01-29 11:20:58
14888,-6864,-412,-1815,-729,-97,2025-01-29 11:20:58
15932,-7252,-672,-1517,-2127,516,2025-01-29 11:20:58
15440,-7656,-1096,-790,-284,-93,2025-01-29 11:20:58
15480,-7716,-868,-865,634,-202,2025-01-29 11:20:58
15564,-7268,-412,-723,560,-364,2025-01-29 11:20:59
15276,-6900,-184,-832,163,-294,2025-01-29 11:20:59
15412,-7224,-420,-979,-239,-1,2025-01-29 11:20:59
15628,-7472,-820,-994,-222,-25,2025-01-29 11:20:59
15488,-7336,-652,-942,-61,-193,2025-01-29 11:20:59
15416,-7224,-492,-910,-93,-129,2025-01-29 11:20:59
15380,-7244,-428,-916,-52,-107,2025-01-29 11:20:59
15456,-7316,-680,-931,-22,-141,2025-01-29 11:20:59
15368,-7416,-552,-893,-177,-97,2025-01-29 11:20:59
15424,-7424,-372,-953,-87,-113,2025-01-29 11:20:59
15504,-7420,-676,-956,-108,-143,2025-01-29 11:20:59
