acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-5688,-15652,-1368,-846,834,228,2025-01-29 10:12:50
-6452,-15204,-1704,-242,1606,-147,2025-01-29 10:12:50
-5408,-15276,-2184,-340,982,-99,2025-01-29 10:12:50
-7212,-14892,-2612,-936,-1165,-745,2025-01-29 10:12:50
-7244,-15020,-1692,-750,-551,-512,2025-01-29 10:12:50
-6328,-15068,-1760,-893,-1781,-683,2025-01-29 10:12:51
-6064,-15264,-1584,-912,-573,-732,2025-01-29 10:12:51
-5720,-15640,-484,-797,-894,-640,2025-01-29 10:12:51
-5928,-15876,-392,435,300,485,2025-01-29 10:12:51
-6436,-16576,476,1969,238,1740,2025-01-29 10:12:51
-6616,-15404,-284,1660,2268,4586,2025-01-29 10:12:51
-7640,-14720,960,1558,-2994,5876,2025-01-29 10:12:51
-6824,-13208,184,-1360,-4084,2883,2025-01-29 10:12:51
-6688,-11544,1168,-3317,-1567,-867,2025-01-29 10:12:51
-7732,-10876,1368,-3955,-730,-4881,2025-01-29 10:12:51
-12700,-25724,1264,-4854,2841,-3563,2025-01-29 10:12:51
-2116,-10752,-336,-4220,6475,-271,2025-01-29 10:12:51
-6224,-18736,-2852,-506,-4428,-5277,2025-01-29 10:12:52
-4284,-14768,-3996,-3399,5873,-3245,2025-01-29 10:12:52
-6384,-17396,-1956,-1306,7097,-1324,2025-01-29 10:12:52
-5508,-15688,-4632,2718,13234,487,2025-01-29 10:12:52
-6664,-15688,-3688,2849,9386,-924,2025-01-29 10:12:52
-5732,-15444,-3116,3508,10178,-1772,2025-01-29 10:12:52
-6212,-14304,-3064,4339,6082,-2155,2025-01-29 10:12:52
-5892,-17308,-3244,6212,5530,-3638,2025-01-29 10:12:52
-4708,-15596,-2788,7117,5018,-3518,2025-01-29 10:12:52
-2716,-16176,-1244,7751,5120,-5813,2025-01-29 10:12:52
-4896,-16568,884,5615,7078,-5727,2025-01-29 10:12:52
-4468,-15004,-796,5223,3430,-6069,2025-01-29 10:12:52
-2332,-14140,340,6554,4712,-6101,2025-01-29 10:12:53
-3680,-12616,-240,7926,4103,-5842,2025-01-29 10:12:53
-3084,-10124,-2200,9512,1575,-6520,2025-01-29 10:12:53
-968,-8676,-180,11642,491,-3757,2025-01-29 10:12:53
1420,-6780,220,22095,4180,460,2025-01-29 10:12:53
9092,-18832,12356,32767,-12433,2254,2025-01-29 10:12:53
12788,5932,32232,32767,-1397,4125,2025-01-29 10:12:53
16796,26424,32767,17334,-5375,4003,2025-01-29 10:12:53
6540,13264,-940,20757,-9892,2417,2025-01-29 10:12:53
-2028,2868,6676,5268,-21225,4529,2025-01-29 10:12:53
16604,13960,928,3137,-8743,-2065,2025-01-29 10:12:53
13304,11396,4408,-230,-461,2418,2025-01-29 10:12:53
13876,10044,6164,-6074,2093,5761,2025-01-29 10:12:54
16424,8832,3020,-7072,2964,6283,2025-01-29 10:12:54
12388,6312,3720,-12625,19656,2694,2025-01-29 10:12:54
4824,3524,7200,-21341,20182,2752,2025-01-29 10:12:54
-1312,-1532,13592,-26558,14877,588,2025-01-29 10:12:54
10000,-24856,25192,-11141,-13142,152,2025-01-29 10:12:54
7528,-7944,10528,7232,1495,-2787,2025-01-29 10:12:54
4364,-5144,8536,820,484,-1126,2025-01-29 10:12:54
7068,-5380,12200,-5818,-1271,766,2025-01-29 10:12:54
9212,-5200,14624,1420,1455,-1201,2025-01-29 10:12:54
5796,-4000,13600,1776,3469,-244,2025-01-29 10:12:54
3712,-3636,12804,-601,1727,70,2025-01-29 10:12:54
5128,-4160,14716,-1233,-207,-149,2025-01-29 10:12:55
5400,-3576,13668,57,388,-191,2025-01-29 10:12:55
5340,-3940,13736,-1361,-318,-297,2025-01-29 10:12:55
5832,-4148,13980,-1121,-167,-169,2025-01-29 10:12:55
5472,-4216,13708,-951,37,-69,2025-01-29 10:12:55
5472,-4324,13892,-1137,-83,-111,2025-01-29 10:12:55
5420,-4400,13812,-904,-15,-153,2025-01-29 10:12:55
5600,-4336,13976,-917,66,-193,2025-01-29 10:12:55
5784,-4232,13740,-903,-47,-144,2025-01-29 10:12:55
5552,-4188,13728,-825,85,-112,2025-01-29 10:12:55
5400,-4420,13532,-836,84,-147,2025-01-29 10:12:55
5516,-4208,13844,-859,39,-160,2025-01-29 10:12:55
5516,-4112,13796,-948,-41,-152,2025-01-29 10:12:55
