acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-7516,-14348,-1780,-1129,-386,-141,2025-01-29 10:21:17
-7596,-14444,-1696,-868,83,-110,2025-01-29 10:21:17
-7788,-14408,-1272,-657,15,12,2025-01-29 10:21:17
-8092,-14364,-1600,-835,-153,-74,2025-01-29 10:21:17
-7908,-14548,-1392,-971,-384,-190,2025-01-29 10:21:17
-7840,-14644,-1100,-830,-164,-73,2025-01-29 10:21:17
-7796,-14272,-1648,-801,152,-102,2025-01-29 10:21:17
-7904,-14420,-1628,-959,-16,-109,2025-01-29 10:21:17
-7876,-14532,-1400,-630,129,263,2025-01-29 10:21:18
-7808,-14664,-1356,-491,133,408,2025-01-29 10:21:18
-7836,-14680,-1256,-449,116,633,2025-01-29 10:21:18
-7536,-14272,-1136,-676,-863,-211,2025-01-29 10:21:18
-8980,-13536,-1116,-641,612,-709,2025-01-29 10:21:18
-7964,-14288,-624,-1019,-188,-143,2025-01-29 10:21:18
-7860,-14612,-1684,-672,-69,665,2025-01-29 10:21:18
-7584,-14836,-1020,-638,-203,45,2025-01-29 10:21:18
-7960,-14680,-816,-394,-151,-348,2025-01-29 10:21:18
-8352,-14440,-1132,-685,-497,-42,2025-01-29 10:21:19
-8180,-14448,-1192,-526,-469,866,2025-01-29 10:21:19
-7036,-14412,-700,385,-762,1762,2025-01-29 10:21:19
-5840,-14396,-476,1076,-668,2738,2025-01-29 10:21:19
-7708,-14104,-1532,2397,392,4176,2025-01-29 10:21:19
-10124,-12376,-884,2231,967,3320,2025-01-29 10:21:19
-9928,-9800,96,2414,-6363,3622,2025-01-29 10:21:19
-12768,-11896,-664,3415,-4345,3368,2025-01-29 10:21:19
-13968,-7776,3064,4207,-1867,4583,2025-01-29 10:21:19
-12956,-9324,7092,3609,-2291,6000,2025-01-29 10:21:19
-11312,-6588,6908,2609,-4107,6415,2025-01-29 10:21:19
-10928,-7208,6516,2231,-1095,5519,2025-01-29 10:21:19
-11200,-6128,5176,3028,-2045,4519,2025-01-29 10:21:19
-12548,-4508,6228,2988,-997,5257,2025-01-29 10:21:19
-12788,-4360,7260,2558,-355,5108,2025-01-29 10:21:19
-13900,-3272,7876,2797,-335,4822,2025-01-29 10:21:20
-14500,-7204,7352,4255,-4799,6803,2025-01-29 10:21:20
-15672,-316,10636,2973,-1040,1977,2025-01-29 10:21:20
-12716,796,7484,-265,66,1100,2025-01-29 10:21:20
-10404,-820,8616,696,-2163,449,2025-01-29 10:21:20
-12620,-528,10040,-588,-96,942,2025-01-29 10:21:20
-11276,-608,9432,44,1745,1942,2025-01-29 10:21:20
-12928,144,8492,1021,2683,2570,2025-01-29 10:21:20
-12608,556,7496,212,637,1555,2025-01-29 10:21:20
-14272,2428,7580,-1610,51,738,2025-01-29 10:21:20
-13564,1824,7032,-1031,114,436,2025-01-29 10:21:20
-13004,960,8056,-1178,-178,184,2025-01-29 10:21:20
-12972,1420,7588,-1163,448,294,2025-01-29 10:21:21
-12976,1536,7928,-852,389,209,2025-01-29 10:21:21
-12552,1624,7368,-1303,1283,115,2025-01-29 10:21:21
-13064,1444,7380,-1382,616,63,2025-01-29 10:21:21
-13176,1444,7536,-1004,433,-162,2025-01-29 10:21:21
-13176,1660,7144,-846,-74,-229,2025-01-29 10:21:21
-13216,1704,7052,-748,-407,-214,2025-01-29 10:21:21
-13084,1348,7644,-792,-425,-252,2025-01-29 10:21:21
-12856,1548,7536,-862,-375,-308,2025-01-29 10:21:21
-12868,1448,7344,-715,-137,-289,2025-01-29 10:21:21
-12840,1496,7504,-822,-83,-259,2025-01-29 10:21:21
-13092,1484,7452,-748,-366,-239,2025-01-29 10:21:21
-12836,1624,7284,-958,-60,-125,2025-01-29 10:21:22
-12948,1568,7512,-895,-33,-177,2025-01-29 10:21:22
-12976,1548,7656,-863,14,-158,2025-01-29 10:21:22
-12844,1560,7568,-861,-204,-208,2025-01-29 10:21:22
-12852,1520,7564,-837,-301,-229,2025-01-29 10:21:22
