acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
696,-16800,-652,-896,42,-130,2025-01-29 10:48:09
744,-16852,-764,-891,39,-142,2025-01-29 10:48:09
768,-16892,-716,-917,16,-153,2025-01-29 10:48:09
948,-16852,-648,-853,176,-146,2025-01-29 10:48:09
512,-16760,-820,-895,155,-142,2025-01-29 10:48:09
492,-16808,-776,-921,-253,-90,2025-01-29 10:48:09
736,-16780,-680,-992,-437,-151,2025-01-29 10:48:09
716,-16816,-696,-994,-438,-193,2025-01-29 10:48:09
780,-16784,-424,-963,-247,-163,2025-01-29 10:48:10
840,-16832,-728,-956,-107,-138,2025-01-29 10:48:10
648,-16776,-668,-935,64,-154,2025-01-29 10:48:10
816,-16828,-764,-914,79,-150,2025-01-29 10:48:10
764,-16924,-944,-925,73,-147,2025-01-29 10:48:10
600,-16828,-736,-963,-5,-180,2025-01-29 10:48:10
736,-16924,-660,-925,-115,-129,2025-01-29 10:48:10
792,-16792,-708,-919,-40,-146,2025-01-29 10:48:10
724,-16784,-840,-903,4,-167,2025-01-29 10:48:10
612,-16912,-776,-927,-130,-155,2025-01-29 10:48:10
736,-16928,-864,-885,-106,-134,2025-01-29 10:48:10
848,-16864,-792,-899,-107,-151,2025-01-29 10:48:10
784,-16796,-788,-901,-60,-168,2025-01-29 10:48:11
872,-16820,-880,-902,23,-128,2025-01-29 10:48:11
680,-16852,-848,-819,130,-148,2025-01-29 10:48:11
572,-16828,-1008,-796,85,-77,2025-01-29 10:48:11
772,-16872,-664,-785,46,-119,2025-01-29 10:48:11
564,-16812,-520,-888,-267,-157,2025-01-29 10:48:11
868,-16860,-448,-809,-330,13,2025-01-29 10:48:11
932,-16672,-632,-823,11,-13,2025-01-29 10:48:11
736,-16812,-548,-933,263,-183,2025-01-29 10:48:11
460,-16768,-704,-959,183,-214,2025-01-29 10:48:11
404,-16856,-492,-1022,-459,8,2025-01-29 10:48:11
1100,-16956,-740,-895,-208,48,2025-01-29 10:48:11
928,-16688,-896,-758,152,34,2025-01-29 10:48:12
304,-16800,-652,-1017,-83,-196,2025-01-29 10:48:12
484,-16848,-776,-1070,-473,-152,2025-01-29 10:48:12
904,-16784,-964,-964,-336,-148,2025-01-29 10:48:12
636,-16764,-660,-967,-16,-245,2025-01-29 10:48:12
648,-16940,-548,-1016,22,-254,2025-01-29 10:48:12
600,-16860,-848,-790,110,-65,2025-01-29 10:48:12
644,-16748,-824,-867,60,-108,2025-01-29 10:48:12
680,-16884,-624,-889,18,-197,2025-01-29 10:48:12
652,-16768,-688,-853,-112,-132,2025-01-29 10:48:12
724,-16936,-704,-877,3,-166,2025-01-29 10:48:12
688,-16920,-660,-799,-15,-125,2025-01-29 10:48:12
776,-16776,-816,-883,75,-119,2025-01-29 10:48:13
