acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-7744,-14612,-1228,-421,663,-25,2025-01-29 10:24:54
-7980,-13964,-1404,-257,644,-179,2025-01-29 10:24:54
-8244,-14136,-1128,-633,370,-333,2025-01-29 10:24:54
-7872,-14300,-916,-1034,-464,-194,2025-01-29 10:24:55
-7576,-14288,-1328,-924,-503,-183,2025-01-29 10:24:55
-7892,-14384,-1012,-1057,-515,-155,2025-01-29 10:24:55
-7708,-14660,-1156,-1029,-280,-171,2025-01-29 10:24:55
-7420,-14492,-860,-877,32,-159,2025-01-29 10:24:55
-7636,-14552,-844,-907,-38,-110,2025-01-29 10:24:55
-7688,-14552,-912,-890,20,-174,2025-01-29 10:24:55
-7824,-14212,-1156,-881,7,-178,2025-01-29 10:24:55
-7760,-14476,-516,-785,213,-112,2025-01-29 10:24:55
-7508,-14768,-712,-999,-152,-215,2025-01-29 10:24:55
-7828,-14444,-1008,-1000,-281,-128,2025-01-29 10:24:55
-7700,-14372,-788,-824,33,-196,2025-01-29 10:24:55
-7760,-14472,-880,-837,56,-174,2025-01-29 10:24:56
-7616,-14208,-1208,-902,-106,-227,2025-01-29 10:24:56
-7720,-14348,-1044,-922,-130,-298,2025-01-29 10:24:56
-7560,-14380,-972,-642,460,-246,2025-01-29 10:24:56
-7848,-14500,-796,-726,32,-40,2025-01-29 10:24:56
-7676,-14256,-1236,-822,-94,-122,2025-01-29 10:24:56
-7840,-14260,-812,-633,207,-75,2025-01-29 10:24:56
-7484,-14744,-936,-988,-233,-217,2025-01-29 10:24:56
-7732,-14312,-1160,-891,-27,-129,2025-01-29 10:24:56
-7640,-14348,-940,-718,179,-42,2025-01-29 10:24:56
-7552,-14668,-1032,-1026,-287,-263,2025-01-29 10:24:56
-7732,-14280,-1220,-948,-196,-160,2025-01-29 10:24:56
-8008,-14248,-708,-693,344,-11,2025-01-29 10:24:57
-7408,-14680,-800,-910,-35,-156,2025-01-29 10:24:57
-7724,-14440,-984,-946,-202,-94,2025-01-29 10:24:57
-7888,-14356,-1004,-820,39,-137,2025-01-29 10:24:57
-7752,-14548,-720,-930,19,-207,2025-01-29 10:24:57
-7768,-14460,-800,-833,123,-41,2025-01-29 10:24:57
-7432,-14812,-884,-1035,-90,-298,2025-01-29 10:24:57
-7864,-14384,-1000,-870,52,-16,2025-01-29 10:24:57
-7828,-14316,-812,-782,67,-44,2025-01-29 10:24:57
-7632,-14664,-464,-865,-197,-140,2025-01-29 10:24:57
-7844,-14520,-596,-780,-20,-42,2025-01-29 10:24:57
-7616,-14580,-292,-817,-25,-97,2025-01-29 10:24:57
-7728,-14524,-636,-799,104,-113,2025-01-29 10:24:58
-7612,-14688,-972,-1011,-49,-201,2025-01-29 10:24:58
-7716,-14368,-1180,-1090,-222,-120,2025-01-29 10:24:58
-7920,-14116,-1204,-975,-97,-118,2025-01-29 10:24:58
-7672,-14404,-708,-828,177,-61,2025-01-29 10:24:58
-7556,-14752,-648,-1137,-330,-131,2025-01-29 10:24:58
-7760,-14464,-924,-1059,-157,-80,2025-01-29 10:24:58
-7632,-14448,-944,-1010,-138,-95,2025-01-29 10:24:58
-7592,-14504,-732,-933,91,-49,2025-01-29 10:24:58
-7940,-14520,-752,-983,-46,-55,2025-01-29 10:24:58
-7972,-14324,-1028,-977,-87,-165,2025-01-29 10:24:58
-7820,-14044,-892,-840,72,-84,2025-01-29 10:24:58
-7764,-14416,-540,-794,102,-101,2025-01-29 10:24:59
-7780,-14596,-560,-851,120,-130,2025-01-29 10:24:59
-8020,-14268,-1052,-918,-90,-125,2025-01-29 10:24:59
-7932,-14124,-1044,-902,-15,-129,2025-01-29 10:24:59
-7804,-14220,-1156,-948,-1,-105,2025-01-29 10:24:59
-7792,-14408,-1040,-1003,-123,-199,2025-01-29 10:24:59
-7912,-14140,-1044,-748,268,-88,2025-01-29 10:24:59
-7836,-14344,-680,-712,135,-77,2025-01-29 10:24:59
-7560,-14748,-496,-946,-166,-210,2025-01-29 10:24:59
-7876,-14528,-656,-923,-72,-151,2025-01-29 10:24:59
-8096,-14372,-620,-908,12,-171,2025-01-29 10:24:59
-7784,-14200,-1036,-807,126,-193,2025-01-29 10:24:59
-7780,-14352,-908,-835,-84,-207,2025-01-29 10:24:59
-7996,-14144,-924,-691,211,-134,2025-01-29 10:25:00
-7700,-14464,-792,-809,-18,-163,2025-01-29 10:25:00
-7732,-14472,-1000,-929,-109,-215,2025-01-29 10:25:00
-7716,-14340,-824,-739,187,-62,2025-01-29 10:25:00
-7616,-14568,-856,-1023,-266,-204,2025-01-29 10:25:00
-7804,-14404,-476,-922,-126,-107,2025-01-29 10:25:00
-7684,-14568,-492,-900,-104,-161,2025-01-29 10:25:00
-7768,-14716,-700,-941,-167,-144,2025-01-29 10:25:00
-7740,-14384,-488,-922,-83,-165,2025-01-29 10:25:00
-7856,-14472,-568,-911,-26,-73,2025-01-29 10:25:00
-7624,-14656,-532,-930,-116,-137,2025-01-29 10:25:00
-7660,-14844,-644,-1122,-307,-213,2025-01-29 10:25:00
-7880,-14632,-724,-984,-218,-56,2025-01-29 10:25:01
-7748,-14596,-428,-1013,-130,-162,2025-01-29 10:25:01
-7800,-14544,-740,-906,-52,-64,2025-01-29 10:25:01
-7560,-14600,-744,-1017,-174,-194,2025-01-29 10:25:01
-8040,-14184,-912,-937,-80,-141,2025-01-29 10:25:01
