acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-3548,-15960,-4200,1381,14360,1038,2025-01-29 11:12:18
-5056,-14256,-6744,1578,12658,120,2025-01-29 11:12:18
-5204,-14516,-4340,-1708,9136,-495,2025-01-29 11:12:18
-5916,-15628,-3984,-1015,6787,-1402,2025-01-29 11:12:18
-5984,-15396,-4760,-476,5492,-1816,2025-01-29 11:12:18
-3996,-15872,-4592,-123,5189,-1162,2025-01-29 11:12:18
-3780,-16284,-4220,540,8813,-1442,2025-01-29 11:12:18
-7088,-16576,-5588,2616,9132,-1366,2025-01-29 11:12:19
-6296,-16616,-4256,4906,7568,2350,2025-01-29 11:12:19
-2412,-16444,-2096,10604,2173,6080,2025-01-29 11:12:19
-516,-19936,-732,14730,8224,10098,2025-01-29 11:12:19
-2760,-16888,-2912,10640,-2447,7698,2025-01-29 11:12:19
-408,-14120,540,11435,-4625,-60,2025-01-29 11:12:19
-4728,-12932,1576,5892,5764,-2056,2025-01-29 11:12:19
-5164,-9872,1460,-3421,7341,-5397,2025-01-29 11:12:19
-7392,-12492,5988,-10229,9802,-5729,2025-01-29 11:12:19
-7928,-16892,7860,2116,2114,2193,2025-01-29 11:12:19
-2720,-17180,3080,2172,-2140,617,2025-01-29 11:12:19
-1160,-15128,-408,-1539,8739,2610,2025-01-29 11:12:19
-7372,-16932,-2148,-4642,8065,-4797,2025-01-29 11:12:20
-4728,-15144,-3556,-5795,5464,-1914,2025-01-29 11:12:20
-5488,-16192,-1780,-345,9395,-424,2025-01-29 11:12:20
-6096,-14852,-3528,112,9833,-1137,2025-01-29 11:12:20
-6000,-14612,-1864,-2980,6123,-2321,2025-01-29 11:12:20
-7256,-15224,-200,-2666,2405,-3587,2025-01-29 11:12:20
-7156,-15884,-4076,854,6257,-956,2025-01-29 11:12:20
-6908,-18408,-2800,279,6731,-1068,2025-01-29 11:12:20
-4992,-18660,-1740,5427,-309,3147,2025-01-29 11:12:20
-652,-14668,-200,14354,832,4481,2025-01-29 11:12:20
-5088,-16488,-1380,10455,-2802,4288,2025-01-29 11:12:20
-4328,-15172,1972,4386,-6954,3122,2025-01-29 11:12:20
-4376,-14112,2096,389,-2392,4925,2025-01-29 11:12:21
-3728,-11496,2636,-1952,800,-856,2025-01-29 11:12:21
-6492,-12828,4308,-3897,3150,-3296,2025-01-29 11:12:21
-9028,-15232,5648,-3653,1453,-1060,2025-01-29 11:12:21
-7084,-14476,4868,-1241,-3048,1894,2025-01-29 11:12:21
-3168,-14444,3852,-2157,-2779,1786,2025-01-29 11:12:21
-6496,-21976,8996,-238,-1607,-239,2025-01-29 11:12:21
-6692,-12824,-3908,-4124,11326,-3758,2025-01-29 11:12:21
-7792,-17304,-4716,-7700,-479,-2667,2025-01-29 11:12:21
-2908,-16648,-3604,-4026,5377,-592,2025-01-29 11:12:21
-6588,-14860,-2224,1119,7959,-762,2025-01-29 11:12:21
-5612,-15260,-200,-558,3186,-936,2025-01-29 11:12:21
-6340,-15464,-820,2418,713,-2046,2025-01-29 11:12:22
