acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-124,-24056,7568,-791,-8446,-297,2025-01-29 11:29:47
3196,-13968,-1400,3577,-12663,654,2025-01-29 11:29:47
5208,-14952,-3176,-5651,-17708,1024,2025-01-29 11:29:47
3628,-16300,2712,2847,-21662,-2810,2025-01-29 11:29:47
7036,-14472,-1900,3192,-17740,637,2025-01-29 11:29:47
5800,-15976,-1440,3757,-21835,2374,2025-01-29 11:29:47
8568,-14900,584,1252,-16917,1975,2025-01-29 11:29:47
5568,-14744,1988,-84,-12166,3256,2025-01-29 11:29:47
4536,-16552,1636,3467,-16318,3742,2025-01-29 11:29:47
5856,-15680,2704,4514,-16411,1462,2025-01-29 11:29:48
4740,-19460,-1028,8838,-11615,4999,2025-01-29 11:29:48
1096,-27012,3348,11933,-3150,3100,2025-01-29 11:29:48
1536,-18108,-512,18279,-12086,5700,2025-01-29 11:29:48
2788,-13292,1080,10322,4,10664,2025-01-29 11:29:48
1868,-13628,5108,3200,-1474,6815,2025-01-29 11:29:48
3108,-10704,6964,-2463,-5551,3492,2025-01-29 11:29:48
1564,-9900,9104,-2262,-2420,-1543,2025-01-29 11:29:48
368,-11780,8348,-4129,-2256,-1363,2025-01-29 11:29:49
-3528,-18268,9968,-3429,63,1955,2025-01-29 11:29:49
788,-13820,10164,-8621,635,-2206,2025-01-29 11:29:49
-844,-27324,-912,1030,-18670,2271,2025-01-29 11:29:49
3068,-5820,-6652,-2911,-14806,6354,2025-01-29 11:29:49
8748,-21984,4836,-7447,-9256,-3899,2025-01-29 11:29:49
4716,-14240,-1036,-551,-9771,-2613,2025-01-29 11:29:49
5540,-15336,1284,-4383,-3847,-3087,2025-01-29 11:29:49
1888,-14500,2684,-3564,-6980,-918,2025-01-29 11:29:49
5868,-14208,1436,-5428,-5844,2395,2025-01-29 11:29:49
6176,-16644,1492,-1913,-7666,-189,2025-01-29 11:29:49
8148,-21276,4812,-1157,-6254,1964,2025-01-29 11:29:49
10892,-19380,-1836,8776,11952,-296,2025-01-29 11:29:49
-4224,-21368,5368,14710,6579,5754,2025-01-29 11:29:49
10932,-14268,-6980,9678,4382,-136,2025-01-29 11:29:49
3248,-13756,5456,6113,14793,-458,2025-01-29 11:29:50
-516,-11784,4016,635,10798,-3258,2025-01-29 11:29:50
-680,-10936,4336,-4694,-3354,-2403,2025-01-29 11:29:50
808,-11688,9496,-8202,-7750,-4716,2025-01-29 11:29:50
3464,-20784,15124,1895,2010,-3021,2025-01-29 11:29:50
-188,-13624,6920,-8328,5680,-1813,2025-01-29 11:29:50
136,-23704,-540,4945,-12003,445,2025-01-29 11:29:50
4736,-7308,-4428,-5670,-22494,4580,2025-01-29 11:29:50
