acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-8168,-13880,-2412,-2307,-942,-4650,2025-01-29 10:27:59
-8436,-14096,-4796,-2086,-2220,-2663,2025-01-29 10:27:59
-8772,-15792,-3536,735,469,1442,2025-01-29 10:27:59
-12656,-16004,-3968,-426,-5762,3906,2025-01-29 10:27:59
-6088,-15264,2564,6084,-8630,11562,2025-01-29 10:27:59
-7116,-17128,244,-160,-13526,11189,2025-01-29 10:27:59
-5472,-15776,1380,2804,-9090,8002,2025-01-29 10:27:59
-7648,-11264,584,-495,-7067,8950,2025-01-29 10:28:00
-3520,-8528,1472,-6370,-3977,2528,2025-01-29 10:28:00
-7540,-8020,1616,-9439,7845,-10729,2025-01-29 10:28:00
-16548,-17580,1780,-5026,-4364,-9019,2025-01-29 10:28:00
-7524,-4228,4756,679,3068,-720,2025-01-29 10:28:00
-10916,-17600,220,881,-6138,-3573,2025-01-29 10:28:00
-3912,-11316,-3056,-6496,3618,-6842,2025-01-29 10:28:00
-4692,-16328,-4748,-1840,1338,-2473,2025-01-29 10:28:00
-8720,-13008,-3552,-1509,3558,-765,2025-01-29 10:28:00
-7872,-13964,-2444,-3843,252,-2244,2025-01-29 10:28:00
-7764,-13240,-2488,-514,1266,-3224,2025-01-29 10:28:00
-7880,-13556,-3216,-1700,-251,-3887,2025-01-29 10:28:00
-8928,-13800,-5300,-332,-2004,-2982,2025-01-29 10:28:00
-9608,-16852,-3432,1101,430,1029,2025-01-29 10:28:01
-8932,-18700,2700,640,-10369,9641,2025-01-29 10:28:01
-6788,-15876,-2656,9251,-2418,10343,2025-01-29 10:28:01
-9980,-14744,-2244,-2867,-11703,9615,2025-01-29 10:28:01
-8356,-11160,-1720,-6453,-10194,8043,2025-01-29 10:28:01
-6776,-12044,-1856,-13001,-8534,4530,2025-01-29 10:28:01
-8308,-15248,-980,-14376,-4675,-1901,2025-01-29 10:28:01
-10996,-9200,3072,-5933,-6579,261,2025-01-29 10:28:01
-13672,-9840,-2676,-7027,-6563,110,2025-01-29 10:28:01
-11240,-9288,-996,-14505,-8310,223,2025-01-29 10:28:01
-8632,-20516,-528,-13414,-6738,-5911,2025-01-29 10:28:01
-6712,-9728,-2536,-660,-3333,97,2025-01-29 10:28:01
-6764,-14656,-6504,-11068,-18482,-6329,2025-01-29 10:28:02
-5780,-14888,-1436,-12895,-4622,-2651,2025-01-29 10:28:02
-6148,-14588,-4092,-8181,-6659,-1961,2025-01-29 10:28:02
-7864,-15468,-3996,-6591,-7168,-3019,2025-01-29 10:28:02
-6620,-14220,-3916,-4348,-5729,-2159,2025-01-29 10:28:02
-7744,-14400,-2864,-2632,-5032,-4263,2025-01-29 10:28:02
-6808,-15472,-2656,-1813,-3241,-2915,2025-01-29 10:28:02
-10212,-13900,-4364,-530,-3523,-802,2025-01-29 10:28:02
-13412,-17904,-1332,1256,-9094,5093,2025-01-29 10:28:02
-5148,-14972,-424,4168,-18209,10808,2025-01-29 10:28:02
-8808,-15540,-2220,-2987,-16559,10700,2025-01-29 10:28:02
-6816,-14092,-392,-3913,-11760,9921,2025-01-29 10:28:02
-8160,-13540,700,-8523,-9758,12425,2025-01-29 10:28:03
-9776,-10056,1328,-12715,-7062,8679,2025-01-29 10:28:03
-5580,-11124,1420,-12799,-6594,-660,2025-01-29 10:28:03
-9240,-8004,1152,-9286,4116,-8918,2025-01-29 10:28:03
-18512,-19716,2276,-8364,-6594,-1810,2025-01-29 10:28:03
-17224,-23396,-2908,-5315,1867,2229,2025-01-29 10:28:03
-2028,-11916,-2668,-10367,86,-6219,2025-01-29 10:28:03
-7224,-16856,-2344,-1146,-2957,-4756,2025-01-29 10:28:03
-7624,-15240,-2836,-7517,4517,-4148,2025-01-29 10:28:03
-5980,-14756,-3208,-3716,2190,-2471,2025-01-29 10:28:03
-7304,-14128,-3444,47,3825,-1448,2025-01-29 10:28:04
-6556,-13484,-2024,-760,3058,-2684,2025-01-29 10:28:04
-8000,-14272,-3760,-216,1320,-4338,2025-01-29 10:28:04
-9016,-15016,-2848,-1205,848,137,2025-01-29 10:28:04
-13976,-15052,-6340,38,-899,4215,2025-01-29 10:28:04
-1936,-18392,2696,5418,-6737,11994,2025-01-29 10:28:04
-12560,-13324,-1292,7354,-5543,10048,2025-01-29 10:28:04
-7056,-14208,-356,2460,-11233,7182,2025-01-29 10:28:04
-7840,-10020,208,-777,-5590,7344,2025-01-29 10:28:04
-6308,-9380,752,-6903,-5644,869,2025-01-29 10:28:04
-9036,-10256,2504,-9213,1387,-7191,2025-01-29 10:28:04
-13888,-14644,3592,-7522,-2687,-5354,2025-01-29 10:28:04
-13356,-10556,4376,-4858,-1937,-179,2025-01-29 10:28:04
-12020,-25152,2212,-2479,92,-1488,2025-01-29 10:28:04
-3148,-9428,-908,-8599,842,-5800,2025-01-29 10:28:04
-9084,-16688,-2964,-6683,-8233,-2135,2025-01-29 10:28:05
-7980,-15680,236,-5811,3955,-390,2025-01-29 10:28:05
-7108,-13328,-4184,-5686,-1177,-2770,2025-01-29 10:28:05
-7940,-13580,-2932,-2963,-1176,-3345,2025-01-29 10:28:05
-7916,-14016,-2912,-1217,-2842,-3674,2025-01-29 10:28:05
-8132,-13520,-3576,-952,-1962,-2251,2025-01-29 10:28:05
-10232,-15472,-3312,-484,-2698,-656,2025-01-29 10:28:05
-15080,-14756,-3652,1471,-7498,8305,2025-01-29 10:28:05
-2728,-16868,968,6942,-17589,11048,2025-01-29 10:28:05
-11564,-14208,-1256,596,-7753,9537,2025-01-29 10:28:05
-7576,-12736,-520,-6376,-10811,7865,2025-01-29 10:28:05
-5724,-11896,-348,-9776,-11801,6486,2025-01-29 10:28:05
-7952,-11864,372,-14377,-5336,269,2025-01-29 10:28:06
-10824,-15688,1712,-13769,-14363,2091,2025-01-29 10:28:06
-8884,-9800,-452,-9338,-2815,2613,2025-01-29 10:28:06
-14956,-10836,-2456,-14436,-12140,1562,2025-01-29 10:28:06
-9716,-10680,-2252,-18284,-8842,-2153,2025-01-29 10:28:06
-14940,-23712,-4444,-13615,-10619,-2814,2025-01-29 10:28:06
