acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-304,-13568,1964,-917,-4923,1332,2025-01-29 11:04:54
952,-14460,1316,-4713,-2885,-5399,2025-01-29 11:04:54
-180,-21508,5344,-2066,-3560,-6767,2025-01-29 11:04:54
-1184,-13656,-2592,2854,4724,2331,2025-01-29 11:04:54
2560,-18236,3316,-882,8151,-644,2025-01-29 11:04:54
-1672,-14520,3480,3537,2923,-693,2025-01-29 11:04:54
1952,-14652,4704,6235,3262,2563,2025-01-29 11:04:54
-492,-15636,5556,6080,5716,1461,2025-01-29 11:04:54
-1036,-15152,3992,5802,2910,5266,2025-01-29 11:04:54
-244,-14796,8036,5296,5451,5733,2025-01-29 11:04:54
-1652,-14160,7836,5270,5502,8124,2025-01-29 11:04:54
-4776,-12428,10004,5507,1875,8886,2025-01-29 11:04:54
-4384,-10384,11184,6186,483,6523,2025-01-29 11:04:54
-5620,-10732,11964,12775,1502,-1696,2025-01-29 11:04:54
-5440,-8504,7592,14352,-3162,-3233,2025-01-29 11:04:55
-7516,-5212,9832,9959,3462,1862,2025-01-29 11:04:55
-6756,-3144,11924,10164,2544,4617,2025-01-29 11:04:55
-7432,-1832,10280,9561,4077,3771,2025-01-29 11:04:55
-10560,-1032,11384,7725,4779,6262,2025-01-29 11:04:55
-9392,1820,13412,5233,1666,6254,2025-01-29 11:04:55
-7940,4464,11576,3931,2145,3228,2025-01-29 11:04:55
-9492,3896,14104,2001,1096,1821,2025-01-29 11:04:55
-9036,4716,14440,171,-78,921,2025-01-29 11:04:55
-9632,3708,12648,-1680,-1017,-1281,2025-01-29 11:04:55
-8268,3628,11248,-2093,-312,-1394,2025-01-29 11:04:55
-8004,3544,11652,-1326,262,-1159,2025-01-29 11:04:55
-9128,3340,12180,-1742,1458,-1333,2025-01-29 11:04:56
-10476,2916,14700,-3818,1378,-2631,2025-01-29 11:04:56
-10400,1944,13900,-5783,-1112,-3921,2025-01-29 11:04:56
-8220,808,12480,-7394,-4037,-3801,2025-01-29 11:04:56
-7048,-76,12224,-7704,-4014,-2855,2025-01-29 11:04:56
-7512,-1392,12636,-8250,-3252,-2169,2025-01-29 11:04:56
-6792,-2464,13208,-8552,-3464,-2550,2025-01-29 11:04:56
-6112,-4428,13432,-9600,-3150,-3915,2025-01-29 11:04:56
-5220,-5392,12188,-10850,-3156,-3679,2025-01-29 11:04:56
-5020,-7276,12136,-11993,-4803,-4200,2025-01-29 11:04:56
-2952,-9264,10464,-12287,-4418,-3752,2025-01-29 11:04:56
-2620,-9852,10308,-11221,-3941,-3622,2025-01-29 11:04:57
-1184,-11740,9376,-10943,-5036,-1788,2025-01-29 11:04:57
-472,-12856,6984,-12353,-4227,-4220,2025-01-29 11:04:57
-2128,-12412,6960,-11206,-5239,-2702,2025-01-29 11:04:57
1316,-14852,4404,-10240,-7434,-1026,2025-01-29 11:04:57
1828,-14804,3212,-10793,-6404,-1489,2025-01-29 11:04:57
1916,-15012,2024,-8624,-5198,-1908,2025-01-29 11:04:57
1624,-17020,568,-6058,-3591,-2732,2025-01-29 11:04:57
2752,-17980,-312,-1818,-2292,-1075,2025-01-29 11:04:57
2800,-16052,-1544,-1605,694,-609,2025-01-29 11:04:57
2760,-16368,-2632,-2612,-582,-1710,2025-01-29 11:04:57
2736,-16432,-2472,-2032,-687,-1204,2025-01-29 11:04:57
4256,-16536,-1848,-1755,-785,-580,2025-01-29 11:04:57
3848,-16372,-2368,-1615,518,-166,2025-01-29 11:04:57
2844,-16612,-2680,-1860,34,-334,2025-01-29 11:04:58
2416,-17388,-2636,-1872,-48,-360,2025-01-29 11:04:58
3548,-16436,-1972,-845,-1049,-78,2025-01-29 11:04:58
4136,-16364,-1780,-1159,31,-113,2025-01-29 11:04:58
4188,-16364,-1924,-1291,1413,16,2025-01-29 11:04:58
3416,-16568,-2276,-1563,2079,-118,2025-01-29 11:04:58
3296,-16548,-2492,-1468,1704,-42,2025-01-29 11:04:58
2668,-16688,-2964,-1217,844,31,2025-01-29 11:04:58
3020,-16736,-2996,-954,-876,-163,2025-01-29 11:04:58
3072,-16608,-2460,-720,-1494,-33,2025-01-29 11:04:58
3144,-16692,-2336,-758,-774,-154,2025-01-29 11:04:58
3404,-16588,-2156,-582,-1230,-86,2025-01-29 11:04:58
