acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
1228,-16384,752,-1280,218,-273,2025-01-29 11:23:54
1516,-16536,1000,-1728,400,-230,2025-01-29 11:23:54
1424,-16636,1080,-981,146,-186,2025-01-29 11:23:54
1632,-16576,572,-786,-112,-35,2025-01-29 11:23:54
1544,-16724,888,-838,251,-217,2025-01-29 11:23:54
1312,-16736,812,-882,124,-66,2025-01-29 11:23:54
1344,-16628,972,-885,480,-308,2025-01-29 11:23:54
1300,-16560,560,-718,247,-252,2025-01-29 11:23:54
1304,-16644,508,-669,-333,-190,2025-01-29 11:23:54
1528,-16704,864,-557,256,-64,2025-01-29 11:23:54
1036,-16752,948,86,-512,-2,2025-01-29 11:23:54
1524,-15700,1080,-357,-1293,505,2025-01-29 11:23:54
1900,-16820,896,-504,-847,339,2025-01-29 11:23:55
1516,-16576,400,865,194,699,2025-01-29 11:23:55
940,-16468,1164,627,698,1282,2025-01-29 11:23:55
1716,-16436,1504,697,2095,341,2025-01-29 11:23:55
80,-16428,1776,-473,1194,702,2025-01-29 11:23:55
888,-15972,1624,1715,2103,657,2025-01-29 11:23:55
-964,-16336,2120,2619,1202,970,2025-01-29 11:23:55
-152,-14736,2500,5414,713,3567,2025-01-29 11:23:55
1912,-16212,2952,2299,3893,3022,2025-01-29 11:23:55
-964,-14984,4044,355,2012,754,2025-01-29 11:23:55
-3636,-14000,6788,2261,2944,2381,2025-01-29 11:23:55
-1764,-14940,6032,2354,-395,2477,2025-01-29 11:23:55
-1252,-14072,5916,4200,2374,1655,2025-01-29 11:23:56
-4260,-15700,6860,3101,2519,1948,2025-01-29 11:23:56
-4628,-14360,7220,1609,296,2492,2025-01-29 11:23:56
-3752,-12656,9096,1038,720,2103,2025-01-29 11:23:56
-4700,-13032,7760,-11,-513,535,2025-01-29 11:23:56
-4516,-12216,8168,-151,-765,1489,2025-01-29 11:23:56
-4760,-12384,7760,725,1238,843,2025-01-29 11:23:56
-4728,-11772,8264,76,169,1092,2025-01-29 11:23:56
-5000,-12028,8380,-165,509,375,2025-01-29 11:23:56
-5344,-12068,8572,8,1639,691,2025-01-29 11:23:56
-5380,-12408,8164,-780,823,-360,2025-01-29 11:23:56
-5204,-11972,7748,-908,-396,-22,2025-01-29 11:23:57
-5424,-11848,8376,-357,-144,237,2025-01-29 11:23:57
-5380,-12212,8612,745,240,673,2025-01-29 11:23:57
-5792,-12020,8044,-987,-245,205,2025-01-29 11:23:57
-5520,-11864,8960,-579,-238,80,2025-01-29 11:23:57
-6100,-11744,9100,-1209,-695,-706,2025-01-29 11:23:57
-5368,-11532,9048,-2877,-1574,-1603,2025-01-29 11:23:57
-4804,-11404,8532,-4306,-2015,-2059,2025-01-29 11:23:57
-5500,-12420,8504,-6102,-4426,-2101,2025-01-29 11:23:57
-2592,-13244,8204,-6406,-2950,-3224,2025-01-29 11:23:57
-2912,-13520,7428,-4966,-799,-4139,2025-01-29 11:23:57
-3136,-14892,6732,-4551,-1994,-4243,2025-01-29 11:23:57
-1176,-14496,4892,-5043,-3385,-2892,2025-01-29 11:23:57
-532,-15760,5304,-5810,-2967,-2916,2025-01-29 11:23:58
184,-16132,4304,-6898,-3214,-3605,2025-01-29 11:23:58
828,-15512,2888,-7209,-1029,-2589,2025-01-29 11:23:58
692,-16560,1508,-4478,-2545,-2154,2025-01-29 11:23:58
804,-16024,-280,-3824,-992,-1747,2025-01-29 11:23:58
1708,-17376,-280,-1765,134,-512,2025-01-29 11:23:58
1128,-16812,-616,-1401,-1882,-211,2025-01-29 11:23:58
2608,-16204,-312,-2391,-172,273,2025-01-29 11:23:58
912,-16820,92,-1949,-287,-201,2025-01-29 11:23:58
1424,-17056,24,-1320,-453,580,2025-01-29 11:23:58
1328,-16784,84,-1047,-1465,-159,2025-01-29 11:23:58
1248,-16536,-296,-577,-2294,201,2025-01-29 11:23:58
2052,-16840,440,-975,-1389,88,2025-01-29 11:23:59
1680,-16744,628,-1095,-187,-397,2025-01-29 11:23:59
1680,-16552,352,-663,283,-163,2025-01-29 11:23:59
1496,-16816,-76,-930,164,-172,2025-01-29 11:23:59
1424,-16944,596,-350,-528,-52,2025-01-29 11:23:59
1636,-16772,388,-100,-246,-25,2025-01-29 11:23:59
1616,-16536,396,-451,729,-90,2025-01-29 11:23:59
1800,-16292,12,-756,315,-229,2025-01-29 11:23:59
