acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
2800,-16688,132,-858,102,8,2025-01-29 10:41:29
3192,-16452,-168,-932,223,12,2025-01-29 10:41:29
3128,-16800,-488,-825,313,-251,2025-01-29 10:41:29
2664,-16860,-632,-212,-504,-634,2025-01-29 10:41:29
2676,-16660,-652,60,-874,-476,2025-01-29 10:41:29
2872,-16708,436,482,-1010,-133,2025-01-29 10:41:29
3468,-16452,-676,837,-1510,1197,2025-01-29 10:41:30
3608,-16860,252,1951,-759,-1306,2025-01-29 10:41:30
1152,-16388,652,2836,2885,-238,2025-01-29 10:41:30
3164,-15616,948,3326,-53,250,2025-01-29 10:41:30
3840,-14852,2656,3078,818,-811,2025-01-29 10:41:30
3080,-15604,5336,4237,-1870,-98,2025-01-29 10:41:30
5420,-13684,5000,4056,-1532,-620,2025-01-29 10:41:30
3192,-13712,5756,7045,10492,3759,2025-01-29 10:41:30
736,-13968,7232,3358,565,-279,2025-01-29 10:41:30
2112,-13156,8760,4335,1472,460,2025-01-29 10:41:30
1228,-12952,8348,3527,1722,655,2025-01-29 10:41:30
1276,-14124,9564,1047,823,849,2025-01-29 10:41:31
1484,-13036,9360,751,1736,1913,2025-01-29 10:41:31
1444,-12592,10276,368,2313,-608,2025-01-29 10:41:31
512,-12728,8940,-826,1391,-2096,2025-01-29 10:41:31
964,-13320,9844,-1314,910,-2546,2025-01-29 10:41:31
1032,-13244,9408,-2566,400,-1993,2025-01-29 10:41:31
1268,-13120,8180,-3559,-198,-1979,2025-01-29 10:41:31
1768,-13816,8720,-3718,-925,-1633,2025-01-29 10:41:31
1888,-13880,8432,-4066,-1508,-1386,2025-01-29 10:41:32
3308,-13632,8056,-4907,-2333,-1523,2025-01-29 10:41:32
3068,-14428,6612,-5423,-115,-1381,2025-01-29 10:41:32
1772,-14696,5476,-4897,-1762,-1300,2025-01-29 10:41:32
3068,-14848,5468,-4078,-3396,16,2025-01-29 10:41:32
4624,-14560,5832,-3728,-3074,-801,2025-01-29 10:41:32
3764,-15396,5276,-4454,-1,-703,2025-01-29 10:41:32
2688,-15444,3344,-3999,-295,536,2025-01-29 10:41:32
2972,-15636,3108,-3903,-1274,256,2025-01-29 10:41:32
4488,-16044,2712,-4061,-2433,-122,2025-01-29 10:41:32
2888,-15992,2900,-3657,13,203,2025-01-29 10:41:32
2740,-16112,1320,-2911,-1158,-94,2025-01-29 10:41:32
3136,-16016,716,-3469,-707,-63,2025-01-29 10:41:32
2640,-16480,896,-3208,185,-347,2025-01-29 10:41:32
3060,-16452,724,-1539,-748,332,2025-01-29 10:41:32
3248,-15740,116,-3209,-25,163,2025-01-29 10:41:32
3376,-15932,-820,-3800,487,822,2025-01-29 10:41:32
3404,-17796,-128,-2550,-426,473,2025-01-29 10:41:33
3520,-17000,216,-564,-53,-208,2025-01-29 10:41:33
3820,-16688,-196,-389,1295,-911,2025-01-29 10:41:33
2896,-16588,-812,135,1047,-1177,2025-01-29 10:41:33
2620,-16584,-900,-258,606,-845,2025-01-29 10:41:33
3068,-16584,-112,-376,428,-500,2025-01-29 10:41:33
2992,-16464,-108,-348,-231,-431,2025-01-29 10:41:33
