acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-6900,-15108,-1276,-814,194,79,2025-01-29 10:17:20
-6960,-15172,-844,134,943,423,2025-01-29 10:17:20
-7980,-15228,-1140,-445,-1581,-248,2025-01-29 10:17:20
-5840,-14188,212,117,-2601,942,2025-01-29 10:17:20
-6780,-14448,-16,1999,-2786,3752,2025-01-29 10:17:20
-6432,-11600,548,4070,-6588,4224,2025-01-29 10:17:20
-11032,-13420,1260,628,-2781,5029,2025-01-29 10:17:21
-11044,-14120,5228,3819,-1796,3288,2025-01-29 10:17:21
-12764,-10296,3408,2726,-2305,1666,2025-01-29 10:17:21
-10660,-12320,5716,2319,-166,1010,2025-01-29 10:17:21
-10164,-8028,4936,1758,-923,1348,2025-01-29 10:17:21
-8644,-8620,5208,2584,-3169,205,2025-01-29 10:17:21
-10808,-11432,5136,-392,-1041,1354,2025-01-29 10:17:21
-11168,-10660,6052,-649,143,2302,2025-01-29 10:17:21
-10212,-10944,6088,1251,-1248,1494,2025-01-29 10:17:21
-11392,-10304,6544,871,-1458,640,2025-01-29 10:17:21
-12756,-10776,8036,-768,470,201,2025-01-29 10:17:21
-12160,-11124,6980,-2709,2346,-814,2025-01-29 10:17:21
-10624,-9748,5800,-2488,4233,-2343,2025-01-29 10:17:22
-11276,-8540,5416,-1535,4230,-2678,2025-01-29 10:17:22
-11016,-8952,4520,-1779,3790,-3339,2025-01-29 10:17:22
-12120,-8336,3148,-3056,3440,-1744,2025-01-29 10:17:22
-12464,-11028,3328,-3623,1533,-1065,2025-01-29 10:17:22
-10376,-12120,2320,-4315,916,-3814,2025-01-29 10:17:22
-9580,-12456,1452,-4987,1802,-5509,2025-01-29 10:17:22
-9036,-12544,-16,-6227,353,-6022,2025-01-29 10:17:22
-5540,-14448,-476,-6842,-1144,-3987,2025-01-29 10:17:22
-5604,-14740,-168,-5195,-2185,-4739,2025-01-29 10:17:22
-6764,-15924,-1864,-2005,647,-2661,2025-01-29 10:17:22
-8704,-14220,-2104,-2124,-2352,-602,2025-01-29 10:17:22
-4512,-16208,-1628,-1566,-1059,246,2025-01-29 10:17:23
-7348,-14400,-1180,191,982,178,2025-01-29 10:17:23
-7260,-15052,-1172,-1687,-1482,246,2025-01-29 10:17:23
-5752,-14816,-816,-1208,-1626,82,2025-01-29 10:17:23
-6700,-14376,-704,-714,-62,179,2025-01-29 10:17:23
-7324,-15072,-536,-938,-26,-15,2025-01-29 10:17:23
-7612,-14496,-752,-1182,-774,-274,2025-01-29 10:17:23
-7588,-14448,-136,-1325,-34,173,2025-01-29 10:17:23
-7168,-13848,-1392,-1675,-918,204,2025-01-29 10:17:23
-6520,-14560,-1696,-1564,-969,-89,2025-01-29 10:17:23
