acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-300,-16588,-3452,-609,-1120,-144,2025-01-29 10:54:36
-816,-16836,-3116,-717,-706,-140,2025-01-29 10:54:36
-148,-16752,-2808,-843,-89,0,2025-01-29 10:54:36
-796,-16624,-3580,-926,751,-60,2025-01-29 10:54:36
-616,-16544,-3948,-976,1122,-109,2025-01-29 10:54:36
-840,-16704,-4036,-717,546,-25,2025-01-29 10:54:36
-388,-16712,-3192,-665,213,-157,2025-01-29 10:54:36
-724,-16876,-2732,-899,696,-42,2025-01-29 10:54:36
-540,-16768,-3156,-727,269,14,2025-01-29 10:54:36
-800,-16712,-3428,-885,-184,-13,2025-01-29 10:54:36
-644,-16704,-3464,-820,-427,-80,2025-01-29 10:54:36
-432,-16812,-3348,-795,-654,-109,2025-01-29 10:54:37
-744,-16796,-3356,-894,-389,-98,2025-01-29 10:54:37
-652,-16652,-3340,-933,-190,-87,2025-01-29 10:54:37
-644,-16620,-2680,-755,-322,-45,2025-01-29 10:54:37
-1092,-17204,-3320,384,827,816,2025-01-29 10:54:37
-264,-17940,-3372,2076,407,3607,2025-01-29 10:54:37
-876,-16440,-2188,4078,1043,4930,2025-01-29 10:54:37
-500,-16628,-5460,1536,-2007,3148,2025-01-29 10:54:37
-2236,-14360,-1736,-983,-2426,-314,2025-01-29 10:54:37
-6780,-19868,2836,3764,-1079,2298,2025-01-29 10:54:37
-1116,-11504,-1228,6953,2721,2985,2025-01-29 10:54:37
-4064,-15516,-2332,-4425,1956,-4066,2025-01-29 10:54:37
-3356,-17136,-5580,-9014,-2302,-6787,2025-01-29 10:54:38
-1576,-20788,-5216,-9526,7563,-8524,2025-01-29 10:54:38
-3796,-4340,-9624,1541,5493,3407,2025-01-29 10:54:38
1552,-21676,-1248,-1960,2740,-4167,2025-01-29 10:54:38
-3892,-15060,36,114,-1272,-1588,2025-01-29 10:54:38
180,-16500,-76,213,1493,-1354,2025-01-29 10:54:38
888,-16804,-1860,699,1970,1606,2025-01-29 10:54:38
-1216,-17420,-136,4501,3535,2601,2025-01-29 10:54:38
-1044,-16016,-3348,5369,-428,3985,2025-01-29 10:54:38
-2932,-16576,668,7590,-3848,4658,2025-01-29 10:54:38
-1892,-14212,576,21071,-224,11881,2025-01-29 10:54:38
-1044,-13812,5868,8406,-5195,4357,2025-01-29 10:54:38
-7460,-13088,5772,13254,-9717,1150,2025-01-29 10:54:39
-1160,-5496,5512,16839,-4089,5914,2025-01-29 10:54:39
-3952,-9288,5744,18306,-764,6593,2025-01-29 10:54:39
-2988,-7444,5348,18092,-4145,5823,2025-01-29 10:54:39
-3556,-8448,4064,19121,-3944,6119,2025-01-29 10:54:39
3080,-4744,-5880,25803,2248,7799,2025-01-29 10:54:39
-6684,32767,32767,5097,-11102,-2772,2025-01-29 10:54:39
16712,12628,14208,-3540,-3249,21784,2025-01-29 10:54:39
1972,8644,-1200,-10768,8971,4270,2025-01-29 10:54:39
-416,6132,1528,-14381,-3853,4279,2025-01-29 10:54:39
-708,3788,10644,-20398,5569,1431,2025-01-29 10:54:39
-7216,-3492,20812,407,-3325,9812,2025-01-29 10:54:40
9340,-3940,23896,5402,-813,518,2025-01-29 10:54:40
692,16,13196,3310,-1560,-5433,2025-01-29 10:54:40
-1440,636,13432,195,1680,-4368,2025-01-29 10:54:40
-3428,1808,16196,-1259,1806,-3775,2025-01-29 10:54:40
-2740,2212,15036,307,-65,829,2025-01-29 10:54:40
776,1984,13624,-2065,-1581,70,2025-01-29 10:54:40
688,2356,15200,-527,-615,335,2025-01-29 10:54:40
348,1780,15204,-1331,-131,13,2025-01-29 10:54:40
-1064,1352,15168,-1453,-220,-131,2025-01-29 10:54:40
-1448,1504,14248,-1133,122,-411,2025-01-29 10:54:40
-832,1768,14400,-765,371,-513,2025-01-29 10:54:40
-416,1904,14920,-824,-89,-346,2025-01-29 10:54:40
-188,1496,15592,-1060,194,-96,2025-01-29 10:54:40
-540,1308,15108,-965,118,-95,2025-01-29 10:54:41
-824,1516,14424,-1149,6,-303,2025-01-29 10:54:41
-928,1768,14804,-669,46,-226,2025-01-29 10:54:41
-824,1592,15104,-958,-94,27,2025-01-29 10:54:41
-548,1488,14524,-959,-177,-169,2025-01-29 10:54:41
-612,1552,14528,-948,-328,-241,2025-01-29 10:54:41
-800,1604,14928,-872,140,-149,2025-01-29 10:54:41
-736,1576,14976,-1105,-137,-237,2025-01-29 10:54:41
-392,1684,14476,-875,-47,-281,2025-01-29 10:54:41
-700,1556,14976,-974,86,-123,2025-01-29 10:54:41
-772,1604,14808,-1030,-17,-170,2025-01-29 10:54:41
-676,1496,14892,-850,41,-182,2025-01-29 10:54:42
-648,1560,14736,-801,-68,-60,2025-01-29 10:54:42
-440,1492,14968,-1002,165,-179,2025-01-29 10:54:42
-648,1640,14968,-924,161,-134,2025-01-29 10:54:42
-660,1648,14828,-894,268,-187,2025-01-29 10:54:42
-744,1560,14956,-914,36,-108,2025-01-29 10:54:42
-696,1632,14920,-971,-65,-155,2025-01-29 10:54:42
-624,1580,14976,-1002,56,-197,2025-01-29 10:54:42
-756,1604,14860,-944,-110,-64,2025-01-29 10:54:42
-664,1628,14852,-895,-50,-158,2025-01-29 10:54:42
-504,1680,14320,-978,-226,-155,2025-01-29 10:54:42
-644,1788,14896,-822,90,-201,2025-01-29 10:54:42
-604,1520,15300,-787,-270,152,2025-01-29 10:54:42
-636,1408,14576,-1040,-1353,114,2025-01-29 10:54:43
-332,2040,14864,53,-1137,889,2025-01-29 10:54:43
-184,1932,14652,-898,-53,383,2025-01-29 10:54:43
-184,1620,15136,-543,-560,245,2025-01-29 10:54:43
-132,1600,15160,-662,-819,144,2025-01-29 10:54:43
308,1852,14388,-629,-943,88,2025-01-29 10:54:43
920,2220,14960,-924,-583,303,2025-01-29 10:54:43
80,2004,15188,-576,-486,-240,2025-01-29 10:54:43
156,1556,14396,369,-754,-11,2025-01-29 10:54:43
1060,2260,14620,-318,-694,-22,2025-01-29 10:54:43
1104,2184,15916,3767,-947,-826,2025-01-29 10:54:43
1364,3256,14280,2655,-309,-1510,2025-01-29 10:54:43
216,3816,14396,2535,49,-2064,2025-01-29 10:54:44
