acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-2932,-16724,-68,-933,-219,-494,2025-01-29 11:16:03
-2652,-16304,256,-458,-159,-193,2025-01-29 11:16:03
-2880,-15788,236,24,-842,-1310,2025-01-29 11:16:03
-3464,-16584,320,-84,-516,-265,2025-01-29 11:16:04
-3224,-16908,-120,1258,-659,810,2025-01-29 11:16:04
-1476,-17848,-784,2427,-651,2266,2025-01-29 11:16:04
384,-18168,-700,1179,2658,-461,2025-01-29 11:16:04
-2952,-15968,216,-2149,2786,-4725,2025-01-29 11:16:04
-6856,-14688,4588,-170,5205,-2062,2025-01-29 11:16:04
-736,-13372,420,-3980,858,-2409,2025-01-29 11:16:04
-196,-16400,1616,-2501,1041,-4143,2025-01-29 11:16:04
-1584,-16480,300,-3822,2850,-1077,2025-01-29 11:16:04
-1164,-17024,-16,-3399,-5,454,2025-01-29 11:16:04
-1496,-16824,156,663,-1036,3187,2025-01-29 11:16:04
-884,-15092,-2216,2237,-2965,3535,2025-01-29 11:16:04
-4908,-32768,1780,-3624,-6207,3822,2025-01-29 11:16:04
-740,-12540,-1112,4882,-9543,801,2025-01-29 11:16:05
-4564,-13892,940,1724,3479,3128,2025-01-29 11:16:05
-5784,-14212,2800,1628,502,685,2025-01-29 11:16:05
-3724,-14876,2340,1567,-24,1686,2025-01-29 11:16:05
-4216,-15320,2564,5029,-1569,1365,2025-01-29 11:16:05
-3484,-14208,3008,5189,-700,1951,2025-01-29 11:16:05
-4652,-14752,4496,7216,-1758,2190,2025-01-29 11:16:05
-4660,-11440,2808,7366,-2723,4730,2025-01-29 11:16:05
-1124,-12472,6580,11030,-5000,3908,2025-01-29 11:16:05
-2780,-7248,6792,12342,-539,5051,2025-01-29 11:16:05
-3620,-5072,3552,13286,-2241,3971,2025-01-29 11:16:05
-1892,-2192,9272,12583,944,6887,2025-01-29 11:16:05
368,1040,2616,18551,5406,8916,2025-01-29 11:16:05
-19220,-2312,32767,26420,-5253,24119,2025-01-29 11:16:06
-31412,32767,30744,21747,-5356,17097,2025-01-29 11:16:06
-324,12400,5168,13922,-13633,12214,2025-01-29 11:16:06
3848,9492,-1156,9239,-10816,-2970,2025-01-29 11:16:06
3836,8144,-1012,5755,-2491,3636,2025-01-29 11:16:06
2720,15948,-1676,2000,-2153,3778,2025-01-29 11:16:06
1720,22196,7828,-4535,-3545,-1289,2025-01-29 11:16:06
2484,17688,7756,-8513,3468,-6186,2025-01-29 11:16:06
1540,12872,6476,-12250,7109,-10263,2025-01-29 11:16:06
-1396,9080,7884,-15418,2262,-16514,2025-01-29 11:16:06
-9420,5832,11416,-22902,6679,-11259,2025-01-29 11:16:06
-8188,-2416,22784,-2942,9910,2310,2025-01-29 11:16:07
-5740,1328,8144,2815,-2334,68,2025-01-29 11:16:07
-7300,7016,12532,-1641,-8227,3302,2025-01-29 11:16:07
-2968,5060,14692,-1950,1414,1032,2025-01-29 11:16:07
-3024,5984,12972,901,-1497,-1961,2025-01-29 11:16:07
-5016,5904,12344,162,-331,-1245,2025-01-29 11:16:07
-5352,5912,12644,-1194,353,-340,2025-01-29 11:16:07
-5388,4864,12908,-1390,181,-58,2025-01-29 11:16:07
-5512,5052,13212,-1246,-84,470,2025-01-29 11:16:07
-4712,5552,12916,-810,-239,31,2025-01-29 11:16:08
