acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-1004,-16692,-780,-961,-178,-87,2025-01-29 10:32:54
-904,-16756,-500,-956,-62,-50,2025-01-29 10:32:54
-1156,-16636,-508,-924,-58,-97,2025-01-29 10:32:54
-1272,-16928,-344,-421,-276,223,2025-01-29 10:32:54
-1092,-16800,-696,-550,-74,-227,2025-01-29 10:32:54
-888,-16516,-620,-617,-35,-35,2025-01-29 10:32:54
-856,-16876,-652,-499,-100,-20,2025-01-29 10:32:55
-1140,-16904,-740,62,-311,-398,2025-01-29 10:32:55
-1508,-16732,-324,572,-782,-354,2025-01-29 10:32:55
-1056,-17028,-92,765,-1066,-723,2025-01-29 10:32:55
-1620,-16840,-64,1487,-2092,-1329,2025-01-29 10:32:55
-868,-17924,2188,2983,-4335,-3092,2025-01-29 10:32:55
536,-15452,1492,3175,-3881,-2001,2025-01-29 10:32:55
-712,-13360,60,-2567,825,-225,2025-01-29 10:32:55
-1536,-17028,1136,-4373,345,827,2025-01-29 10:32:55
-836,-17124,1224,-4177,-962,1288,2025-01-29 10:32:55
-920,-14872,-1028,-4393,711,1643,2025-01-29 10:32:55
-4752,-19376,-1332,-3929,3551,2984,2025-01-29 10:32:55
3144,-21324,-2328,-2059,-858,398,2025-01-29 10:32:56
364,-12196,-4704,3006,6904,-1533,2025-01-29 10:32:56
-1336,-16140,-132,1015,-846,-1884,2025-01-29 10:32:56
1096,-16092,-104,1046,-2918,-2905,2025-01-29 10:32:56
1004,-15660,-232,2404,394,-2377,2025-01-29 10:32:56
1108,-17092,-396,2050,1057,-1293,2025-01-29 10:32:56
324,-16352,60,4138,-237,-3283,2025-01-29 10:32:56
-3148,-16288,2112,4670,2186,-5376,2025-01-29 10:32:56
2884,-18200,5204,2035,-6835,-2462,2025-01-29 10:32:56
1832,-13564,2420,8062,-3641,-8374,2025-01-29 10:32:56
-408,-11460,656,4963,3621,-6230,2025-01-29 10:32:56
216,-9152,4504,11564,-5047,-5049,2025-01-29 10:32:56
2448,-9004,4932,10152,-5373,-12447,2025-01-29 10:32:57
616,-1620,-6140,14065,-759,-14522,2025-01-29 10:32:57
6748,2300,-2368,27848,-6569,-27004,2025-01-29 10:32:57
32767,32767,32767,13637,-3501,-19760,2025-01-29 10:32:57
-504,8624,10456,7826,3168,-7363,2025-01-29 10:32:57
8040,5204,-3772,250,8098,-7503,2025-01-29 10:32:57
-2860,6760,8048,1309,2543,3392,2025-01-29 10:32:57
10140,5524,8900,-9168,3367,9540,2025-01-29 10:32:57
16096,3364,13444,-4533,-951,10516,2025-01-29 10:32:57
19176,-2132,11364,3,-4809,9197,2025-01-29 10:32:57
10816,-400,9532,1715,6073,3132,2025-01-29 10:32:57
12720,-3592,7708,-1686,1953,-6723,2025-01-29 10:32:57
12384,588,12200,-3865,5239,-1707,2025-01-29 10:32:58
10424,2084,10980,18,-1303,-1161,2025-01-29 10:32:58
11200,2816,9868,-57,-948,807,2025-01-29 10:32:58
12664,1800,8764,107,-1718,1166,2025-01-29 10:32:58
13224,1004,9320,-1076,8,158,2025-01-29 10:32:58
12744,116,9932,-1698,60,-817,2025-01-29 10:32:58
12504,732,10180,-635,453,-47,2025-01-29 10:32:58
12324,1380,9604,-619,-236,-201,2025-01-29 10:32:58
12460,1764,9592,-1037,279,-284,2025-01-29 10:32:58
12424,1292,9656,-891,-129,-89,2025-01-29 10:32:58
12428,940,9864,-906,-41,-7,2025-01-29 10:32:58
12388,856,9776,-885,-53,-29,2025-01-29 10:32:58
12456,1264,9648,-931,-123,-373,2025-01-29 10:32:58
12488,1368,9616,-886,32,-162,2025-01-29 10:32:59
12396,1196,9720,-940,103,-90,2025-01-29 10:32:59
12408,1112,9844,-903,18,-96,2025-01-29 10:32:59
12548,1072,9900,-923,-52,-155,2025-01-29 10:32:59
