acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
8,-16252,1016,9,3639,-125,2025-01-29 09:59:16
-3984,-16084,-1484,-51,2940,-161,2025-01-29 09:59:16
-3044,-16556,-1824,-502,-294,-127,2025-01-29 09:59:16
-3228,-15680,-1888,-550,-1808,104,2025-01-29 09:59:16
-2260,-16656,-1576,-660,-2959,410,2025-01-29 09:59:17
-1088,-17820,212,111,-313,991,2025-01-29 09:59:17
1080,-17804,724,1442,1939,352,2025-01-29 09:59:17
-3988,-16116,1416,3642,7830,279,2025-01-29 09:59:17
-6888,-14124,-744,-291,3226,2482,2025-01-29 09:59:17
-2556,-15292,2776,-1181,-1449,-1578,2025-01-29 09:59:17
-2388,-15988,-36,-1723,-35,-1718,2025-01-29 09:59:17
-1132,-16620,1032,-623,1308,-973,2025-01-29 09:59:17
-1496,-15768,-16,-941,1730,816,2025-01-29 09:59:17
-2460,-15456,1256,-2150,847,1813,2025-01-29 09:59:17
-2480,-24240,1868,-3420,-1210,583,2025-01-29 09:59:17
-6364,-11576,-2584,-1175,-2185,1673,2025-01-29 09:59:17
-3280,-16200,-1312,-2514,-4501,3204,2025-01-29 09:59:18
-3584,-15356,432,-680,1104,2014,2025-01-29 09:59:18
-5464,-15960,-364,359,1408,3074,2025-01-29 09:59:18
-3244,-16084,-1188,735,237,3176,2025-01-29 09:59:18
-2284,-15432,-3664,2811,-4375,7014,2025-01-29 09:59:18
-3988,-14664,1820,1584,209,5369,2025-01-29 09:59:18
-5904,-12816,608,2124,2076,5501,2025-01-29 09:59:18
-6656,-7684,-152,2399,-726,8362,2025-01-29 09:59:18
-5144,-5916,484,3166,-4484,12813,2025-01-29 09:59:18
-7368,-8044,2316,3863,3701,15290,2025-01-29 09:59:18
-5040,1088,-220,6556,376,18466,2025-01-29 09:59:18
-1052,3900,-2584,4213,21657,24034,2025-01-29 09:59:18
-32768,7232,14572,1710,5267,13270,2025-01-29 09:59:19
-32768,6736,16040,4813,-1969,7381,2025-01-29 09:59:19
-22804,3300,6012,8150,3844,9615,2025-01-29 09:59:19
-5788,2120,48,2832,6907,8323,2025-01-29 09:59:19
892,13160,72,1159,-154,-212,2025-01-29 09:59:19
-7576,9484,712,-990,-4078,-1857,2025-01-29 09:59:19
-7188,12260,5148,-7072,-4635,-8048,2025-01-29 09:59:19
-14996,12356,3900,-8226,3119,-9966,2025-01-29 09:59:19
-16004,1472,9256,-5978,-65,-7777,2025-01-29 09:59:19
-10504,-364,5484,-600,-264,-1781,2025-01-29 09:59:19
-12240,5612,6076,-1484,-6,251,2025-01-29 09:59:19
-14784,4008,6140,-547,-644,644,2025-01-29 09:59:19
-13416,4372,6832,-917,-704,832,2025-01-29 09:59:20
-12236,5016,6616,-1489,-559,564,2025-01-29 09:59:20
-12304,4152,7228,-1341,-985,-443,2025-01-29 09:59:20
-12848,3804,7480,-1092,-868,-1028,2025-01-29 09:59:20
-12784,3252,7240,-849,288,-419,2025-01-29 09:59:20
-13120,3492,7048,-952,134,-103,2025-01-29 09:59:20
-12740,3836,7144,-925,64,236,2025-01-29 09:59:20
-12556,3952,7192,-939,-62,86,2025-01-29 09:59:20
-12664,3880,7068,-959,-90,-264,2025-01-29 09:59:20
-12664,3592,7084,-972,15,-262,2025-01-29 09:59:20
-12736,3540,7008,-919,33,-146,2025-01-29 09:59:20
-12776,3692,7060,-883,-41,-37,2025-01-29 09:59:20
-12708,3732,7060,-946,-45,-60,2025-01-29 09:59:21
-12744,3668,7088,-925,1,-144,2025-01-29 09:59:21
-12700,3692,7080,-925,-31,-152,2025-01-29 09:59:21
-12640,3696,7072,-918,-8,-154,2025-01-29 09:59:21
