acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-92,-16780,-512,-1087,210,-3,2025-01-29 10:35:49
240,-16776,-20,-990,650,-166,2025-01-29 10:35:49
220,-16824,-164,-841,808,-198,2025-01-29 10:35:49
-336,-16496,252,-1291,866,-163,2025-01-29 10:35:49
-176,-16524,-436,-1813,788,-163,2025-01-29 10:35:49
-608,-16544,-300,-1684,508,-40,2025-01-29 10:35:49
16,-16316,-460,-1899,-155,-449,2025-01-29 10:35:49
144,-16536,-1152,-2101,-585,-601,2025-01-29 10:35:49
448,-16648,-1504,-1850,-660,771,2025-01-29 10:35:49
1080,-16632,-2228,-2567,-263,493,2025-01-29 10:35:49
640,-17156,-1244,-1305,263,823,2025-01-29 10:35:50
896,-16212,-1972,-3150,286,359,2025-01-29 10:35:50
-740,-16668,-1408,-3402,-471,1449,2025-01-29 10:35:50
1144,-18216,-1504,-2558,-2412,776,2025-01-29 10:35:50
2792,-18300,-484,-1842,-2588,2290,2025-01-29 10:35:50
860,-20000,-1360,2657,-654,-1078,2025-01-29 10:35:50
-1392,-17120,-356,9623,-3596,-4782,2025-01-29 10:35:50
-2592,-16536,-1232,9864,-4481,-5486,2025-01-29 10:35:50
2712,-17060,1264,5192,-1074,-4387,2025-01-29 10:35:50
1900,-14104,2344,-465,4954,-3724,2025-01-29 10:35:50
632,-11416,1324,-6986,3444,2171,2025-01-29 10:35:50
-624,-14184,2808,-7025,1265,2142,2025-01-29 10:35:50
1648,-18184,-5124,-12244,-1175,7356,2025-01-29 10:35:51
-468,-14584,-2572,-11604,-1082,8208,2025-01-29 10:35:51
-1804,-13496,-2380,-11318,196,9390,2025-01-29 10:35:51
-1576,-12336,-3772,-10642,715,10934,2025-01-29 10:35:51
-2820,-12048,-3948,-11449,-563,10322,2025-01-29 10:35:51
-4132,-10432,-6140,-12542,-1587,12780,2025-01-29 10:35:51
-7568,-7992,-7060,-15232,3080,19128,2025-01-29 10:35:51
-5104,8852,-5488,-12132,7511,26219,2025-01-29 10:35:51
-32768,14496,-19836,-31800,2264,30342,2025-01-29 10:35:51
-14108,17580,-22180,2401,536,4827,2025-01-29 10:35:51
2520,7064,-7544,-8221,5259,2874,2025-01-29 10:35:51
-5880,7696,-12020,469,6439,2175,2025-01-29 10:35:51
-4608,5868,-9496,4298,556,-1867,2025-01-29 10:35:52
-8772,3372,-11432,8427,-10218,-6779,2025-01-29 10:35:52
-16612,4264,-17136,5174,-3825,-8449,2025-01-29 10:35:52
-18424,-1548,-18216,-1466,2799,1657,2025-01-29 10:35:52
-9596,48,-8476,4882,-32,-2689,2025-01-29 10:35:52
-10720,636,-13656,-1879,1382,950,2025-01-29 10:35:52
-10756,2464,-14092,-1993,98,390,2025-01-29 10:35:52
-10636,2636,-13796,-418,-45,-596,2025-01-29 10:35:52
-9848,2216,-13212,-707,-318,-285,2025-01-29 10:35:52
-10516,1860,-13552,-1108,2,157,2025-01-29 10:35:52
-10812,1728,-13552,-671,-173,-250,2025-01-29 10:35:52
-10476,1708,-13280,-843,-85,-211,2025-01-29 10:35:52
-10628,2104,-13220,-1141,91,20,2025-01-29 10:35:53
-10504,2244,-13616,-916,61,-119,2025-01-29 10:35:53
-10588,1848,-13376,-821,-101,-182,2025-01-29 10:35:53
-10608,1752,-13324,-917,-121,-97,2025-01-29 10:35:53
-10648,1960,-13460,-926,-43,-91,2025-01-29 10:35:53
-10400,2044,-13444,-922,-10,-144,2025-01-29 10:35:53
-10496,2060,-13536,-914,32,-120,2025-01-29 10:35:53
-10652,1960,-13452,-906,-49,-113,2025-01-29 10:35:53
-10484,1948,-13528,-948,-21,-131,2025-01-29 10:35:53
-10652,1996,-13472,-898,-39,-122,2025-01-29 10:35:53
