acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-5736,-15340,-624,-1047,-449,-307,2025-01-29 10:09:20
-4480,-15120,-1944,-1049,-823,-931,2025-01-29 10:09:20
-6548,-15324,-2124,-910,-612,-456,2025-01-29 10:09:20
-6032,-15160,-1612,-1235,-1408,-334,2025-01-29 10:09:20
-6776,-15304,-828,-1296,-1371,-1119,2025-01-29 10:09:21
-6452,-15340,-868,-1059,-1740,-410,2025-01-29 10:09:21
-5344,-16144,124,127,128,1286,2025-01-29 10:09:21
-6836,-18932,704,1159,4213,4224,2025-01-29 10:09:21
-11360,-14180,3236,5289,1813,10386,2025-01-29 10:09:21
-8320,-12928,20,1369,-6413,5743,2025-01-29 10:09:21
-7064,-12168,1772,-646,-5026,2348,2025-01-29 10:09:21
-7736,-10168,2252,-333,-5250,-745,2025-01-29 10:09:21
-9908,-10648,1796,-2955,-246,-2566,2025-01-29 10:09:21
-10256,-10456,2104,-6725,-2236,-3037,2025-01-29 10:09:21
-9132,-19548,2932,-5827,-1334,-2463,2025-01-29 10:09:21
-8472,-17112,1124,1610,-4519,542,2025-01-29 10:09:21
-2864,-11836,-5060,-470,3396,-3470,2025-01-29 10:09:22
-4096,-14304,-1172,-7454,-1139,-5310,2025-01-29 10:09:22
-6764,-16420,-988,-4167,2676,-1787,2025-01-29 10:09:22
-5316,-14112,-3216,-4402,2431,-3483,2025-01-29 10:09:22
-6820,-15164,-1588,139,5619,-2810,2025-01-29 10:09:22
-7452,-14380,-2128,-1418,4151,-6230,2025-01-29 10:09:22
-3672,-15412,-1196,-1940,-2508,-5858,2025-01-29 10:09:22
-2004,-17056,-328,-2787,795,-4105,2025-01-29 10:09:22
-1668,-12716,-3532,164,5402,-4043,2025-01-29 10:09:22
-2900,-13112,-1688,-455,5263,-4611,2025-01-29 10:09:22
-4156,-12748,-2860,-2039,-442,-7026,2025-01-29 10:09:22
-608,-11296,-2304,-3303,-1364,-9517,2025-01-29 10:09:22
-192,-10744,-1392,-3829,330,-11590,2025-01-29 10:09:22
4700,-6580,-2752,-8886,1001,-16721,2025-01-29 10:09:23
7612,-3508,-11956,-16189,-7381,-27600,2025-01-29 10:09:23
32767,-32768,-32768,-6520,-14087,-32399,2025-01-29 10:09:24
32767,-1612,-12584,-7249,4556,-15491,2025-01-29 10:09:26
20904,-7588,-7028,174,-10991,-10790,2025-01-29 10:09:26
10516,6456,-10420,-2036,-2878,-8287,2025-01-29 10:09:26
6692,1916,-7224,-3048,-4603,-107,2025-01-29 10:09:26
10216,412,-9060,1262,-428,4635,2025-01-29 10:09:26
12692,-552,-11152,4056,4248,9648,2025-01-29 10:09:26
19260,-6168,-12756,2333,-3132,5320,2025-01-29 10:09:26
14552,-4236,-12888,-2310,-3869,-588,2025-01-29 10:09:26
13648,-3740,-11000,-1008,-99,-199,2025-01-29 10:09:27
13640,-3920,-11440,-899,-45,-124,2025-01-29 10:09:27
13660,-3852,-11168,-908,-25,-157,2025-01-29 10:09:27
13564,-3900,-11128,-892,-41,-147,2025-01-29 10:09:27
13548,-4016,-11240,-917,-38,-157,2025-01-29 10:09:27
13592,-4064,-11344,-928,-22,-140,2025-01-29 10:09:27
13568,-3944,-11160,-944,17,-172,2025-01-29 10:09:27
13556,-3932,-11320,-925,-13,-135,2025-01-29 10:09:27
13552,-3940,-11308,-927,-35,-174,2025-01-29 10:09:27
13568,-3888,-11188,-901,-24,-148,2025-01-29 10:09:27
13708,-3988,-11332,-921,-6,-157,2025-01-29 10:09:27
13640,-3924,-11104,-916,-7,-152,2025-01-29 10:09:28
13636,-3852,-11396,-915,-19,-158,2025-01-29 10:09:28
13536,-3924,-11376,-897,-14,-153,2025-01-29 10:09:28
13548,-3984,-11216,-901,18,-170,2025-01-29 10:09:30
13688,-3828,-11224,-910,-11,-154,2025-01-29 10:09:30
13620,-3888,-11156,-910,-46,-151,2025-01-29 10:09:30
13672,-3932,-11288,-920,-28,-144,2025-01-29 10:09:30
13656,-3924,-11260,-926,-38,-153,2025-01-29 10:09:30
13652,-3924,-11200,-920,-11,-156,2025-01-29 10:09:30
13644,-3908,-11232,-900,-42,-145,2025-01-29 10:09:30
13616,-3932,-11112,-883,-7,-148,2025-01-29 10:09:30
13552,-3980,-11152,-908,-39,-169,2025-01-29 10:09:30
13636,-3904,-11248,-924,-42,-174,2025-01-29 10:09:30
