acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-2696,-16328,-2032,-1256,-715,-469,2025-01-29 11:01:12
-2888,-16240,-1888,-1043,-55,-436,2025-01-29 11:01:12
-3020,-16392,-1744,-1081,161,-375,2025-01-29 11:01:12
-3032,-16788,-1888,-645,196,-469,2025-01-29 11:01:12
-3404,-16688,-1800,-505,132,-367,2025-01-29 11:01:12
-3216,-17420,-736,2004,-42,60,2025-01-29 11:01:12
-2612,-17972,-24,9985,-4347,3801,2025-01-29 11:01:12
-2028,-15340,1340,18091,-10256,7491,2025-01-29 11:01:12
-4024,-12280,4328,2297,-3719,-183,2025-01-29 11:01:12
-3536,-13000,5000,-3597,2235,3318,2025-01-29 11:01:12
-4032,-12164,6124,-7152,6624,2642,2025-01-29 11:01:12
-8460,-13488,6768,-5286,4914,1812,2025-01-29 11:01:12
-5320,-14468,5192,-2106,711,-27,2025-01-29 11:01:13
-6172,-15872,4116,-5157,7821,-917,2025-01-29 11:01:13
-3092,-19616,3000,-1163,4303,-1754,2025-01-29 11:01:13
-5728,-13376,-4272,-3892,6077,-2207,2025-01-29 11:01:13
-4392,-16664,-2436,-5303,710,-1690,2025-01-29 11:01:13
-3208,-16260,-2292,-3886,5873,-1174,2025-01-29 11:01:13
-4740,-15888,-3400,-1986,7738,-1106,2025-01-29 11:01:13
-4784,-16236,-2520,-2237,6163,-679,2025-01-29 11:01:13
-3624,-15952,-2464,-1118,7620,-1570,2025-01-29 11:01:13
-4016,-15488,-3080,-1411,7877,-2409,2025-01-29 11:01:13
-4632,-16604,-2996,-1045,6730,-3353,2025-01-29 11:01:13
-5240,-17408,-3300,744,8493,-2612,2025-01-29 11:01:13
-5536,-18912,-2988,3506,9386,-1945,2025-01-29 11:01:13
-664,-16796,-3368,7852,9207,-2048,2025-01-29 11:01:14
2404,-17568,-3596,4358,12144,-5425,2025-01-29 11:01:14
2696,-15760,-3512,1038,7696,-8323,2025-01-29 11:01:14
-572,-17160,-1316,562,15733,-6370,2025-01-29 11:01:14
-1096,-15528,-520,1308,7835,-7036,2025-01-29 11:01:14
2000,-16712,544,642,5875,-7734,2025-01-29 11:01:14
2828,-15172,-464,2267,5516,-8207,2025-01-29 11:01:14
1412,-14088,224,3693,858,-7949,2025-01-29 11:01:14
1948,-14632,260,2600,-343,-8214,2025-01-29 11:01:14
4916,-11824,-48,3783,5,-9748,2025-01-29 11:01:14
884,-12112,1996,9290,5020,-10106,2025-01-29 11:01:14
-10020,-6004,-1008,13047,-8994,-7827,2025-01-29 11:01:14
4176,-4300,-9524,15113,-32045,-10312,2025-01-29 11:01:15
32767,-364,2100,32767,-32768,-6754,2025-01-29 11:01:15
32767,4760,-17004,3882,-15228,-6468,2025-01-29 11:01:15
16652,1312,-2032,7964,6140,-7242,2025-01-29 11:01:15
3836,912,-6932,6389,7553,-7761,2025-01-29 11:01:15
18284,5836,-4604,21,12668,-6680,2025-01-29 11:01:15
10620,5068,-1768,-5106,13697,1867,2025-01-29 11:01:15
17020,-1016,10384,-11267,10275,3884,2025-01-29 11:01:15
9168,-9500,5640,-6907,10600,6391,2025-01-29 11:01:15
21556,-3280,2492,-536,-9081,4947,2025-01-29 11:01:15
14100,-2064,6696,6305,-633,-3942,2025-01-29 11:01:15
15268,-1352,8,-2318,227,1102,2025-01-29 11:01:16
17364,-3660,2720,-3499,-4336,3910,2025-01-29 11:01:16
18384,-3980,2372,-668,-774,423,2025-01-29 11:01:16
15540,-3324,3480,-431,3296,-1968,2025-01-29 11:01:16
16352,-3148,4040,-2146,2588,-2278,2025-01-29 11:01:16
15384,-3176,4028,-1697,2630,-1416,2025-01-29 11:01:16
14744,-3388,4588,-618,681,-838,2025-01-29 11:01:16
15540,-2420,4924,-1052,-597,607,2025-01-29 11:01:16
15624,-2756,4916,-992,139,-782,2025-01-29 11:01:16
15472,-2776,4384,-1263,546,-339,2025-01-29 11:01:16
15240,-2840,4704,-1026,97,-109,2025-01-29 11:01:16
15896,-2636,4532,-1082,82,-203,2025-01-29 11:01:16
15600,-2824,4564,-873,328,-87,2025-01-29 11:01:16
15580,-2860,4756,-953,33,-139,2025-01-29 11:01:17
15628,-2692,4560,-1070,-17,-254,2025-01-29 11:01:17
15832,-2768,4660,-919,124,-276,2025-01-29 11:01:17
15436,-2664,4528,-937,152,-106,2025-01-29 11:01:17
15580,-2756,4644,-982,71,-261,2025-01-29 11:01:17
15408,-2752,4776,-968,196,-152,2025-01-29 11:01:17
15588,-2660,4676,-1025,-55,-313,2025-01-29 11:01:17
