acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
1408,-16844,-1312,-942,127,182,2025-01-29 10:38:05
1624,-16872,-1216,-811,-254,1069,2025-01-29 10:38:05
1948,-16880,-576,-713,-829,436,2025-01-29 10:38:05
2132,-17092,180,-29,233,209,2025-01-29 10:38:05
2136,-17100,1112,2257,-35,-906,2025-01-29 10:38:05
3364,-16348,2220,3799,-746,-5249,2025-01-29 10:38:05
2456,-17948,2188,5005,3010,-8835,2025-01-29 10:38:06
1188,-15568,1320,2052,5062,-3844,2025-01-29 10:38:06
2712,-14124,3752,-180,3461,-3744,2025-01-29 10:38:06
3364,-14564,4340,257,1750,-544,2025-01-29 10:38:06
3992,-13096,6004,40,737,2542,2025-01-29 10:38:06
2584,-19508,4256,-4655,-7281,1809,2025-01-29 10:38:06
-1564,-14960,-1352,-7731,-11946,5525,2025-01-29 10:38:06
4336,-16988,-1624,-7899,-11657,3882,2025-01-29 10:38:06
1344,-16508,-1320,-5442,-13428,4810,2025-01-29 10:38:06
3672,-16504,-4720,-2808,-13606,5239,2025-01-29 10:38:06
2316,-16520,-576,-874,-14875,4145,2025-01-29 10:38:06
1856,-16964,-2952,2122,-17518,3098,2025-01-29 10:38:06
2208,-25716,-1764,4195,-10193,6727,2025-01-29 10:38:07
-2016,-13968,-1948,4983,-10171,8142,2025-01-29 10:38:07
-804,-15836,-2008,3432,-14523,9759,2025-01-29 10:38:07
1976,-15588,384,4689,-9899,12370,2025-01-29 10:38:07
-584,-12888,2104,6862,-9069,9689,2025-01-29 10:38:07
-888,-13600,4064,8569,-8381,10662,2025-01-29 10:38:07
872,-10856,-256,14055,-7323,9999,2025-01-29 10:38:07
884,-8696,-4912,24366,-12468,1966,2025-01-29 10:38:07
-13636,-4352,15704,32767,3354,-271,2025-01-29 10:38:07
-32768,32767,32767,16274,23773,-9235,2025-01-29 10:38:07
-5588,12868,3924,17587,2911,9860,2025-01-29 10:38:07
6884,-1852,2808,8438,-3974,926,2025-01-29 10:38:07
-7848,11436,-2736,5099,-3432,3116,2025-01-29 10:38:08
-3968,14824,7448,4433,-3357,2286,2025-01-29 10:38:08
-3096,16744,11240,-6303,794,-945,2025-01-29 10:38:08
-3024,13468,10956,-9976,-3325,-2320,2025-01-29 10:38:08
-1632,10440,11480,-10840,-585,-1363,2025-01-29 10:38:08
-4884,6600,14532,-10825,-2163,-1593,2025-01-29 10:38:08
-224,4228,16220,-9788,-4630,-617,2025-01-29 10:38:08
-1796,1236,16676,-6804,-1511,-876,2025-01-29 10:38:08
-1532,1908,14812,-2755,-1129,981,2025-01-29 10:38:08
-848,1620,12408,-313,8264,485,2025-01-29 10:38:08
-2560,3800,13940,-373,-1899,-454,2025-01-29 10:38:08
-2564,5296,14400,-1752,-3414,669,2025-01-29 10:38:08
-720,4060,15372,-1913,-3161,909,2025-01-29 10:38:09
188,4328,14264,-1127,-2166,1764,2025-01-29 10:38:09
116,2640,14200,-503,314,2007,2025-01-29 10:38:09
296,2868,13980,957,2595,2110,2025-01-29 10:38:09
-20,3528,15032,2004,4123,826,2025-01-29 10:38:09
-1000,4716,13476,24,-604,8,2025-01-29 10:38:09
-844,4364,13872,-695,-831,417,2025-01-29 10:38:09
-968,3800,14512,-1591,-921,756,2025-01-29 10:38:09
8500,5056,6200,-900,-1623,1013,2025-01-29 10:38:09
284,4360,14328,-914,-715,641,2025-01-29 10:38:09
