acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
3348,-16580,-2608,-945,152,-150,2025-01-29 11:07:17
3268,-16516,-2712,-880,21,-97,2025-01-29 11:07:17
3336,-16492,-2532,-944,29,-176,2025-01-29 11:07:17
3308,-16708,-2320,-993,154,-195,2025-01-29 11:07:17
3308,-16596,-2552,-772,44,-188,2025-01-29 11:07:17
3148,-16756,-2728,-381,251,-313,2025-01-29 11:07:17
3212,-16848,-3036,-518,519,-448,2025-01-29 11:07:17
2892,-16944,-2564,1155,1644,-52,2025-01-29 11:07:17
3920,-17032,-2092,1933,6056,561,2025-01-29 11:07:18
4256,-16524,-2972,3346,12238,1001,2025-01-29 11:07:18
4372,-16624,868,2735,7076,1183,2025-01-29 11:07:18
3044,-17024,1696,2243,3394,1892,2025-01-29 11:07:18
2952,-16092,1468,2325,-406,1508,2025-01-29 11:07:18
3116,-16476,2724,-1089,-1043,-92,2025-01-29 11:07:18
2500,-15880,920,-2672,-2882,309,2025-01-29 11:07:18
2624,-16512,2044,56,-1673,1840,2025-01-29 11:07:18
3732,-17192,512,813,-1674,2623,2025-01-29 11:07:18
-752,-16516,512,-634,-1782,1153,2025-01-29 11:07:18
-188,-17540,1260,4756,-1849,3188,2025-01-29 11:07:18
-176,-15580,5044,7246,1170,3147,2025-01-29 11:07:18
-372,-15944,6052,8168,8985,2534,2025-01-29 11:07:19
-3272,-11752,5024,4275,4332,1189,2025-01-29 11:07:19
-1548,-10140,3264,4111,10775,4547,2025-01-29 11:07:19
-4192,-14332,6384,2471,-2100,-159,2025-01-29 11:07:19
-3524,-11156,6732,3686,-1732,1667,2025-01-29 11:07:19
-2348,-12008,8868,6964,1103,3447,2025-01-29 11:07:19
-452,-13256,10084,5119,-74,3226,2025-01-29 11:07:19
-3972,-10168,10400,4512,1336,2785,2025-01-29 11:07:19
-3644,-9720,10816,4041,1687,2110,2025-01-29 11:07:19
-3520,-8836,11296,3939,1399,2584,2025-01-29 11:07:19
-5372,-6872,11900,4210,343,1905,2025-01-29 11:07:19
-5500,-6576,11308,4452,-134,1772,2025-01-29 11:07:19
-5672,-6380,11688,3930,311,2745,2025-01-29 11:07:20
-5804,-5900,11812,4073,64,3801,2025-01-29 11:07:20
-4760,-3212,12104,4357,-670,3082,2025-01-29 11:07:20
-5904,-2780,13248,5159,-686,2173,2025-01-29 11:07:20
-3296,-2588,12156,6016,-2465,1620,2025-01-29 11:07:20
-7184,-488,14408,5699,-1164,2058,2025-01-29 11:07:20
-2864,-360,14236,4355,-695,2700,2025-01-29 11:07:20
-4288,1804,14420,3946,-634,2735,2025-01-29 11:07:20
-4272,2564,13556,4384,-613,2909,2025-01-29 11:07:21
-5224,2780,15528,4787,776,3406,2025-01-29 11:07:21
-5016,3436,15088,3352,939,3000,2025-01-29 11:07:21
-6632,6208,17448,1666,2797,1933,2025-01-29 11:07:21
-4356,6108,7640,-2543,-2346,-364,2025-01-29 11:07:21
-4204,4404,11704,-285,-610,-42,2025-01-29 11:07:21
-4824,6396,13928,179,-1959,312,2025-01-29 11:07:21
-4700,5448,13212,-3080,-1983,-988,2025-01-29 11:07:21
-3724,5720,13052,-2362,-674,-589,2025-01-29 11:07:21
-4044,5288,13564,-2244,-63,-598,2025-01-29 11:07:21
-3260,3948,13916,-1466,951,-1007,2025-01-29 11:07:21
-5356,3512,14048,-1701,-1079,-2028,2025-01-29 11:07:21
-3904,4336,12624,-856,-1964,-2267,2025-01-29 11:07:21
-2992,4848,13832,-1718,-575,-939,2025-01-29 11:07:21
-2812,4040,14196,-1574,938,-423,2025-01-29 11:07:21
-4580,2140,14968,-2110,1138,-1264,2025-01-29 11:07:22
-5072,1740,16392,-215,3294,606,2025-01-29 11:07:22
-4236,3892,12152,1582,3150,2396,2025-01-29 11:07:22
-4356,5916,12156,-2416,1772,2599,2025-01-29 11:07:22
-5944,5720,11856,-3324,451,1305,2025-01-29 11:07:22
-6864,3744,13640,-1408,-2548,2048,2025-01-29 11:07:22
-2868,3496,14376,-1330,-547,-1738,2025-01-29 11:07:22
-5896,2808,14204,-1790,-638,1516,2025-01-29 11:07:22
-4236,3660,13776,272,-939,1062,2025-01-29 11:07:22
-3480,4304,13780,-902,287,888,2025-01-29 11:07:23
-4360,3748,13492,-1311,698,370,2025-01-29 11:07:23
-4260,3996,13552,-961,478,462,2025-01-29 11:07:23
-4572,3936,13488,-991,-96,109,2025-01-29 11:07:23
-4384,3800,13760,-792,-161,-200,2025-01-29 11:07:23
-3976,4036,13636,-874,-237,-415,2025-01-29 11:07:23
-4316,3796,13644,-877,-247,-358,2025-01-29 11:07:23
-4456,3988,13612,-967,100,-194,2025-01-29 11:07:23
-4420,4000,13348,-1058,17,107,2025-01-29 11:07:23
-4192,4060,13632,-989,-30,-26,2025-01-29 11:07:23
