acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
1916,-16500,1372,-976,23,-152,2025-01-29 11:25:36
1924,-16636,1348,-758,96,-188,2025-01-29 11:25:36
2040,-16524,1400,-805,175,-132,2025-01-29 11:25:36
1916,-16716,952,-701,-9,-159,2025-01-29 11:25:36
2052,-16752,756,-138,-133,-211,2025-01-29 11:25:36
1680,-17156,976,821,265,-140,2025-01-29 11:25:36
1896,-15784,-252,2158,-136,-167,2025-01-29 11:25:36
1632,-16840,3268,2266,489,279,2025-01-29 11:25:37
2408,-16360,3640,3123,1759,724,2025-01-29 11:25:38
2480,-15924,3764,3166,3058,351,2025-01-29 11:25:38
296,-15288,4680,2453,5167,490,2025-01-29 11:25:38
856,-14608,3820,4105,4917,1603,2025-01-29 11:25:38
-1100,-13548,5080,4830,1805,2708,2025-01-29 11:25:38
184,-14028,8560,3898,1542,2934,2025-01-29 11:25:38
-1500,-12492,7504,4394,4315,4291,2025-01-29 11:25:38
-1272,-11956,10288,4626,2823,3451,2025-01-29 11:25:38
-2648,-11320,7584,4110,1821,2037,2025-01-29 11:25:38
-140,-1664,14508,-482,-1101,-386,2025-01-29 11:25:38
-904,-2012,14672,-989,-709,-336,2025-01-29 11:25:38
-428,-2424,14864,-1131,-665,-423,2025-01-29 11:25:38
-320,-2616,14844,-967,-78,43,2025-01-29 11:25:38
-672,-2464,14828,-1009,182,-11,2025-01-29 11:25:38
-408,-2464,14788,-980,75,10,2025-01-29 11:25:39
-492,-2496,14864,-974,29,-67,2025-01-29 11:25:39
-612,-2552,14780,-986,47,-98,2025-01-29 11:25:39
-656,-2488,14852,-1008,44,-162,2025-01-29 11:25:39
-556,-2512,14808,-937,37,-159,2025-01-29 11:25:39
-476,-2548,14788,-921,18,-116,2025-01-29 11:25:39
-680,-2484,14884,-921,-43,-136,2025-01-29 11:25:39
-500,-2584,14592,-898,-66,-155,2025-01-29 11:25:39
-544,-2436,14876,-881,0,-119,2025-01-29 11:25:39
-636,-2452,14704,-886,12,-136,2025-01-29 11:25:39
-568,-2452,14804,-908,-37,-152,2025-01-29 11:25:39
-500,-2508,14716,-907,-27,-123,2025-01-29 11:25:39
-460,-2576,14840,-877,3,-165,2025-01-29 11:25:40
-560,-2480,14724,-877,-52,-147,2025-01-29 11:25:40
-512,-2572,14892,-865,-36,-150,2025-01-29 11:25:40
-660,-2460,14804,-854,77,-143,2025-01-29 11:25:40
-560,-2508,14700,-873,61,-141,2025-01-29 11:25:40
-652,-2468,14796,-856,63,-153,2025-01-29 11:25:40
-564,-2352,14788,-935,-33,-143,2025-01-29 11:25:40
-520,-2584,14888,-920,-17,-137,2025-01-29 11:25:40
-648,-2544,14836,-889,29,-165,2025-01-29 11:25:40
-680,-2492,14768,-897,18,-123,2025-01-29 11:25:40
-624,-2512,14840,-892,-48,-141,2025-01-29 11:25:40
-528,-2440,14856,-939,-39,-130,2025-01-29 11:25:40
-796,-2532,14860,-911,22,-125,2025-01-29 11:25:41
-524,-2476,14880,-918,-41,-135,2025-01-29 11:25:41
-632,-2452,14588,-888,-49,-150,2025-01-29 11:25:41
-564,-2424,14992,-945,-66,-137,2025-01-29 11:25:41
-632,-2624,14976,-906,-19,-152,2025-01-29 11:25:41
-664,-2552,14804,-884,0,-145,2025-01-29 11:25:41
-680,-2360,14816,-917,-14,-155,2025-01-29 11:25:41
-664,-2488,14868,-910,-19,-157,2025-01-29 11:25:41
-704,-2392,15016,-906,-8,-138,2025-01-29 11:25:41
