acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
76,-16872,-1056,-905,-75,-52,2025-01-29 10:45:11
192,-16924,-832,-642,-68,121,2025-01-29 10:45:11
280,-16960,-360,-165,50,607,2025-01-29 10:45:11
-56,-16548,-1072,219,841,1394,2025-01-29 10:45:11
-216,-16752,-1108,-265,685,1521,2025-01-29 10:45:11
-8,-17156,-640,-144,77,936,2025-01-29 10:45:11
-984,-16360,-1104,1209,-2504,1209,2025-01-29 10:45:11
-2124,-16056,-632,-514,-1153,1546,2025-01-29 10:45:11
-1000,-17028,1616,1112,-2055,402,2025-01-29 10:45:12
-1560,-16300,500,365,980,53,2025-01-29 10:45:12
-256,-16728,732,938,2031,-114,2025-01-29 10:45:12
-2344,-16340,-2224,-823,2394,647,2025-01-29 10:45:12
940,-19360,2332,1785,518,1820,2025-01-29 10:45:12
-2744,-15676,4348,5768,-161,-1200,2025-01-29 10:45:12
-5428,-15668,2784,2297,1762,2636,2025-01-29 10:45:12
568,-13300,1844,-17,-5174,-339,2025-01-29 10:45:12
1448,-14488,332,-2640,-3571,-3622,2025-01-29 10:45:12
-6484,-18072,6700,444,808,1622,2025-01-29 10:45:12
1232,-8968,3824,7164,-5790,5905,2025-01-29 10:45:12
-5280,-19520,5112,6979,-1307,6840,2025-01-29 10:45:12
-3188,-11080,6396,6496,2907,4864,2025-01-29 10:45:13
-8240,-11364,7532,5369,-445,6110,2025-01-29 10:45:13
-7552,-11492,8900,6118,-1695,5025,2025-01-29 10:45:13
-6420,-9252,11268,7072,82,4340,2025-01-29 10:45:13
-8016,-8676,11620,6410,2489,5098,2025-01-29 10:45:13
-9732,-9648,10944,5457,1129,3046,2025-01-29 10:45:13
-8968,-5236,10268,2039,-2308,2177,2025-01-29 10:45:13
-8128,-4720,11428,2198,-614,1862,2025-01-29 10:45:13
-7704,-4828,11408,1244,779,1316,2025-01-29 10:45:13
-8452,-4872,11508,-148,194,1446,2025-01-29 10:45:13
-8708,-4320,11620,-937,940,1084,2025-01-29 10:45:13
-8584,-4364,11684,397,1186,-320,2025-01-29 10:45:13
-8416,-4068,11580,882,-224,-862,2025-01-29 10:45:14
-9120,-4380,11256,-343,-170,22,2025-01-29 10:45:14
-8748,-4500,11612,-1029,336,730,2025-01-29 10:45:14
-8492,-3832,11456,-527,-76,65,2025-01-29 10:45:14
-8608,-3788,11556,-838,-1413,-512,2025-01-29 10:45:14
-8404,-4008,11664,-1230,10,-330,2025-01-29 10:45:14
-8704,-4292,11716,-1301,-22,-261,2025-01-29 10:45:14
-8380,-4164,11592,-1405,12,-151,2025-01-29 10:45:14
-8444,-4460,11604,-532,-523,-94,2025-01-29 10:45:14
-8128,-3952,11604,-690,-46,-282,2025-01-29 10:45:14
-8700,-4424,11684,-1005,212,-323,2025-01-29 10:45:14
-8796,-4536,11728,-1003,-180,-192,2025-01-29 10:45:14
-8444,-4276,11560,-863,-64,-188,2025-01-29 10:45:15
-8436,-4376,11640,-827,-25,-148,2025-01-29 10:45:15
-8428,-4060,11536,-846,-383,-44,2025-01-29 10:45:15
