acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-7964,-14324,-1304,-779,190,35,2025-01-29 10:22:37
-8164,-14300,-1440,-678,59,114,2025-01-29 10:22:37
-7924,-14064,-1176,-537,479,156,2025-01-29 10:22:37
-7992,-14288,-1260,-647,277,200,2025-01-29 10:22:38
-8268,-14480,-1456,-868,-162,324,2025-01-29 10:22:38
-8008,-14288,-1588,-732,-692,702,2025-01-29 10:22:38
-7080,-14792,-1092,-45,-1546,1370,2025-01-29 10:22:38
-6608,-15224,-492,1402,223,1107,2025-01-29 10:22:38
-8884,-13300,-1472,1015,-105,1658,2025-01-29 10:22:38
-8528,-13464,-1216,-219,-1054,1536,2025-01-29 10:22:38
-9112,-13500,-940,213,-504,2874,2025-01-29 10:22:38
-11048,-13316,-1056,1783,-5130,2356,2025-01-29 10:22:38
-8164,-11412,4108,1930,-3127,3162,2025-01-29 10:22:38
-9004,-10648,3744,3087,-6616,3164,2025-01-29 10:22:38
-11744,-9600,1916,3359,-350,3162,2025-01-29 10:22:38
-10232,-9932,5188,2087,-2437,4384,2025-01-29 10:22:39
-10576,-8524,5120,3079,-2434,3886,2025-01-29 10:22:39
-13024,-8992,3920,827,-501,3510,2025-01-29 10:22:39
-11384,-8988,5452,1511,-1415,3780,2025-01-29 10:22:39
-11976,-7868,6364,2168,-793,3802,2025-01-29 10:22:39
-12800,-6492,6104,2211,-960,3884,2025-01-29 10:22:39
-12932,-5804,6904,1720,-1268,3938,2025-01-29 10:22:39
-12768,-5320,7040,1759,-823,3828,2025-01-29 10:22:39
-13140,-4092,7352,1823,-299,4256,2025-01-29 10:22:39
-13264,-3360,8032,1360,-434,4302,2025-01-29 10:22:39
-14880,-2108,10072,1898,-4372,3595,2025-01-29 10:22:39
-13564,-1408,8576,2301,-1657,1849,2025-01-29 10:22:40
-14216,-120,8084,2069,-532,2253,2025-01-29 10:22:40
-12868,564,8240,1210,-1047,1716,2025-01-29 10:22:40
-11896,352,9792,659,-1379,1515,2025-01-29 10:22:40
-11772,236,8788,230,1285,1606,2025-01-29 10:22:40
-12388,800,8336,-62,3612,1428,2025-01-29 10:22:40
-13660,1836,7224,-475,1881,1203,2025-01-29 10:22:40
-13328,1004,6680,-264,711,1091,2025-01-29 10:22:40
-13272,1732,7296,-662,150,630,2025-01-29 10:22:40
-13400,1856,7252,-771,356,255,2025-01-29 10:22:40
-12660,1380,7244,-1039,-54,-234,2025-01-29 10:22:40
-12896,1456,7312,-925,83,-157,2025-01-29 10:22:40
-13024,1480,7168,-894,-289,-102,2025-01-29 10:22:40
-13132,1568,7412,-745,22,-111,2025-01-29 10:22:40
-13028,1520,7204,-838,-141,-147,2025-01-29 10:22:41
