acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-2188,-16100,-2552,-341,-1701,239,2025-01-29 11:10:14
-1556,-16492,-2620,-1329,-1106,-244,2025-01-29 11:10:14
-2428,-16588,-1760,-1310,25,-288,2025-01-29 11:10:14
-2280,-16708,-1392,-1353,437,-126,2025-01-29 11:10:14
-2668,-16708,-1420,-1024,-287,9,2025-01-29 11:10:14
-2392,-16508,-2140,-1396,-602,-335,2025-01-29 11:10:14
-2360,-16460,-1824,-1250,-77,-211,2025-01-29 11:10:14
-2832,-16508,-1280,-876,165,-141,2025-01-29 11:10:14
-2500,-16488,-1672,-996,337,-7,2025-01-29 11:10:14
-2184,-16464,-2024,-729,-274,114,2025-01-29 11:10:14
-2220,-16688,-2296,-1032,-172,-24,2025-01-29 11:10:14
-2652,-16488,-2164,-1501,-389,-169,2025-01-29 11:10:14
-2888,-16300,-2320,-2207,-696,-323,2025-01-29 11:10:14
-2744,-16356,-2612,-2358,-918,-356,2025-01-29 11:10:15
-2676,-16536,-2968,-2606,-2141,-349,2025-01-29 11:10:15
-2788,-16676,-2244,-1134,-803,85,2025-01-29 11:10:15
-3024,-16488,-2008,-1099,450,109,2025-01-29 11:10:15
-2976,-16488,-2412,-1766,-453,-191,2025-01-29 11:10:15
-2496,-16484,-3372,-1911,-755,-370,2025-01-29 11:10:15
-2324,-16624,-3300,-1735,-1119,-502,2025-01-29 11:10:15
-2512,-16536,-3344,-1303,-501,-370,2025-01-29 11:10:15
-2468,-16288,-3168,-926,-250,-277,2025-01-29 11:10:15
-2448,-16312,-2828,-1023,-78,-197,2025-01-29 11:10:15
-2272,-16660,-2720,-1037,153,-192,2025-01-29 11:10:15
-2144,-16404,-3496,-532,248,50,2025-01-29 11:10:15
-2060,-16604,-3624,-830,365,-204,2025-01-29 11:10:16
-2436,-16572,-3364,-954,209,-355,2025-01-29 11:10:16
-2216,-16488,-3524,-596,219,-112,2025-01-29 11:10:16
-2536,-16360,-3428,-570,557,-145,2025-01-29 11:10:16
-2452,-16468,-2940,-211,871,-72,2025-01-29 11:10:16
-2732,-16376,-2496,-373,1016,-34,2025-01-29 11:10:16
-2580,-16528,-2528,-466,129,-139,2025-01-29 11:10:16
-2304,-16464,-3196,-722,-253,-265,2025-01-29 11:10:16
-2624,-16368,-2716,-682,356,-407,2025-01-29 11:10:16
-2672,-16668,-2368,-741,240,-408,2025-01-29 11:10:16
-2324,-16592,-2364,-852,34,-180,2025-01-29 11:10:16
-2424,-16544,-2588,-532,169,-244,2025-01-29 11:10:17
-2340,-16444,-2652,-527,-115,-222,2025-01-29 11:10:17
-2444,-16644,-2428,-494,242,-84,2025-01-29 11:10:17
-1684,-16460,-2992,-886,100,-125,2025-01-29 11:10:17
-2156,-16544,-2696,-1118,234,-217,2025-01-29 11:10:17
-2312,-16668,-2452,-348,-295,-230,2025-01-29 11:10:17
-1900,-16664,-1944,-737,569,-50,2025-01-29 11:10:17
-1172,-15972,-3496,-1391,2363,-828,2025-01-29 11:10:17
-2208,-17364,-1888,-2359,1509,-129,2025-01-29 11:10:17
-2668,-16224,-3128,312,-1290,105,2025-01-29 11:10:17
-2056,-16244,-2784,-669,-1104,174,2025-01-29 11:10:17
-2196,-16664,-2248,-1096,-334,-11,2025-01-29 11:10:17
-1968,-16484,-3092,-663,17,-100,2025-01-29 11:10:17
-2316,-16380,-2964,-772,-364,28,2025-01-29 11:10:18
-2220,-16448,-2568,-1122,-208,-122,2025-01-29 11:10:18
-2392,-16408,-2628,-1273,-420,-174,2025-01-29 11:10:18
-2288,-16644,-2592,-1010,-64,-121,2025-01-29 11:10:18
-2468,-16612,-2832,-1207,-652,-150,2025-01-29 11:10:18
-2236,-16396,-2696,-1329,-190,-226,2025-01-29 11:10:18
-2404,-16608,-2748,-1052,-218,-112,2025-01-29 11:10:18
-2388,-16580,-2528,-755,34,-152,2025-01-29 11:10:18
-2108,-16580,-2780,-1059,-1,-205,2025-01-29 11:10:18
-2404,-16592,-2968,-847,-80,-118,2025-01-29 11:10:18
-2284,-16336,-2684,-934,179,-157,2025-01-29 11:10:18
-2248,-16516,-2628,-851,118,-177,2025-01-29 11:10:18
-2360,-16532,-2636,-1046,9,-190,2025-01-29 11:10:19
-2076,-16596,-2756,-976,298,-159,2025-01-29 11:10:19
-2300,-16592,-2968,-824,-281,-168,2025-01-29 11:10:19
-2064,-16708,-2884,-920,177,-129,2025-01-29 11:10:19
-2280,-16456,-2912,-778,85,-117,2025-01-29 11:10:19
-2256,-16528,-2892,-987,-69,-116,2025-01-29 11:10:19
-2400,-16524,-2828,-840,-1,-110,2025-01-29 11:10:19
-2484,-16396,-2472,-944,233,-139,2025-01-29 11:10:19
-2380,-16676,-2700,-1075,-145,-171,2025-01-29 11:10:19
-2096,-16556,-3100,-856,-239,-165,2025-01-29 11:10:19
-2312,-16396,-2824,-727,56,-136,2025-01-29 11:10:19
-2436,-16468,-2348,-624,6,-94,2025-01-29 11:10:19
-2316,-16472,-2744,-1192,-264,-161,2025-01-29 11:10:20
