acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
3044,-16504,848,-969,146,-309,2025-01-29 11:28:20
2992,-16572,400,-1088,393,-248,2025-01-29 11:28:20
2944,-16424,840,-967,436,-200,2025-01-29 11:28:20
3088,-16612,736,-1041,152,-234,2025-01-29 11:28:20
3256,-16440,668,-1007,572,-345,2025-01-29 11:28:20
3324,-16468,500,-1094,1277,-553,2025-01-29 11:28:21
2596,-16532,168,-1163,491,-259,2025-01-29 11:28:21
2812,-16616,556,-932,-291,-72,2025-01-29 11:28:21
3020,-16404,484,-694,-575,-16,2025-01-29 11:28:21
3096,-16472,768,-900,-340,-3,2025-01-29 11:28:21
3032,-16476,592,-896,-362,-76,2025-01-29 11:28:21
3072,-16352,800,-868,-252,-97,2025-01-29 11:28:21
3196,-16472,768,-944,-174,-113,2025-01-29 11:28:21
2984,-16468,644,-972,-11,-136,2025-01-29 11:28:21
3060,-16412,732,-908,65,-117,2025-01-29 11:28:21
3076,-16576,388,-878,-16,-161,2025-01-29 11:28:21
3116,-16516,440,-959,-31,-40,2025-01-29 11:28:21
3108,-16688,692,-879,-42,-67,2025-01-29 11:28:21
3016,-16628,424,-901,-207,-134,2025-01-29 11:28:22
2992,-16640,532,-865,-159,-5,2025-01-29 11:28:22
3056,-16444,616,-882,-161,-53,2025-01-29 11:28:22
3048,-16604,992,-970,-1,-52,2025-01-29 11:28:22
3020,-16520,556,-843,259,-104,2025-01-29 11:28:22
2876,-16440,528,-838,-123,-158,2025-01-29 11:28:22
3092,-16620,808,-1031,-114,-141,2025-01-29 11:28:22
3156,-16448,664,-795,-27,-113,2025-01-29 11:28:22
3004,-16480,704,-946,72,-212,2025-01-29 11:28:22
2932,-16556,596,-865,-15,-138,2025-01-29 11:28:22
3024,-16508,552,-814,-124,-153,2025-01-29 11:28:22
3016,-16524,604,-899,39,-167,2025-01-29 11:28:23
3104,-16512,608,-852,-10,-139,2025-01-29 11:28:23
2956,-16548,664,-873,21,-155,2025-01-29 11:28:23
2884,-16540,776,-769,-27,-144,2025-01-29 11:28:23
3172,-16524,416,-899,-75,-120,2025-01-29 11:28:23
2984,-16552,740,-810,-4,-123,2025-01-29 11:28:23
2944,-16468,696,-866,-52,-113,2025-01-29 11:28:23
3084,-16552,640,-889,-138,-127,2025-01-29 11:28:23
3112,-16468,788,-894,34,-136,2025-01-29 11:28:23
3040,-16532,608,-793,44,-137,2025-01-29 11:28:23
3004,-16504,676,-953,0,-158,2025-01-29 11:28:23
2936,-16608,768,-877,100,-101,2025-01-29 11:28:23
3064,-16500,700,-825,-57,-111,2025-01-29 11:28:24
2964,-16480,716,-938,-71,-137,2025-01-29 11:28:24
3016,-16416,908,-913,32,-120,2025-01-29 11:28:24
2992,-16612,796,-963,27,-184,2025-01-29 11:28:24
2928,-16548,780,-867,50,-107,2025-01-29 11:28:24
3084,-16556,688,-916,-20,-149,2025-01-29 11:28:24
2856,-16592,508,-825,-93,-114,2025-01-29 11:28:25
3072,-16508,684,-958,-135,-117,2025-01-29 11:28:25
3128,-16420,596,-950,-30,-122,2025-01-29 11:28:25
3080,-16440,764,-941,70,-112,2025-01-29 11:28:25
2892,-16480,652,-857,-54,-172,2025-01-29 11:28:25
2928,-16536,668,-938,-47,-115,2025-01-29 11:28:25
3132,-16384,716,-972,24,-139,2025-01-29 11:28:25
3052,-16636,708,-903,30,-153,2025-01-29 11:28:25
2996,-16604,712,-965,149,-131,2025-01-29 11:28:25
3080,-16536,644,-934,81,-148,2025-01-29 11:28:25
3044,-16408,708,-920,83,-154,2025-01-29 11:28:25
2888,-16576,648,-1001,53,-209,2025-01-29 11:28:26
3080,-16504,708,-881,-28,-155,2025-01-29 11:28:26
2888,-16496,884,-892,-143,-103,2025-01-29 11:28:26
3032,-16436,748,-1027,7,-197,2025-01-29 11:28:26
2984,-16648,836,-912,-26,-142,2025-01-29 11:28:26
3052,-16500,556,-851,-5,-117,2025-01-29 11:28:26
3164,-16500,724,-897,-7,-169,2025-01-29 11:28:26
