acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-7960,-14392,-764,-822,5,-133,2025-01-29 10:24:33
-7696,-14312,-600,-740,-16,-73,2025-01-29 10:24:33
-7872,-14564,-864,-854,-202,-157,2025-01-29 10:24:33
-7968,-14340,-724,-892,-198,-155,2025-01-29 10:24:33
-8036,-14396,-712,-889,-109,-113,2025-01-29 10:24:33
-8092,-14500,-696,-806,-33,-82,2025-01-29 10:24:33
-7812,-14400,-764,-825,-43,-146,2025-01-29 10:24:33
-7704,-14436,-876,-934,-161,-78,2025-01-29 10:24:33
-7844,-14400,-896,-941,-79,-154,2025-01-29 10:24:33
-7916,-14224,-1260,-930,-8,-97,2025-01-29 10:24:34
-7808,-14280,-1036,-855,1,-137,2025-01-29 10:24:34
-7776,-14316,-832,-854,-15,-117,2025-01-29 10:24:34
-7996,-14216,-1020,-805,40,-51,2025-01-29 10:24:34
-7772,-14380,-880,-846,45,-160,2025-01-29 10:24:34
-7888,-14332,-932,-865,-50,-49,2025-01-29 10:24:34
-7780,-14324,-644,-828,112,23,2025-01-29 10:24:34
-7832,-14544,-580,-984,-276,-25,2025-01-29 10:24:34
-8012,-14320,-936,-917,-32,-209,2025-01-29 10:24:34
-7952,-14092,-1180,-909,83,-111,2025-01-29 10:24:34
-8080,-14024,-1028,-781,310,-20,2025-01-29 10:24:34
-7780,-14188,-1220,-1023,-45,-50,2025-01-29 10:24:35
-7920,-14376,-1056,-1002,-162,-158,2025-01-29 10:24:35
-7712,-14344,-1352,-930,99,-129,2025-01-29 10:24:35
-8032,-14400,-1028,-1038,-14,-153,2025-01-29 10:24:35
-8180,-14160,-892,-1053,-173,-4,2025-01-29 10:24:35
-7908,-14500,-864,-881,-84,-86,2025-01-29 10:24:35
-7764,-14352,-924,-803,98,-113,2025-01-29 10:24:35
-8016,-14180,-976,-808,-66,-186,2025-01-29 10:24:35
-8080,-14072,-1232,-944,-229,-108,2025-01-29 10:24:35
-7872,-14204,-900,-803,249,-107,2025-01-29 10:24:35
-7908,-14236,-1008,-853,175,-141,2025-01-29 10:24:35
-7956,-14308,-908,-949,-15,-176,2025-01-29 10:24:35
-8060,-14360,-1084,-981,-19,-160,2025-01-29 10:24:35
-7960,-14432,-840,-956,-28,-147,2025-01-29 10:24:35
-8020,-14344,-640,-834,29,-32,2025-01-29 10:24:35
-7992,-14444,-780,-894,61,-131,2025-01-29 10:24:36
-8000,-14460,-736,-949,-158,-166,2025-01-29 10:24:36
-8112,-14252,-932,-891,-131,-167,2025-01-29 10:24:36
-7956,-14288,-908,-871,-142,-138,2025-01-29 10:24:36
-7896,-14392,-948,-1040,-288,-275,2025-01-29 10:24:36
-8052,-14284,-952,-938,-16,-194,2025-01-29 10:24:36
-7892,-14516,-548,-835,72,-170,2025-01-29 10:24:36
-7836,-14568,-732,-998,-128,-181,2025-01-29 10:24:36
-8020,-14464,-808,-1033,-303,-267,2025-01-29 10:24:36
-8196,-14192,-1012,-805,153,-120,2025-01-29 10:24:36
-7704,-14376,-732,-829,130,-236,2025-01-29 10:24:36
-7920,-14340,-724,-866,-132,-175,2025-01-29 10:24:36
-7992,-14224,-916,-1100,-86,-226,2025-01-29 10:24:37
-7652,-14408,-964,-1125,-230,-293,2025-01-29 10:24:37
-7976,-14244,-1116,-902,78,-173,2025-01-29 10:24:37
-7916,-14200,-684,-702,339,-152,2025-01-29 10:24:37
-7704,-14464,-716,-912,-13,-179,2025-01-29 10:24:37
-7824,-14520,-804,-1042,-250,-244,2025-01-29 10:24:37
-7864,-14288,-940,-873,60,-188,2025-01-29 10:24:37
-7784,-14452,-656,-864,39,-202,2025-01-29 10:24:37
-7792,-14532,-928,-990,-73,-223,2025-01-29 10:24:37
-7800,-14412,-972,-1076,-340,-336,2025-01-29 10:24:37
-7820,-14384,-1216,-1035,-53,-267,2025-01-29 10:24:37
-7760,-14356,-816,-883,150,-145,2025-01-29 10:24:38
-7616,-14584,-1116,-953,64,-199,2025-01-29 10:24:38
-7656,-14444,-736,-973,-72,-84,2025-01-29 10:24:38
-7524,-14688,-1028,-955,-16,-202,2025-01-29 10:24:38
-7560,-14592,-1180,-983,-83,-195,2025-01-29 10:24:38
-7852,-14308,-1288,-769,334,-155,2025-01-29 10:24:38
-7816,-14376,-1092,-844,157,-128,2025-01-29 10:24:38
-7716,-14348,-1216,-939,39,-109,2025-01-29 10:24:38
-7636,-14560,-1240,-1040,-155,-215,2025-01-29 10:24:38
