acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-7672,-14332,4196,-1667,611,-288,2025-01-29 11:12:41
-7504,-14532,4164,1546,952,3492,2025-01-29 11:12:41
-6736,-11744,4372,1629,-587,-71,2025-01-29 11:12:41
-5580,-12092,4352,-5122,-2244,-3775,2025-01-29 11:12:41
-6076,-21928,2296,-7100,6890,-5358,2025-01-29 11:12:41
-848,-10912,-3308,-761,10043,-1743,2025-01-29 11:12:41
-8140,-16484,-2780,-6436,2646,-3223,2025-01-29 11:12:41
-4616,-16296,-4524,-6355,-844,-489,2025-01-29 11:12:41
-3368,-15484,-2496,-2306,2769,-469,2025-01-29 11:12:41
-4780,-15112,-3732,-2919,2883,-961,2025-01-29 11:12:41
-4256,-14276,-3100,-4054,3295,-2559,2025-01-29 11:12:42
-4404,-15680,-3112,-4417,2474,-3351,2025-01-29 11:12:42
-6332,-15764,-4348,-2212,3330,-3086,2025-01-29 11:12:42
-5632,-16248,-5184,-1550,3668,-1527,2025-01-29 11:12:42
-6816,-18108,-5120,-510,1320,-966,2025-01-29 11:12:42
-3420,-17832,-4232,2825,-3562,1927,2025-01-29 11:12:42
-388,-16972,-2200,11233,-3748,5315,2025-01-29 11:12:42
-1180,-17220,-2076,14368,-3966,7869,2025-01-29 11:12:42
-5032,-16804,-664,8386,-5613,7319,2025-01-29 11:12:42
-3772,-14048,812,1858,-8117,6812,2025-01-29 11:12:42
-4396,-13792,3152,-230,-1605,1978,2025-01-29 11:12:42
-3924,-12532,2428,-1694,1623,-2609,2025-01-29 11:12:42
-5364,-13220,3288,-3277,4199,-4355,2025-01-29 11:12:42
-7948,-14324,4104,-3151,5089,-933,2025-01-29 11:12:43
-6796,-14404,4968,-494,3478,-909,2025-01-29 11:12:43
-5028,-14104,3204,-3477,-546,-3923,2025-01-29 11:12:43
-6456,-17932,1420,-7461,6305,-1792,2025-01-29 11:12:43
-1760,-14720,976,1812,12924,-167,2025-01-29 11:12:43
-4780,-15300,-4092,-2626,10601,-1832,2025-01-29 11:12:43
-4096,-15884,-4560,-2674,8819,335,2025-01-29 11:12:43
-5012,-15648,-2412,-3173,8045,1120,2025-01-29 11:12:43
-5000,-15692,-5232,1037,13608,917,2025-01-29 11:12:43
-4876,-15324,-4900,1576,13806,700,2025-01-29 11:12:43
-6872,-14756,-3664,599,11133,-961,2025-01-29 11:12:43
-7132,-14832,-2508,-125,7234,-1881,2025-01-29 11:12:43
-5116,-15300,-4160,612,5093,-1458,2025-01-29 11:12:44
-3928,-16272,-4552,714,9043,-750,2025-01-29 11:12:44
-5316,-17324,-5564,345,9449,-1314,2025-01-29 11:12:44
-6996,-17512,-5400,2554,4461,751,2025-01-29 11:12:44
-1532,-15992,-2440,9231,4471,5292,2025-01-29 11:12:44
-1036,-16948,-1844,13535,4700,9077,2025-01-29 11:12:44
-1376,-19056,-1280,13875,-260,7620,2025-01-29 11:12:44
-4736,-14904,328,10369,-4287,-552,2025-01-29 11:12:44
-3040,-12860,1024,5296,2350,-3508,2025-01-29 11:12:44
-4856,-13568,2612,637,8516,-4483,2025-01-29 11:12:44
-7608,-12000,3440,-2746,8431,-4356,2025-01-29 11:12:44
-7464,-14044,4836,-2593,6596,95,2025-01-29 11:12:44
-5328,-16396,4740,-588,6038,81,2025-01-29 11:12:45
-5720,-15484,4512,-2714,4395,-2999,2025-01-29 11:12:45
-7972,-16016,2060,-4579,3340,-2297,2025-01-29 11:12:45
-3448,-19628,1836,654,11152,499,2025-01-29 11:12:45
-1660,-13656,-5684,-4233,10393,-1334,2025-01-29 11:12:45
-5968,-17040,-3720,-4619,3756,-2201,2025-01-29 11:12:45
-4460,-16396,-2288,-2785,6565,1169,2025-01-29 11:12:45
-3988,-15012,-4320,1934,12097,438,2025-01-29 11:12:45
-4312,-15952,-4364,-679,10494,-369,2025-01-29 11:12:45
-5200,-15484,-2480,-23,9664,-1203,2025-01-29 11:12:45
-8520,-15004,-2752,863,5878,-1488,2025-01-29 11:12:45
-5908,-15080,-2436,926,6436,-984,2025-01-29 11:12:45
-5636,-16356,-3860,1320,7586,1309,2025-01-29 11:12:46
-6316,-21180,-5196,1272,2779,1603,2025-01-29 11:12:46
-2212,-15656,-1784,8929,2519,2999,2025-01-29 11:12:46
-1720,-16088,-1620,11987,769,5353,2025-01-29 11:12:46
-4240,-16588,-2356,10307,-4220,3502,2025-01-29 11:12:46
-4404,-15036,1564,5110,-4703,1639,2025-01-29 11:12:46
-4172,-13376,1712,937,-580,1845,2025-01-29 11:12:46
-4544,-12156,2884,-2181,2998,-2159,2025-01-29 11:12:46
-6140,-12788,3260,-4775,4711,-3016,2025-01-29 11:12:46
-10580,-17188,7232,-3217,2977,515,2025-01-29 11:12:46
-7188,-14032,5380,975,2199,1561,2025-01-29 11:12:46
-5276,-16832,20,-1205,-1711,-2247,2025-01-29 11:12:46
-2096,-16252,-2916,-3206,11997,-232,2025-01-29 11:12:47
-6948,-14608,-3596,-2653,8047,-3132,2025-01-29 11:12:47
-5832,-15720,-1932,-5305,2816,-1775,2025-01-29 11:12:47
-4456,-15420,-2020,-3330,7359,-2231,2025-01-29 11:12:47
-6064,-15120,-2960,-4101,4030,-3241,2025-01-29 11:12:47
-5792,-15512,-2296,-4294,341,-2511,2025-01-29 11:12:47
-4464,-15896,-2664,-3838,2196,-3790,2025-01-29 11:12:47
-6880,-15376,-3220,-3295,1054,-2202,2025-01-29 11:12:47
-4936,-15976,-4816,-2551,1341,-1879,2025-01-29 11:12:47
-5188,-18684,-4624,-2071,3343,-2477,2025-01-29 11:12:47
-6380,-17144,-6416,83,-575,-1931,2025-01-29 11:12:47
-1616,-16996,-3272,3829,-2444,1870,2025-01-29 11:12:48
