acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-1768,-17936,-3324,14717,1664,-2168,2025-01-29 10:46:41
1372,-15928,1352,9367,3960,-5372,2025-01-29 10:46:41
-288,-12732,1480,-17,3918,-7439,2025-01-29 10:46:41
-1884,-12604,2728,-4600,1037,-2166,2025-01-29 10:46:41
2088,-14824,5576,-2130,-3010,2697,2025-01-29 10:46:41
3132,-14984,6132,-2927,-674,1054,2025-01-29 10:46:41
1240,-16292,3656,-3888,-4417,-1079,2025-01-29 10:46:41
-4888,-15640,-696,-5052,-8305,1328,2025-01-29 10:46:41
3876,-19828,-1480,-8553,-10001,1894,2025-01-29 10:46:42
-1816,-16556,-824,-6224,-14939,858,2025-01-29 10:46:42
2524,-16964,-1416,-6887,-14288,1767,2025-01-29 10:46:42
2948,-16100,-484,-4967,-9834,3198,2025-01-29 10:46:42
-160,-16192,-1720,-5088,-7579,2002,2025-01-29 10:46:42
6860,-18012,-2024,-2112,-8014,3838,2025-01-29 10:46:42
2532,-16592,-1732,-1126,-13779,-965,2025-01-29 10:46:42
-228,-23144,-1176,3476,-9555,-4418,2025-01-29 10:46:42
-6516,-18020,-1128,11980,-13535,-2751,2025-01-29 10:46:42
-4652,-16384,-2960,19844,-6442,5071,2025-01-29 10:46:42
-820,-14384,160,9261,-12698,3717,2025-01-29 10:46:43
1440,-11840,1600,-585,-13008,2694,2025-01-29 10:46:43
1392,-11836,5700,-6728,-13443,5578,2025-01-29 10:46:43
3924,-15472,10604,-836,-10959,5019,2025-01-29 10:46:43
2052,-14564,6120,-1455,-2892,2076,2025-01-29 10:46:43
-5444,-13640,8140,-8158,-9632,4141,2025-01-29 10:46:43
-2044,-13492,852,-6616,-10784,2150,2025-01-29 10:46:43
1568,-17964,-1164,-8724,-12541,605,2025-01-29 10:46:43
428,-16688,-3364,-5997,-14772,1685,2025-01-29 10:46:43
3036,-16828,-3108,-7409,-13897,1044,2025-01-29 10:46:43
2392,-16932,-376,-4458,-10742,768,2025-01-29 10:46:43
1596,-16820,920,-2405,-5880,2015,2025-01-29 10:46:43
2064,-16312,-1344,-2727,-6831,359,2025-01-29 10:46:43
356,-17284,-2140,-1548,-12660,336,2025-01-29 10:46:43
4440,-21808,-1692,1595,-8906,-1542,2025-01-29 10:46:43
-2564,-19596,3920,14569,-9161,-6168,2025-01-29 10:46:44
-6988,-17396,-376,20738,-6320,679,2025-01-29 10:46:44
3080,-16908,4000,12034,-4869,1349,2025-01-29 10:46:44
936,-10020,2068,571,-5008,929,2025-01-29 10:46:44
48,-10344,5076,-7451,-8837,4404,2025-01-29 10:46:44
1324,-15368,7968,-7058,-9197,5090,2025-01-29 10:46:44
7888,-16248,14448,3071,-8618,604,2025-01-29 10:46:44
