acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
-9404,-14264,-4540,-2401,-3286,242,2025-01-29 10:27:45
-11324,-17952,-2364,1145,-3487,8373,2025-01-29 10:27:45
-5900,-17544,7936,15488,-2465,15214,2025-01-29 10:27:45
-16228,-14292,848,6322,-6672,9870,2025-01-29 10:27:45
-7908,-9488,24,-2092,-11675,5330,2025-01-29 10:27:45
-3764,-7356,-452,-5954,-6629,-448,2025-01-29 10:27:45
-3840,-6076,2608,-10623,7735,-12238,2025-01-29 10:27:45
-21848,-32768,9244,-2933,-13674,1846,2025-01-29 10:27:45
-8576,-17148,3888,-764,12145,-3433,2025-01-29 10:27:45
-4668,-9744,-6620,-157,2738,-2094,2025-01-29 10:27:46
-8172,-17772,-2184,-4155,241,-7248,2025-01-29 10:27:46
-7820,-13904,-2712,-3091,10862,-2767,2025-01-29 10:27:46
-10008,-12960,-4288,254,7468,-345,2025-01-29 10:27:46
-7948,-10944,-1696,-1629,1863,-3859,2025-01-29 10:27:46
-9420,-13820,-4384,-1487,-813,-4115,2025-01-29 10:27:46
-10808,-16272,-4640,-2985,-4413,1682,2025-01-29 10:27:46
-8908,-13768,2204,4266,-7772,14390,2025-01-29 10:27:46
-10204,-17880,-3080,7955,-1306,10751,2025-01-29 10:27:46
-8788,-14632,156,-1208,-12478,9529,2025-01-29 10:27:46
-6388,-11172,-848,-7631,-11272,9348,2025-01-29 10:27:46
-4216,-7440,-356,-13347,-5680,-4426,2025-01-29 10:27:46
-16520,-18340,252,-12953,-43,-9451,2025-01-29 10:27:47
-6176,-14580,1376,-5075,-2316,2863,2025-01-29 10:27:47
-12180,-9740,-5552,455,-2007,-985,2025-01-29 10:27:47
-8004,-12936,-5132,-13689,-14807,-5150,2025-01-29 10:27:47
-8764,-14496,-2656,-11633,-8491,-1030,2025-01-29 10:27:47
-7012,-13812,-2520,-12250,-13088,-3726,2025-01-29 10:27:47
-8720,-12624,-2468,-10304,-12779,-5655,2025-01-29 10:27:47
